review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2xRNWFtMTFUakJCWnpGMWNVMXhlakZCZWpVdFVVRRAB,Intan Saraswati,5,"Ordered ala carte as we’re aiming for the better part of meat. We had oyster blade, short ribs, premium wagyu tongue, dan large intestine. Everything was juicy and great, even my 5yo daughter can chew them super fast. Beef is really a good quality (they stated it was tokushima mitsuboshi beef)
The short ribs was super juicy, we ended up reordering 3x.
Dipping sauce was also good. I personally loved the yuzu, taking it in turn with wasabi and sesame oil.

W"
Ci9DQUlRQUNvZENodHljRjlvT200NE9ERnZlbE52WW01SllsTXpNRzlLWWpKbVVFRRAB,Maitte,5,"I enjoy coming here for Japanese style BBQ, Yakiniku. The price is reasonable and the meat variety  and side dished are plenty for the buffet set. For the 888 B set you can have 4 different beef options plus chicken and pork. With the 1275B set you can have all of the 1 set plus a premium beef (only 1 per 2 people) plus beef entrails, if that's your thing to enjoy eating them.
The service is attentive. And the highball drink is delicious, very smooth and balanced as they use the original Japanese whiskey 🥃. One of my favourite times is calling for table service with the chicken toy squeegee on the side of the table."
Ci9DQUlRQUNvZENodHljRjlvT2pjd1VrbG9Zblo0VFZaRE5GTkJVWEpKYUdacmMxRRAB,ME3NGY • ミンチー,5,"อีกหนึ่งร้านยากินิคุที่เป็น hidden gem ในย่านสุขุมวิทนี้ ที่ร้านใช้เนื้อ Tokushima Mitsuboshi Beef ซึ่งเป็นวากิวเกรดพรีเมี่ยมจากจังหวัด Tokushima ระดับ A4-A5 พอย่างด้วยเตาถ่านแล้วหอม นุ่มละลายลิ้นมากๆ ปกติร้านจะขายเป็น a la carte แต่วันธรรมดาจันทร์-ศุกร์จะมีโปรโมชั่นบุฟเฟ่ต์มี 2 ราคาคือ 1080+ และ 1599+ บาท และบุฟเฟ่ต์เบียร์สด Asahi ในราคา 298 บาท ทานได้ในเวลา 90 นาที เจ้าของร้านและพนักงานบริการดีมากๆ คอยเปลี่ยนถ่านกับตะแกรงให้ตลอด ถ้ามาแนะนำให้โทรจองล่วงหน้าจะดีกว่า เพราะลูกค้าคนญี่ปุ่นเยอะมากๆ

🥩 ยากินิคุ
🚘 ร้านไม่มีที่จอดรถ สามารถจอดรถได้ที่ EmQuartier จอดฟรี 2 ชั่วโมงแรก เดินต่อประมาณ 450 เมตร
🚊 สถานีพร้อมพงษ์ เดินประมาณ 450 เมตร"
Ci9DQUlRQUNvZENodHljRjlvT2xwVlNWVkJXamRrVGtOUVVqZE5Ta1YzTmpGdmIyYxAB,N N (Pom),4,"นี่เป็นครั้งแรกเลยที่เราได้กินเนื้อจากเกาะชิโกกู ร้านนำเข้า Awa Kuro Beef จากฟาร์มของเค้าเองในจังหวัด Tokushima ที่ร้านมีเครื่องในให้ลองสั่งหลากหลายพอสมควรด้วย
Sirloin หอมหวานกินเปล่าๆไม่ต้องจิ้มก็ได้ Tenderloin สั่งมาลองแบบไม่ราดซอสเนื้อมาแบบชิ้นหนาประมาณ 1 ซม. แต่เนื้อสีจะคล่ำหน่อย ย่างแล้วนุ่มใช้กรรไกรตัดเบาๆขาด"
Ci9DQUlRQUNvZENodHljRjlvT25CaFUyZDZZVkF5Y0dVM1ZITTBZelpUWVVwZlNHYxAB,Inggie tae,5,เนื้อนุ่มคุณภาพดีมากกกกกก ไม่มีกลิ่นคาว/กลิ่นเหม็นๆเลย ประทับใจมันปูด้วยใส่เนื้อปูมาให้เต็มๆ แถมอร่อยยันน้ำจิ้มจริงๆ แถมชอบให้ทางร้านย่างให้ฟรีได้ด้วยนะ ประทับใจสุดๆ
Ci9DQUlRQUNvZENodHljRjlvT2pVMVFsUldRVEp2V0dWaU1YZFlOMG96TjBneVNFRRAB,A,5,"Wasn’t feeling great today, so when I finally had a quiet moment I came to try the hamburger steak my friend had been raving about. The meat was incredibly juicy, the sauce had great depth, and everything was full of flavor. Even the rice was perfect. As a Japanese living in Bangkok, I feel lucky to be able to enjoy this kind of taste here. I’ll definitely be back. おいしく、とてもよかったんです！ありがとう！またきます😋"
Ci9DQUlRQUNvZENodHljRjlvT21ObVVWWldkVE5ZV1dSUVdUVmxOMnh1TlU1Q1VHYxAB,Nawacharee P,3,"Was an alright experience. The place was small and sticky and the seating was uncomfortable but the food was okay.

Beef quality was relatively good but nothing mind blowing. The size of the beef order is good, not too big so we can try different things. Their side dishes are small and kimchi smelled a little weird.

Staffs had interesting vibe. One guy was really nice and friendly to us, other people were kinda off-putting and were not attentive at all. We had to keep asking them to change the grill or put in more fire.

No parking at all, we parked at EmQuartier and walked over. It was a short 7 minute walk.

Quality to value is okay. It was an alright experience. Might be good for bigger party but we probably won’t be back."
Ci9DQUlRQUNvZENodHljRjlvT2xKbGJFRnBSa1E0VG1NeVZUWkhOMHRLUjFkYUxVRRAB,Narinpaat Guin,5,"เนื้อดีม๊าก ที่ร้านมีแบบบุฟเฟ่ต์ด้วยนะคะ ราคาไม่แพง
แต่เราสั่งแบบจานเดี่ยวนะ
ไม่มีที่จอดรถนะคะ ต้องจอดรถหน้าปากซอยที่ tops supermarket ค่ะ"
Ci9DQUlRQUNvZENodHljRjlvT21ONmFuTlBaamc1TkZselMwaG5WR1Z5WkdST1EyYxAB,Kanna October,5,"Exquisite Japanese Beef BBQ place. The beef is sourced from their exclusive farm in Tokushima, Japan. All food are well prepared. Staffs were friendly and attentive. This is my first visit but this place have ranked up and made it to top rated Yakiniku place for me."
Ci9DQUlRQUNvZENodHljRjlvT2pSUWVXVlBYMmRrWWs1S05YRkhXRTFSVTBkTE9HYxAB,Shin Thaw,5,"I visited this place for dinner, having heard great things from friends. Located around the phrom phong area, it's a true gem for yakiniku lovers! The wagyu beef was exquisitely marbled, offering a rich flavor without being too heavy. Each cut we tried was delightful, leaving us pondering what to pick next time😊

The ambiance was warm and welcoming, with excellent service that made our dining experience even more pleasurable. The staff were attentive and provided helpful grilling tips. With the quality of beef and overall experience, the pricing felt more than reasonable! I look forward to returning with friends to explore more beef cuts and enjoy a memorable time together."
