review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT21wMU4wVjJhbXRRVUROeE5DMHljVUZhWVRCc1JrRRAB,Athikom Rawd-own,5,"AKIYOSHI สาขาพระโขนง

ตั้งอยู่เส้นสุขุวิท เลยเอกมัยมาไม่ไกล มีโครงการเล็กๆ อยู่หน้าตึก thaisin เข้ามามีที่จอดรถเยอะพอสมควร หาไม่ยาก สแตมป์บัตรจอดรถที่ร้านได้ด้วย 😊

เป็นอีกร้านที่แวะเวียนมาได้เรื่อยๆ ปีนึงครั้งสองครั้ง และไม่เคยมีปัญหา ประทับใจทุกครั้ง ไม่ว่าจะผ่านไปกี่ปีก็ตาม คุณภาพวัตถุดิบที่ให้มาและบริการเค้ายังคงมาตรฐานเอาไว้ได้ค่อนข้างดี 👍

ราคาบุฟเฟต์ที่นี่ มี 579 / 799  รู้สึกจะมี ++ แต่ล่าสุดที่ไปมีโปรคนละ 779 net เชคบิลมา 2 คน 1558.88 ก็คนละ 779.44 บาท 🔥

ราคานี้ เลือกกินได้2แบบ คือ เค้ามี ชาบู ปิ้งย่าง และ สุกี้ยากี้ ถ้าอยากกิน 3 อย่าง ก็เพิ่มเงินอีก 59 บาท เลยเอาแค่ 2 แบบพอ เป็น สุกี้กับปิ้งย่าง เพราะคิดว่าพื้นที่มันไม่ได้เหมาะจะวางทั้ง3อย่าง ไหนจะอาหารอีก 😂

ส่วนตัว ชอบแบบสุกี้ยากี้ที่สุด เพราะรู้สึกว่า เนื้อที่เสิร์ฟมันออกแบบให้กับทำทรงนี้ เวิร์คสุด แต่มันก็รสนิยมส่วนตัวอะเนอะ ปิ้งย่างก็โอเค แต่เนื้อบางส่วนมันบางไปหน่อย กลับด้านลำบาก บริหารจัดการยากไปหน่อย เปิดไฟให้เบาลงพอช่วยได้ แต่สุกี้นี่ เนื้อส่วนไหนก็เวิร์คหมด 😇

จานที่ประทับใจ ✅ เลือกที่ชอบสุดมา 2 อย่าง จริงๆ มันอร่อยหมดเลยนะ แต่อันนี้คือห้ามพลาดๆ 🔥

เนื้อวากิวออสเตรเลีย ✅ อันนี้เด็ดจริง หอม มัน รสเนื้อเข้มข้น นุ่มนวล จะปิ้งย่างก็รอดเพราะมันหนาหน่อย

เนื้อซุพีเรียร์ ✅ อันนี้ก็ดีงาม รสเบากว่าวากิวออส แต่ หอมมันกว่า ทานได้เรื่อยๆ ไม่เหนื่อย หลังๆ กินสลับแค่2ตัวนี้แหละ ฟินสุดแล้ว

พวกซูชิหรืออาหารทะเล ส่วนตัวให้กลางๆ เฉยๆ ไม่แย่ ไม่ว้าว มุ่งไปทางเนื้อเลยจะดีกว่า สั่งมาแค่พอกรุบกริบ แบบนี้ได้ 🙂

ของหวาน ✅ ไอติมชาเขียว อร่อย มาตรฐานสูง แต่อันที่ว้าวเลยคือ ไอติมส้มยุสุ หอมมากกกก ต้องโดนนน

การบริการ คือ ดีไว สม่ำเสมอ มากี่ที เรียกหาอะไรได้ไวตลอด พนักงานสแตนบายดีครับ อธิบายตอนรับออเดอร์ได้ดี เข้าใจง่าย ✌️

สรุป ประทับใจ และคงมาซ้ำเรื่อยๆ วัตถุดิบโดยเฉพาะเนื้อ ของดีครับ ราคานี้คุ้มค่า นั่งได้ 90 นาที แต่บางถ้าอยู่ร้านปิดเค้าก็ไม่ได้เร่งอะไร ชอบมาก นั่งย่อยต่อได้อีกพักนึงด้วย ใครชอบสายนี้ แนะนำครับ 😋"
Ci9DQUlRQUNvZENodHljRjlvT2tsM2VHWTFNM281UkZVMk5XRm1VV0pzV1hGM1MxRRAB,Chomticha S.,5,"Celebrating 30 years this month! Enjoy a buffet discount from 999 to 779 NET — definitely worth it! For just +99 Baht per person, get unlimited sashimi and sweet shrimp. Honestly, the standard menu alone is already impressive!"
Ci9DQUlRQUNvZENodHljRjlvT2kweVNUZENMV1JWU2xWaldWOTNWMjF0ZWtOMGIzYxAB,SSC,5,อาหารอร่อย เนื้อวัวดีมากนุ่มละลายในปาก เลือกทานแบบDeluxe เมนูอาหารมีให้เลือกเยอะดี ของหวาน&น้ำหวานอร่อย เดือนต.ค.ครบรอบวันเกิดร้านมีเมนูทานเล่นพิเศษให้ทานฟรีด้วย(สำหรับราคาDeluxeขึ้นไป) ใช้โปรบัตร KTC ลดได้เยอะ เพิ่มแซลมอนซาชิมิ+99 บาท ส่วนตัวซูชิแซลมอนยังไม่ถูกใจเท่าไร พนักงานบริการดี ออเดอร์มีตกหล่นไปบ้างต้องตามอีกที สแตมป์บัตรจอดรถจอดฟรีได้ 2.30 ชม. / เกินจากนี้คิดชม.ละ30บาท
Ci9DQUlRQUNvZENodHljRjlvT2pnMGFFUXdhMEpzYUdkeGVHWTNWMjlhUlU1WFNIYxAB,coremedia tv,4,"บุฟเฟต์ มี2ราคา799 579 มีให้ทั้งปิ้งย่างและชาบู extra +99
อาหารสด ผักสดสะอาด น่าทาน น้ำซุปต้มนานๆแทบไม่เค็ม
อาหารเสริฟได้ค่อนข้างเร็วแม้ลูกค้าแน่นร้าน
พื้นที่ร้านค่อนข้างกว้าง มีโต๊ะเยอะไม่ต้องรอคิว วันธรรมดาช่วง5โมง-1ทุ่ม
ควรปรับปรุงใช้ระบบสั่งอาหารผ่าน qrcode
แทนจดกระดาษ
ที่จอดรถเยอะ จอดฟรีได้2.30ชม. ประทับตราของร้าน"
Ci9DQUlRQUNvZENodHljRjlvT2t4V05XSjFVMjVhZEV0UmNsaHFaazlNWWpKT2VYYxAB,Chananchida Rattanarak,5,คุ้มราคามาก อร่อยของสดดีทุกอย่าง ชอบซาซิมิปลาซาบะ มากกกก หลายจานเลย เนื้อดี ขนมของหวานอิ่มครบ พนักงานให้คำแนะนำดีมาก รวดเร็ว คะ ชอบจะไปใช้บริการอีก
Ci9DQUlRQUNvZENodHljRjlvT2pWd1lVOVhWRUZHYm1sVVdGTkJWRGRVUjJrNExXYxAB,Ara S.,3,"ปกติไม่ค่อยทานสาขานี่เพราะเหม็นกลิ่นควัน
แต่วันนี้กลับมาทานเพราะใกล้บ้านสุด อาหารรสชาติอร่อย เนื้อดี ซาซิมิดี แต่การบริการช้ามาก ของมาทีละจานๆ บางรายการสั่งแล้วไม่ได้ของ พนักงานไม่มี service mind เสียดายเงินที่จ่ายค่า service charge สุดๆ คงบายสาขานี้ตลอดกาล"
Ci9DQUlRQUNvZENodHljRjlvT25nMFVIRlpUakIwTkd4cVREVjRXVE5aTVhSbE5XYxAB,อภิชัย เหล่าสกุลชัย,5,วัตถุดิบสด สะอาด ชอบเนื้อวัวที่นี่มากๆ พนักงานมีความสุภาพ น่ารักทุกคน ไปทานมาหลายครั้งแล้ว
Ci9DQUlRQUNvZENodHljRjlvT2pCb05uSkZZbXR1U1habVozWTBlRzFVTjNsWVlWRRAB,apuntree poolsawut,5,ดีๆๆๆๆ น้ำจิ้มกลมกล่อม มีสำหรับปิ้งย่างและสุกกี้ ไฟแรงกำลังดี เนื้อคือดีย์ มากกกกกกกกกกกก สูตรเขาลงตัว ซาซิมิคือดี นุ่มนิ่ม กินมาทั่วล้าววว ทูน่าที่นี้คือดีย์ บริการ10/10 ร้านสะอาด ที่นั่งไม่ชิดกันเกินไป  มีที่จอดรถสะดวกสบายยยยย
Ci9DQUlRQUNvZENodHljRjlvT2xScFN5MDVaM0p6YldVMFpURnZRVUZHTTFsNWQyYxAB,Traveling with The Lowing's,5,"Highly recommended for weekend visits—make a reservation in advance to ensure a table. Despite being a spacious restaurant, it never feels overcrowded. Service is fast and efficient, with clean facilities and high-quality stoves that heat quickly, ensuring your food is ready in no time—even if you arrive feeling hangry.

The prices are reasonable and well-matched to the quality of both the ingredients and the overall experience. The staff are attentive and provide excellent service, making the meal even more enjoyable."
Ci9DQUlRQUNvZENodHljRjlvT25STmQyUlBMVEZEV1hoVVRWa3hibEZzWjB4MGVrRRAB,โอเคได้อยู่ OkDaiYu,5,"เลือกทานเป็นบุฟเฟ่ต์ Deluxe + เพิ่มเมนู Extra อีกนิด คือคุ้มแบบไม่ไหว อาหารคุณภาพดีมาก เนื้อวากิวลายสวย  ซาชิมิสด หั่นมาชิ้นใหญ่ กุ้งหวาน ปลาแซลมอนคือดีจริง 🍣

สุกี้ยากี้เป็นน้ำดำ รสเข้มข้นแต่ไม่เค็มจนเกินไป ซีฟู้ดก็สด กุ้งแม่น้ำตัวใหญ่ ปิ้งย่างหอมๆ สายเนื้อคือเลิฟแน่นอน ส่วนของหวานก็มีให้เลือกหลายอย่าง ทั้งโมจิ น้ำแข็งไส และไอศกรีม

พนักงานดูแลดี เติมของไว โต๊ะสะอาด มาครั้งนี้ที่สาขาพระโขนง เดินทางสะดวก ที่จอดรถมีเพียงพอ"
Ci9DQUlRQUNvZENodHljRjlvT2xKWFQxOTFRek4yU1ZkYWEzZGZTa1Z5WlhoQlZGRRAB,Kulisala O.,4,อาหารอร่อย บริการดีค่ะ แล้วก็ขนมหวานสามารถรีเควสพนง.ได้ว่าเอาไม่เอาอะไรบ้าง โทรจองก่อนได้ถ้ามากลุุ่มใหญ่มาห้องส่วนตัวให้ค่ะ
ChdDSUhNMG9nS0VPU3V4c0RqX2ZfeXpRRRAB,Joey NoProblem,5,"ร้านนี้เป็นร้านประจำที่ไปกินบ่อยมาก เรียกได้ว่าเป็นร้านที่ “นึกอะไรไม่ออกก็มาจบที่นี่ตลอด” เพราะตอบโจทย์ครบทุกอย่าง ทั้งคุณภาพ ราคา ความสะดวกสบาย และความอร่อย

Akiyoshi สาขานี้อยู่ชั้นสอง เดินทางง่าย ใกล้ BTS พระโขนง มีที่จอดรถในอาคารสะดวกสบาย ตัวร้านตกแต่งเรียบง่าย บรรยากาศเงียบสงบ เหมาะทั้งกับการนั่งทานสบาย ๆ กับครอบครัว หรือมาประชุม-กินข้าวกับเพื่อนร่วมงานก็ได้

สิ่งที่ชอบที่สุดคือร้านนี้มีทั้ง ชาบูและปิ้งย่าง ให้เลือก อยากทานแบบไหนก็จัดได้ตามใจเลย วัตถุดิบสดใหม่ น้ำซุปหอมกลมกล่อม โดยเฉพาะน้ำจิ้มงาและพอนสึของที่นี่คือเด็ดมาก! เนื้อหมู เนื้อวัว หรือซีฟู้ดก็คุณภาพดี เสิร์ฟไวไม่ต้องรอนาน

เมนูมีให้เลือกเยอะมากจนบางทีก็เลือกไม่ถูก แต่ไม่ว่าจะสั่งอะไรก็ไม่เคยผิดหวัง รสชาติสม่ำเสมอทุกครั้งที่มา ราคาไม่แพงเกินไปเมื่อเทียบกับคุณภาพและบริการ อิ่ม อร่อย คุ้มค่าแบบจริงจัง

ใครกำลังมองหาร้านบุฟเฟ่ต์สไตล์ญี่ปุ่นดี ๆ ย่านพระโขนง–อ่อนนุช แนะนำเลยค่ะ Akiyoshi สาขานี้ไม่เคยทำให้ผิดหวังเลยจริง ๆ"
Ci9DQUlRQUNvZENodHljRjlvT20xZlFuVnphVkZsTFVFeWNYQjFSWEkwTUZsQ2JuYxAB,jaru gill,5,ไปหลายครั้งมาก สำหรับร้านนี้ ส่วนตัวคือกินมาเกินสิบปี รสชาติสุกี้ญี่ปุ่นที่ใช่ ตอนนี้ไม่ต้องรอคิวนานแล้ว ไปตอนไหนก้ได้โต๊ะเลย ชอบตรงที่มีโปรร่วมกับบัตรเครดิตบ่อย เอาคะแนนไปแลกคือคุ้ม ถ้าคุณภาพไม่ดีจริงร้านคงไม่อยู่มาเกินสิบปี แนะนำใหไปลองค่ะ
Ci9DQUlRQUNvZENodHljRjlvT2tSdFVDMW9ZVEJoWHpKeGVXZDNTa3hXTmxOaWJWRRAB,Chatrasuda Songsaengcharoen,5,ตำนานร้านสุกี้ชาบู สูตรต้นตำรับจากญี่ปุ่น กว่า 30 ปี อร่อยฟินสุดๆ ราคาสบายๆ เป็นกันเอง
Ci9DQUlRQUNvZENodHljRjlvT2pCM1kwcGtSbWRKUTNKb1dEVkhiRlF5YzA1ak1XYxAB,Talaettaettae ตะแล้ดแต๊ดแต๋,5,อาหารอร่อย เนื้อสด สะอาด วัตถุดิบดีชอบมากกซ้ำบ่อยมาก✨
Ci9DQUlRQUNvZENodHljRjlvT2taQ05uUm9OVXBwUlZOTk0ycHhOMVZMZEc1dVZGRRAB,Manita KCW,5,"คือดีย์ คุ้มมมาก โปรนี้ 770 + ซาซิมิ77 ✅
หมูดี เนื้อดี ไอศครีมดี  ซาซิมิ ดีย์
กุ้งเทมปุระ อร่อยมากกก เสียดาย สั่งช้าไป
ปิดรับออเดอร์ก่อน   😋
คืออยากจะบอกว่าคุ้มมากกับราคานี้ ต้องมาทานอีกแน่นอน 😻😻  เริสสสมมๆๆๆ!!!!"
Ci9DQUlRQUNvZENodHljRjlvT2w5NmVWZElkWEJYTW1kaWMyMDRNemhuWm04d1JrRRAB,Jam Lexusman,4,"Lexus team cerebration
Buffet 799 คุ้มมาก เนื้อดีทีเดียว น้ำซุปดี
อาหารอย่างอื่น ธรรมดา ข้าวปั้น ทาโกะยากิ

มาทานหลายๆคน สนุกดี"
Ci9DQUlRQUNvZENodHljRjlvT2xCZlNIbzJZM1JPWTFoR01FbGFlVFZWVVhsTk5HYxAB,chanyanuch iamprakobkit,5,"Akiyoshi คือต้องสาขาพระโขนงเท่านั้น หมดใจให้สาขานี้สาขาเดียวววว!!

✅พนักงานบริการดีไม่มีตกหล่น
✅อาหารหลากหลาย ส่วนตัวคิดว่าเค็มน้อยกว่าโมโม่

เส้นอูด้งคือที่สุดดดด แบบบอร่อยมากกอยากให้ทุกคนลองจริงๆ

ไอติมบ๊วย กับ yuzu คือตัดเลี่ยนดีมากกกก เลิ้บเลย
สมัครสมาชิก ลดอีก 10%

ยังเป็นสาขาโน1 ในใจและชาบูญป ที่ชอบเสมออ"
