review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT21wUGFUVXRUVXh1UWs4eU9WOXVhWFprTjBZMFQwRRAB,Tata6969,3,เข้าไปถึงต้องเลือกเลยทันทีว่าจะราคา 219 บาทหรือ 299 รอ 18 นาทีกว่าอาหารจานแรกจะมาไม่ได้รอคิวนาน ได้นั่งชั้นบนมีอยู่ทั้งหมด 11 โต๊ะตู้กดเป๊ปซี่อยู่ข้างล่างใครเข่าไม่ดี ค่อนข้างลำบาก โต๊ะตักน้ำจิ้มต่อคิวนานจังหวะที่เราเข้าไปคนค่อนข้างเยอะ ไปถึงร้าน 17.21 น อาหารจานแรกมา 17:39 น  สั่งน้ำซุปหมาล่าเพิ่มอีก 59 บาทจากราคาบุฟเฟ่ต์ ชมอย่างเดียวคือเนื้อหมูสดมาก
Ci9DQUlRQUNvZENodHljRjlvT2tkeVF6WkZOVFpIVG5sMVpHVjJOWHBGTTFONFJtYxAB,โอเด็ต รีวิว,5,"บุฟเฟ่ต์หมาล่าที่มีไส้เป็ดไม่อั้นในราคา 219++ ที่บรรทัดทอง ข้อดีคือน้ำซุปอร่อย ไม่เลี่ยน ไม่แพง อิ่มไม่อั้น 1 ชั่วโมงครึ่ง

ไลน์อาหาร มีทั้งหมูสามชั้น หมูสันคอ หมูสันนอก ฟองเต้าหู้ทอด ไส้เป็ด เลือดเป็ด ปลาดอลลี่ ปลาหมึกบั้ง เส้นมันเทศ บะหมี่ไข่ บะหมี่หยก เห็ดออรินจิ เห็ดเข็มทอง ลูกชิ้นต่างๆ เฟรนฟรายและไอศกรีม

ที่โอเด็ตชอบมากที่สุดคือ ไส้เป็ด และฟองเต้าหู้ทอด ที่เสิร์ฟไม่อั้น เข้ากันดีกับน้ำซุปหมาล่าสุดๆ โซนน้ำจิ้ม เดินปรุงเองหรือจะปรุงตามสูตรด้านบนได้เลยค่ะ น้ำซุปมีให้เลือก 5 ซุป ดังนี้ ซุปหมาล่า ซุปกระดูกหมู ซุปมะเขือเทศ ซุปสุกี้น้ำดำ ซุปต้มยำกุ้ง

บุฟเฟ่ต์ที่นี่ทานได้ชั่วโมงครึ่ง มีทั้งหมด 4 ราคา 219/299/399/499 ไม่รวมน้ำ refill 39 บาท และ vat 7% นะคะ

ใครอยากกินบุฟเฟ่ต์หมาล่าคุ้มๆ ตามพิกัดมาที่ หม้อไฟอั่งเปา บรรทัดทอง ลง BTS สนามกีฬาแห่งชาติ เดินตรงมาทางแยกเจริญผล 800 เมตร ร้านจะอยู่ติดกับมนต์นมสด เปิดตั้งแต่เที่ยงถึงห้าทุ่มครึ่งทุกวัน จอดรถได้ที่ Stadium One นะคะ

📍หม้อไฟอั่งเปา บรรทัดทอง
พิกัด: Stadium One บรรทัดทอง ติดกับมนต์นมสด
⏰️ เวลาเปิด: 12:00 - 23:30น. ทุกวัน
🚗 การเดินทาง: BTS สนามกีฬาแห่งชาติ หรือ รถยนต์ส่วนตัว จอดที่ Stadium One"
Ci9DQUlRQUNvZENodHljRjlvT2taQlpDMXVaV1V0TUZaNk5IaFhZMkpIY0ZGWVEzYxAB,wirassaya thobdan,4,รสชาติกลางๆ ไปจนถึงอร่อย มีหลายราคา ราคาเริ่มต้นมีหมู 3 แบบ มีผักเยอะ ฟองเต้าหู้ เส้นมัน ลูกชิ้น ปลาดอลลี่ สูตรน้ำจิ้มสามก๊กอร่อยดี โดยรวมโอเคเลย
Ci9DQUlRQUNvZENodHljRjlvT2t3M2RERnBOMmRRYzFSc2NWWnRhVlpoTkZKcFIzYxAB,Sita Kim,4,โดยรวมดีมาก อาหารมาเร็ว สั่งแล้วได้เลยไม่ต้องรอ น้ำจิ้มก็ปรุงตามใจเราได้เลย คุ้มมากในราคา 219 ต่อคน แต่ตินิสนึง เฟรนฟายทอดทิ้งไว้นานแล้ว น้องยมไปหน่อย ค่อนข้างเหนียว ถ้าเป็นไปได้ ทอดออกทีละนิดกำลังดีหรือไม่ตัดน้องออกแล้วเเพิ่มเป็นเมนูอื่นดีกว่า
Ci9DQUlRQUNvZENodHljRjlvT25sNlRHWk9TMlJsYlZGdlNsOUlTa1pqZGxwTU5VRRAB,Marisa,1,ร้านดูสกปรกดูเก่าอ่า พนักงานเดินเตะเก้าอี้ไม่ขอโทษ มาปรับไฟที่หม้อไม่ขออนุญาต ยืนคุยกันเสียงดัง ของไม่คุ้มค่ากับราคา เฟรนฟรายก็แข็ง อร่อยแค่น้ำจิ้ม
Ci9DQUlRQUNvZENodHljRjlvT2tsS1REWlRUMDVhYzBwS1kwb3dlSHAwYkdjd1dsRRAB,Savarose Vituvinit,1,ให้ดาวเดียวยังเสียดายค่ะ สกปรก เรามาตามที่เขารีวิวกันคืองงว่าร้านดังได้ไง ไม่ตรงปก บวกอีกหลายค่ามาก ทานแบบ 299 สรุปจ่ายจริง 393 คือเสียดายเงิน เสียดายความตั้งใจจะไปกิน ทุกอย่างคือขึ้นราหมด ปิดร้านไปเถอะค่ะ ดูถูกผู้บริโภคเกิน
Ci9DQUlRQUNvZENodHljRjlvT21OaE9YYzNPSEpJV0RoVFFqUnhVamxoTURjd2JuYxAB,lostin lee,1,ไม่ประทับใจเลยไปมาเมื่อวันศุกร์ที่แล้วคิดว่าร้านอยู่ตรงบรรทัดทองย่านดังขนาดนี้คงได้มาตรฐานหน่อยแต่ไม่เลย สิ่งแรกที่พบคือร้านไม่สะอาดเลย อาหารไม่สะอาด ถาดอาหารที่ใส่พวกหมูมาคือสกปรกมากมีคราบอะไรไม่รู้ไม่แน่ใจว่าได้ล้างหรือเปล่า สกปรกจริงๆค่ะ รสชาติอาหารพอใช้ได้แต่ความสะอาดไม่ผ่านเลย แก้วน้ำ ถ้วยตรงที่ตักไอศกรีมสกปรกมากๆกินไปไม่มีความสุข วันนั้นเลยไม่ได้กินไอศกรีมเพราะดูสกปรกเกินกินไม่ลง ตอนทานอยู่พนักงานเดินมาแจ้งว่าหมดเวลาทานแล้วก็คิดว่าหมดไวจังเลยงงๆแต่เราไม่ทราบว่าเราเข้าไปกี่โมงเพราะเขาไม่ให้ใบเสร็จอะไรเลยตอนเข้าไปก็ไม่แจ้งว่าทานได้กี่นาที ถามตอนได้อาหารแล้วถึงทราบว่าทานได้ชั่วโมงครึ่ง พอพนักงานมาแจ้งแฟนก็ยังกินไม่เสร็จแต่เราก็ไปจ่ายเงินถึงเห็นใบเสร็จว่าเหลืออีก20นาทีเลยแจ้งแคชเชียร์ แคชเชียร์ขอโทษและบอกพนักงานแจ้งผิดโต๊ะให้กลับไปทานต่อได้ ซึ่งตอนนั้นทุกคนก็เซ็งมากแล้วเลยไม่ทานต่อก็เลยกลับ สรุปเป็นประสบการ์ณที่แย่มากเราเห็นรีวิวในtiktokว่าดีคุ้มราคาเลยตั้งใจมาทาน เดินจากที่จอดรถไกลมากเพื่อมาทานที่นี่แต่เจอแบบนี้ไม่ไหวจริงๆ ไม่ซ้ำและไม่แนะนำใครเด็ดขาดค่ะ ปรับปรุงด้วยนะคะขอร้องจากใจ
ChZDSUhNMG9nS0VJQ0FnTUN3cmFpcUVREAE,MARRY PHO-TI-KAEW,5,"มีมี่มีร้านชาบูหม้อไฟ #ย่านสามย่าน
มาแนะนำทุกคนค่ะ
ที่นี่ #หม้อไฟอั่งเปา 🍲🫕🥘

บุฟเฟ่หมาล่าย่านบรรทัดทอง ราคา 219฿ บอกได้คำเดียวว่าาาา คุ้มมว๊ากกกก!!! 🫶🫶🫶

ไส้เป็ด ฟองเต้าหู้ทอง เส้นมันเทศ สั่งได้ไม่อัเนที่สำคัญมีน้ำซุปให้เราเลือกเยอะมากเลย

เพราะไม่ได้มีดีแค่น้ำซุปหม่าล่าน้าาา
แต่ยังมีซุปน้ำดำ กระดูกหมู แบบ เข้มข้นมากก 😋🫶🫶

ที่สำคัญเดินทางสะดวก ปิดดึก ที่นั่งสบายด้วยย

ไปค่าทุกคนไปทานกันน~~ 😋😋🫶🫶

พิกัด📍หม้อไฟอั่งเปา บรรทัดทอง
🚗 จอดรถได้ที่ สเตเดียมวัน เอาใบเสร็จเป็นส่วนลดค่าที่จอดได้
หรือจะนั่ง bts ลงสนามกีฬาแห่งชาติ
⏰ เปิด 12.00 น.-23.00 น. ปิดวันจันทร์

#หม้อไฟอั่งเปา #ร้านปิดดึก #ร้านอาหารบรรทัดทอง #ของกินบรรทัดทอง #ของอร่อยบรรทัดทอง #บุฟเฟ่บรรทัดทอง #รีวิวร้านบรรทัดทอง #รีวิวร้านอาหารบรรทัดทอง"
ChZDSUhNMG9nS0VJQ0FnTURBay1URlB3EAE,Eurng Manita,4,"ทานเซ็ต 219+ ไปค่ะ ส่วนใหญ่ราคานี้จะเน้นที่หมูค่ะ จะมีที่พิเศษมาหน่อยก็จะเป็นฟองเต้าหู้ทอด, ไส้เป็ดค่ะ ซุปถ้าเลือก 3 อย่างเพิ่ม 99 บาท ซุปหม่าล่า, กระดูกหมู, น้ำดำ อร่อยเลยค่ะ น้ำจิ้มต้องปรุงเอง, เครื่องดื่มบริการตัวเองส่วนใหญ่เป็นน้ำหวานกับน้ำอัดลมค่ะ มีไอศรีมด้วย การเสิร์ฟอาหารค่อนข้างที่จะช้านิดนึงค่ะ ของทานเล่นสั่งเฟรนฟรายมา ค่อนข้างที่จะไม่ได้เลยค่ะ ไม่ร้อน ไม่กรอบ ไปในเชิงเหนียวๆ ทานได้ 1.30 ชั่วโมง"
ChdDSUhNMG9nS0VJQ0FnTURJdy1qeXl3RRAB,titisuda nxts,1,ไม่อร่อยเลยอะ คือเป็นครั้งแรกที่กินหม่าล่าแล้วเสียดายตังขนาดนี้ น้ำซุปกระดูกหมูจืดมาก หมูเนื้อสดพอใช้แต่คุณภาพไม่ไหวเลย เนื้อเหนียว สามชั้นหามันไม่เจอ ไม่มีน้ำจิ้มงา เข้าไปสิ่งที่อร่อยคือฟองเต้าหู้ทอดกับไอติม ของทอดนี่ไม่ต้องพูดถึง ไม่ได้หวังให้กรอบสดใหม่ขนาดนั้นแต่นี่มันแข็งโป๊กเย็นชืด
