review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2pkTk1URTNORTB4VXpaM1VXWk1hM2t4YWpObWNXYxAB,Tuy Chanmonypech,4,"Dropping by this restaurant while shopping in Central World. There are varieties of food choices beside the BBQ. They offer a free flow of shredded cabbage, which is my favorite. I liked how they currently offer the mixed-well sauce. The soup is a little bit bland, but it’s okay. The meat is fresh. The price is acceptable. Their fried shrimp also tastes good. The service was alright, though it was a little slow sometimes. But overall it’s worth the price."
Ci9DQUlRQUNvZENodHljRjlvT2t0SFUyaENablZ1UTNGTVVFUnFRMXBDU1VwbVRFRRAB,李志東,4,"This was my very first time trying Thai-style BBQ combined with hotpot, and it turned out to be quite an experience. The restaurant is located inside a shopping mall, with a clean and tidy environment. Hygiene levels were decent, and the overall atmosphere felt comfortable.

When it comes to food, there are plenty of options to choose from. The quality of the meat was surprisingly good—fresh and flavorful. One highlight is their platter set, which I think is perfect for anyone who struggles with decision-making. It includes a good mix of different meats and ingredients, and the price is very affordable.

The garlic fried rice was decent too—fluffy with a nice garlic aroma, topped with crispy garlic chips. Personally, I felt the flavor could be a little stronger, but that’s easily fixed by adding their house-made sauces, which really elevate the taste.

Speaking of sauces, their BBQ dipping sauce is definitely the star of the show—rich, flavorful, and incredibly appetizing. It paired so well with the grilled meat that I just couldn’t stop eating. Over time, the broth beneath the grill absorbed the dripping meat juices and became more flavorful, ending up with a spicy, savory kick that was both comforting and addictive.

Overall, this Thai BBQ & hotpot restaurant offers excellent value for money, with fresh ingredients, generous variety, and their signature sauce that makes the meal unforgettable. It’s a fun and tasty choice, especially if you’re dining with friends or family. If you’ve never tried Thai-style BBQ hotpot, this place is definitely worth a visit."
Ci9DQUlRQUNvZENodHljRjlvT2tkVlgwZHdlR1J3YlZoblRWazVhbmxCYUVnNGJVRRAB,Park Bodhisundara,5,"บาร์บีคิวพลาซ่าสาขาเซ็นทรัลเวิลด์
ทุกอย่างอร่อยได้มาตรฐาน
ที่มาแล้วต้องสั่งทุกครั้งก็คือหมูสามชั้น ปลาร้า เมนูหมูดีทุกอัน
แล้วก็มีผัดกะหล่ำเติมให้ตลอด"
Ci9DQUlRQUNvZENodHljRjlvT2tab09XWkdjR0pyWTBkMmFUZFlTM2x0YTNwcWVWRRAB,Princess Mia,3,ไม่ได้กินบาร์บีก้อนนานแล้ว วันนี้เห็นมี lunch set ราคาไม่แรง เลยมาลองดู ชุดเนื้อราคา 209 บาท มีเนื้อ ข้าวสวย กิมจิ และของกินเล่น (เลือกระหว่างเห็ดเข็มทองทอด หรือเกี๊ยวซ่า) ปริมาณโอเคนะ แต่เนื้อบางมากๆ บางเกิน เวลาย่างแล้วจะกลับด้านแทบกลับไม่ได้ และเนื้อเปล่าๆไม่อร่อยเลย ต่อให้จิ้มน้ำจิ้มแล้ว ต้องเป็นเนื้อหมักหรือเนื้อมิโซะถึงจะมีรสชาติขึ้นหน่อย เลยสั่งสามชั้นหมักมาเพิ่ม จานละ 125 บาท ไม่รู้หมักอะไรแต่ทั้งหมูทั้งน้ำหมักดูแข็งๆจับตัวเป็นก้อน แต่รสชาติดีกว่ากินเนื้อเปล่าๆ สรุปคือประทับใจกับปริมาณของ Lunch set แต่ไม่ประทับใจคุณภาพเลย ส่วนการบริการดีมาก พนักงานสุภาพ ใส่ใจ คอยเติมน้ำเติมกะหล่ำปลีให้
ChdDSUhNMG9nS0VJQ0FnSURmcjRPMnNnRRAB,Jira Tong,5,"Review: 🇹🇭 | 🇬🇧

ส่วนตัวไม่ค่อยได้มากิน BarBGon ที่เซ็นทรัลเวิร์ดบ่อยนัก มารอบนี้พบว่าร้านไม่มีเมนูที่เป็นเล่มกระดาษให้สั่งแล้ว การสั่งอาหารเป็นรูปแบบการแสกน QR code สั่งผ่านไลน์ และชำระเงินผ่านไลน์แทน สำหรับใครที่ไม่เชี่ยวชาญเทคโนโลยี สามารถเรียกขอเล่มเมนูจากน้องๆ พนักงานมาสั่งตามปกติได้เลย

เมนูที่สั่งไปเป็นเมนูของสมาชิก รูปแบบเซ็ตจะแตกต่างจากเมนูของลูกค้าทั่วๆ ไป ชุดที่สั่งเป็นชุดหมู เนื้อ กับเนื้อหมาล่าแบบเผ็ดมาก ถ้าใครเป็นแฟนของบาร์บีก้อนอยู่แล้วก็น่าจะพอรู้รสชาตและคุณภาพของเนื้อของร้านนี้เป็นอย่างดี มากินรอบนี้ได้น้ำจิ้มสุกี้เพิ่มมาอีกถ้วยนึงด้วย ไม่รู้ว่ามีอยู่ในชุดเมนูที่สั่งไปด้วยหรือไม่ ส่วนตัวชอบน้ำจิ้มสุกี้ของที่นี่มากรสชาตกลมกล่อมกำลังดี หอมผักชีมากๆ

ในส่วนของเนื้อหมาล่า สำหรับเราถึงว่าไม่เผ็ดเลย คิดว่าถ้าร้านมีผงหมาล่าให้ปรุงเพิ่มเองก็จะดีมากเลย ส่วนผักกะหล่ำก็ยังคงเติมได้เรื่อยๆ เหมือนเดิม

พนักงานสาขานี้บริการดี คอยเติมน้ำ เติมกะหล่ำให้โดยที่ไม่ต้องร้องขอ

โดยรวมแล้วค่อนข้างประทับใจร้านนี้ อาหารคุณภาพคงที่ ราคาไม่แพง พนักงานบริการดี

=============

I don't visit BarBGon at CentralWorld very often, but this time I noticed they’ve switched to a QR code system for ordering. Customers now scan the QR code, place orders through LINE, and make payments via the app. For those who aren't tech-savvy, you can still request a physical menu from the staff to order as usual.

This visit, I ordered a member-exclusive set menu, which differs from the regular options. The set included pork, beef, and spicy mala beef. Fans of BarBGon will already know the quality and taste of the meats served here. As a bonus, I received an extra bowl of sukiyaki sauce, which I love for its balanced flavor and refreshing hint of coriander.

As for the mala beef, I personally found it not very spicy. It would be great if the restaurant provided extra mala seasoning for customization. On the bright side, cabbage refills are still unlimited as always!

The staff at this branch offered excellent service, consistently refilling drinks and cabbage without needing to be asked.

Overall, I was impressed with the consistent food quality, affordable prices, and outstanding service. A must-visit for BBQ lovers!

📍 Highlights:
- QR code ordering system, but physical menus are available on request
- Member-exclusive set menus offer unique choices
- Unlimited cabbage refills and flavorful sukiyaki sauce
- Friendly and attentive staff"
ChdDSUhNMG9nS0VPajMzSS1uME9LNy1RRRAB,Huỳnh Công Hiển,5,"You can find this restaurant anywhere in any mall. This franchise has never failed me. The taste is superb. Pork is always so tender and great seasoning, especially the marinated sesame pork. That is a must try. The beef is always fresh. The marinated chicken is also a big plus. I have never been a fan of seafood so I didn’t order any, but I heard people said they were really fresh. I have been to this place 2 or 3 times in every trip to Bangkok and this is my 3td trip, so you do the math."
Ci9DQUlRQUNvZENodHljRjlvT2tKclFVUldaVmxKUjBGRVduTnVURmhrVW1SS1QzYxAB,TTT,4,"Great place to have a meal. With loads of cabbage and their speciality chili sauce.
Service was great and prompt. Didn’t take long for the food to be served after placing our order."
ChdDSUhNMG9nS0VJQ0FnSURmZ1B2SDlnRRAB,Origami,4,"BarBQ Plaza สาขา Central World

เป็นหนึ่งในร้านหมูที่ทุกคนที่ทานจะนึกถึงน้ำจิ้มเป็นหลักเพราะไม่เหมือนเจ้าไหนๆในตลาด ด้วยความเข้มข้น และ รสชาติเฉพาะหาทานที่ไหนไม่ได้ รสแนวเต้าเจี๊ยว นัวๆ

จุดเด่นเลย คือ น้ำจิ้ม พริก กระเทียม น้ำมะนาว เติมได้ไม่อั้น กะหล่ำปลีฝอยฟรี เติมได้ไม่อั้นเช่นกัน

ในแต่ละฤดูกาลจะมีจัดชุดโปรโมชั่น ในตอนนี้จะเป็นชุดสุขเลือกได้ สามารถทานได้ประมาณ 3-4 คน ราคาชุดละ 999.- มีจานหลักเนื้อเลือกได้ 3 อย่าง จานเสริม 3 จาน เครื่องเคียง 2 ที่ ของทานเล่น 2 ที่ เครื่องดื่มรีฟิล 2 แก้ว และ ของหวานไอศกรีม 2 ที่

ชุดสุขเลือกได้ (999.-) เป็นเซตที่ได้เยอะคุ้มค่า ที่ร้านไม่มี ServiceCharge ด้วย ตัวน้ำจิ้มรสเข้มข้น เต้าเจี๊ยวนัวๆ เข้ากับพริกกระเทียม น้ำมะนาวได้ดี เซตนี้คุ้มค่าสุดๆทานแล้วอิ่มปริมาณมากๆ"
ChZDSUhNMG9nS0VJQ0FnTUNRLVlEWkJBEAE,วันจันทร์ ที่ผ่านมา,5,"บาบิกอน เซนทรัลเวิร์ด
ร้านไม่ใหญ่ขนาดกลางโต๊ะไม่เยอะแต่บริการดี
สะอาด บริการไว อาหารสด สะอาดดี
ปิ้งย่าง สะดวกกิน น้ำจิ้มเอกลักษณ์
พริกกระเทียม น้ำจิ้มอยู่บนโต๊ะเติมเองสะดวกดี

สีสดใส อาหารใหม่ อร่อยตามปกติ

รสชาติ🌟🌟🌟🌟
คุณภาพ🌟🌟🌟🌟
บริการ🌟🌟🌟🌟
ความสะอาด🌟🌟🌟🌟
ความสะดวก🌟🌟🌟🌟

*☺️☺️*เป็นความคิดเห็นตามความชอบส่วนบุคคล รสนิยม ประสบการณ์ ทิฐิ และจริต นะจ๊ะจ่ายเงินกินเอง เราก็วิจารณ์และติชมตามจริงที่ได้กินได้เจอมาในวันเวลาที่ได้เข้าไปกิน ดีก็ว่าไปตามดี แย่ก็ว่าไปตามนั้น อยากเห็นคำติชมเป็นการแก้ไข ปรับปรุง เพื่อให้ดีขึ้นไปมากกว่าการโกรธเกลียดสาปแช่งเรา แล้วก็ขออโหสิกรรมกันตรงนี้เลยนะจ๊ะ☺️😊**"
ChZDSUhNMG9nS0VPN1hsLUxiME8yZFZ3EAE,Serene Teo,4,Meat just ok. Soup very blend. But still a nice dinner. A little pricey. Free flow cabbage.
