review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2taSlpFMDBWbTF1UkdwRk1VTldXbms0TVc1a1IwRRAB,가을Kam,5,"- บรรยากาศห้องอาหารดี โล่ง กว้าง จัดเตรียมสถานที่สวยงาม โต๊ะรองรังแขกจำนวนเยอะมาก
รองรับตั้งแต่ 2-10 ท่านขึ้นไป สามารถโทรสำรองโต๊ะก่อนได้
- พนักงานบริการดี ยิ้มแย้ม แจ่มใส พูดสุภาพ
ทำอาหารและเสิร์ฟอาหารไว เก็บโต๊ะไว
- วันนี้ซื้อ voucher ตก มาลองในราคาคนละ 950 บาท ไลน์อาหารหลากหลาย มีหลายสัญชาติ Seafood on ice สด อร่อยดีค่ะ เมนูโดยรวมอร่อย ส่วนตัวก็ชอบ กระเพาะปลา
- โซนของหวาน โดยรวมรสชาติดี ชอบบิงซู กระทิทรงเครื่อง
- เครื่องดื่มมีให้เลือกเยอะ มีทั้งชาและกาแฟ
- ร้านตั้งอยู่ชั้น 10 ของโรงแรม ออกจากลิฟต์มา อยู่ฝั่งขวามือ มีเคาน์เตอร์พนักงานต้อนรับอยู่ด้านหน้าร้านอาหาร
- ที่จอดรถ มีจำนวนมาก สแตมป์บัตรที่ห้องอาหาร จอดฟรี
- มีพื้นที่รองรับรถวีลแชร์
-  มีห้องน้ําให้บริการสะอาด"
Ci9DQUlRQUNvZENodHljRjlvT2pselN6UlZORjh3YlhNM01URm1ORTAwY1dsYVlXYxAB,Gio,5,"The restaurant where the buffet breakfast is served is massive.  The food choices are amazing.  From congee to curry to pastries and a lot more.  The dish vary as well.  It hs two coffee machines.  The toilet is just outside the entrance.  The staff are fabulous makes the dining experience a bit more special. It gets busy from 0800 onwards.  Went at 0630 and there was more staff than guests.  Will i come back?  Of course, i have one more night at the hotel."
Ci9DQUlRQUNvZENodHljRjlvT2pSTFNuTkRiVmRoWWxCQ1JVb3lSR1Y1WlhKTVRFRRAB,Nana Relax,4,"บุฟเฟต์มื้อค่ำราคาเป็นมิตรมาก
มีแพ็คเกจให้เลือก ตามราคา
สามารถสั่งผ่านqr code ได้
_ไลน์อาหารหลากหลายดี มีให้เลือกทำสดใหม่
_คุณภาพวัตถุดิบปานกลาง
_รสชาติใช้ได้ เราไม่มีอันไหนที่ประทับใจเป็นพิเศษ
แนะนำกุ้งเผา และกุ้งเผาค่ะ
_ราคาถือว่าคุ้มค่าดีค่ะ
นั่งทานยาวๆ ตั้งแต่ 6โมงเย็นถึง 4 ทุ่ม"
Ci9DQUlRQUNvZENodHljRjlvT25kSGMwZ3RXV3hyVmxNNVoyaHdOVXBPY0dkM2NFRRAB,Prang9999,5,"🕯️ Candle in the Hotel Buffet Dark Age

บันไดอลังเหมือนเดินพรมแดง แต่ลงมาเจอของจริงที่ “อร่อยลืมถ่ายรูป” 🕯️
บุฟเฟ่ต์สไตล์ตะวันตกที่แทรกความเป็นไทยแบบเนียนๆ — Foie Gras หอมละมุน กุ้งเผาสดเด้งทีละตัว ผัดไทยคือ Hidden Gem ที่เชฟภูมิใจเสิร์ฟ 🇹🇭✨
ที่นี่ไม่ใช่บุฟเฟ่ต์โชว์หรู แต่คือบุฟเฟ่ต์ที่ “ต่างชาติควรมาลองให้ได้ก่อนกลับประเทศ” 🌍🥢
ขอบคุณคุณ Singh และคุณ Salma ที่ดูแลอย่างกับเป็นแขก VIP จริงๆ ❤️

A grand staircase fit for a red carpet… but downstairs is real food heaven! 🕯️
This isn’t a “fancy buffet for Instagram” — it’s a Western-style feast with a Thai soul.
Foie gras is buttery, prawns are charred to perfection (and already peeled!), and the Pad Thai? A true hidden gem 🇹🇭✨
If you’re visiting Thailand, this is the kind of buffet you must try before you leave — proof that flavor beats all filters 🌍🥢
Special shoutout to Mr. Singh and Ms. Salma for service that made me feel like royalty ❤️

像走红毯一样下楼，但等着你的不是相机闪光灯，而是真正的美味天堂！🕯️
这里不是“只为拍照”的餐厅，而是西式料理+泰式灵魂的完美结合：
鹅肝香滑入口即化，烤虾鲜嫩多汁还贴心去壳，泰式炒河粉简直是隐藏宝藏 🇹🇭✨
外国游客一定要来尝尝，这里的味道会让你怀念回国后的每一餐 🌍🥢
特别感谢 Singh 先生和 Salma 女士，让人感觉像贵宾一样 ❤️"
Ci9DQUlRQUNvZENodHljRjlvT2pGbVFWbHFhVVkyVUZNd1ZIWkxla1ZsWWs0NFduYxAB,Nat Karn,5,"My experience of dim sum buffet here is very impressive. The quality of food is great. The foods are prepared quickly, no need to wait too long for food. The waitress, Nook, who took care of my table, are nice and polite."
Ci9DQUlRQUNvZENodHljRjlvT2xweFdtUm9aRFZHYUU1VldVNHRPRTFCYjBGVmNuYxAB,Parisara Chancharoen,4,"ร้านตั้งอยู่ชั้น 10 ของโรงแรม Berkeley ร้านโปร่ง นั่งสบาย อาหารนานาชาติ ให้เลือกเยอะ
พนักงานสุภาพ พูดจาดี น่ารัก นอบน้อมมากๆ  คอยเดินดูเก็บโต๊ะตลอดเวลา และครึ่งนึงน่าจะเป็นต่างชาติ
อาหาร (ส่วนตัว) รู้สึกเฉยๆ ซีฟู๊ดไม่ได้สดมาก แต่ก็ไม่ได้แย่ ปูหิมะ ค่อนข้างเค็ม
ซูชิข้าวเยอะมาก และมีความเย็น
พวกอาหารเมนูผัดๆ รสชาติใช้ได้
ขนมรสชาติกลางๆ ตับห่านคุณภาพโอเค แต่รู้สึกว่าทำแข็งไปหน่อย และซอสไม่ค่อยอร่อย
มาเย็นวันศุกร์คนน้อยมากๆ"
Ci9DQUlRQUNvZENodHljRjlvT2kxME1pMUxlakppTVVsTlRWSkhSbFJNTnpkTGNrRRAB,Kyo Kyokyo,4,อาหารดีครับ  แนะนำเลยสำหรับคนชอบติ่มซำ แบบบุฟเฟ่ห์
ChdDSUhNMG9nS0VJQ0FnTURBLXY2WDZ3RRAB,Gulranid Traisawatphanit,5,"มากินเป็นดินเนอร์บุฟเฟต์ แนะนำสำหรับคนชอบซีฟู้ดเลยค่ะ อาหารสดดี มีนึ่ง ย่าง อาหารอื่นๆเช่นอาหารญี่ปุ่น ถือว่าอยู่ในเกณฑ์ดีเลยค่ะ
อาหารอินเดีย กับ พวกอาหารไทย ถือว่าเฉยๆ
โรงแรมด้านนอกอาจจะดูเก่า น่ากลัวหน่อย
แต่มาถึงห้องอาหาร สะอาดมากค่ะ พี่ๆพนักงานบริการดีฟุดๆ"
ChdDSUhNMG9nS0VJQ0FnSUNUM0x1aHBBRRAB,JackPawat B,4,"18.04.2025

กองทัพขนมหวาน อลังการอีกแล้ว :) รับรู้ถึงความประณีตและความยากในการทำ  (แต่ถ้าลดความหวานลงนิดจะยิ่งดี )

วันนี้ลูกค้าไม่ค่อยเยอะ   พ่อครัวแม่ครัวแต่ละ station ที่ปรุงสุกจานต่อจาน พร้อมให้บริการ  และก็เดินมาแวะดูความเรียบร้อยของอาหารในไลน์อาหารเป็นระยะ

พนักงานหมั่นเดินเก็บจานและเติมน้ำดื่มให้

ห้องน้ำมีสายชำระสบายๆ

เป็นอีกห้องอาหารนึง ที่นั่งยาวๆสบายๆได้
___
บุฟเฟต์มื้อเย็นวันเสาร์ กองทัพขนมหวาน น่าตื่นตาตื่นใจมาก  เกล็ดน้ำแข็งรสนมอร่อยดี  ครีมชาเขียวถั่วแดงก็อร่อย

เหมือนทวงความเป็นหนึ่งในตัวเลือกบุฟเฟ่ต์ย่านประตูน้ำกลับมาได้ :)
มีทั้งปู กุ้ง หอย  ปลา ไก่ หมู เนื้อ
seafood ย่างร้อนก็มี
เป็ดปักกิ่ง ปูนิ่ม

พนักงานให้บริการดี หมั่นเติมน้ำ และเดินเก็บจาน"
ChdDSUhNMG9nS0VJQ0FnSUNkLWM3TnJ3RRAB,วิน วิน พลัส,4,Seafood Dinner Buffet มื้อค่ำวันศุกร์และวันเสาร์ อาหารค่อนข้างหลากหลาย มีทั้งซีฟู้ดออนไอซ์ กุ้งแม่น้ำย่าง หอยนางรมสด เคาน์เตอร์เทปันยากิ เป็ดปักกิ่ง หมูหัน หมูกรอบมีทั้งแบบจีนและแบบฝรั่ง ซุปทรัฟเฟิล ซาชิมิ ข้าวปั้น เทมปุระ พาสต้า ก๋วยเตี๋ยวเนื้อวากิวและหมูคุโรบุตะ ชีส 4-5 แบบพร้อมผลไม้สดและผลไม้แห้ง อาหารปรุงร้อนสไตล์ไทย-จีน และอาหารอินเดีย มุมสลัดมีผักให้เลือกบ้างไม่หลากหลายเท่าไหร่ ส่วนมุมขนมหวานค่อนข้างหลากหลายและดูน่ากิน มีไอศกรีมและเครื่องทำบิงซูไว้ให้บริการด้วย ราคารวมเครื่องดื่มประเภทน้ำอัดลมและน้ำเปล่า รวมทั้งชา-กาแฟที่สามารถกดจากตู้อัตโนมัติบริการตัวเองได้เลย  หากต้องการจ่ายเพิ่มเพื่อรับเมนูพรีเมี่ยมแบบไม่อั้น อย่างเช่น ฟัวกราส์หรือตับห่าน เนื้อปลาหิมะนึ่งพริกมะนาว สเต๊กซี่โครงแกะ ขาปูอลาสก้านึ่งพร้อมน้ำจิ้มซีฟู้ด และ แคลิฟอร์เนียโรลปลาไหลย่างซีอิ๊ว เป็นต้น พนักงานจะนำคิวอาร์โค้ดมาติดไว้บนโต๊ะของเราเพื่อให้เรากดสั่งเมนูพรีเมี่ยมเองผ่านทางออนไลน์
