review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2pOdWJIcGxiRmQ0YUVRNU1ETm5WRVZMTjBaR2QxRRAB,Fan,5,"The price is high, but let me tell you that it is 100% worth it. You have to book an appointment through the app which is easy. On weekdays no deposit, on weekends with deposit which makes sense.

The check-in we did not really know where to go, so we went to the counter and we had to pay there. The staff behind the counter did not tell us where to go so that part was a bit confusing.

We were seated at 126, which was quite far walking to the main part of the buffet.

It is a bit of queuing at the ""order counter"", and is quite hard as there is only one menu hanging there. So you can only check when it is almost time for you to order.

When you order to the staff, it feels a bit like you are ordering in a takeaway restaurant telling the staff the numbers you want and is honestly not very convenient. I would prefer a QR code to order from the table so I don't need to waste time queuing. Or at least make the process easier at the counter.

It did not take away the fact that the food was overwhelmingly good. Every single dish that I tried from starter to dessert is just super delicious. The meat is of top Quality as well the presentation.

I ate so much at lunch that I could not eat in the evening anymore, it was that good!"
Ci9DQUlRQUNvZENodHljRjlvT2pST09WRlhVSEJRTVdOWGVraHRYMUZHWDI5Q1RHYxAB,Nathatai,5,"ห้องอาหารใหญ่มาก คนเยอะ จัดระบบระเบียบดีมาก อาหารสดสะอาด เมนูสเต็กธรรมดา  แนวอาหารญี่ปุ่นคุณภาพดี ซีฟู้ดดี ฟิวชั่นก็ดี ของหวานดีมากคะ อร่อยทุกอย่าง ก๋วยเตี๋ยวน้ำตกอร่อยมาก ซุปเห็ดก็อร่อยมาก
พนักงานบริการดีค่อยเก็บจานตลอด ดูแลดีมาก โดยรวมคือดี
ขอหัก 1 ดาว ส่วนตัวว่าเวลาในการทานน้อยไปคะ บางเมนูกว่าจะเสิร์ฟใช้เวลาครึ่งชม. โต๊ะไกล เดินสนุกเลย
ห้ามพลาด ..ซุปเห็ด กับ ของหวานค่า

***คนที่ไม่เคยมาทาน ควรดูเมนูมาก่อน จะได้ง่ายต่อการสั่ง
** คนธาตุอ่อนระวัง หอยนางรม นะคะ ที่บ้านกลับมาก็ท้องเสียคะ"
Ci9DQUlRQUNvZENodHljRjlvT2t4VVV6ZGtUWEZ5ZURVNVprWlFaRm8yTmxZMlRuYxAB,Gurkensalat,5,"I rarely ever write reviews, but I had to for this place. I’d had a terrible day, and this restaurant didn’t just save my day it saved my whole week.
I arrived with high expectations after hearing so many great things, yet I was still blown away. The staff operates like clockwork incredibly kind, attentive, and genuinely helpful with recommendations. Honestly, I’ve never experienced service this good in my entire life.
I was seated right away, and every staff member spoke fluent English. The food was phenomenal beautifully prepared and served almost instantly. Most of the time, the dishes reached my table before I did, and whenever I left for even a minute, the plates were cleared like magic.This restaurant is a solid 10/10 an absolute must-visit in Bangkok. I’ll definitely be coming back."
Ci9DQUlRQUNvZENodHljRjlvT2kxUGQzVmxaRVkzZERKNWJFRTBXa1J3U1c5alZYYxAB,Suwjn THP,3,"27.11.2025 : อยากให้เปลี่ยนระบบการสั่งอาหารไปสแกนสั่งแล้วดูประวัติการสั่งอาหารได้ค่ะ เข้าไปรับบริการแล้วอาหารมาค่อนข้างช้า และมาไม่ครบ นั่งรอจนง่วงนอน

อาหารอร่อยอร่อยเมนูทำรสชาติออกมาได้โอเค
ขอยกเว้นเมนู กุ้งดอง หมึกดอง รสชาติยังไม่ถูกปาก

เมนูที่ชอบ : ซาซึมิ , ซูชิเนื้อวากิว , ตระกูลสปาเกตตีทำออกมาได้ดี , หอยนางรมอร่อยมาก , ของหวานก็ยังไม่ค่อยถูกใจเท่าไหร่

(เป็นการใช้บริการครั้งที่สาม
เรื่องรสชาติอาหารอะไรที่กินไม่ได้ แบบไม่ชอบมากๆ
ก็จำไว้แล้วไม่สั่งอีก และยังติดเรื่องการสั่งอาหาร
ต้องเดินไปสั่งที่เคาน์เตอร์จุดบริการ
บอกเลขโต๊ะ แล้วรอให้อาหารมาเสิร์ฟ
แต่ละเมนูอาจจะรออาหารไม่เท่ากัน
แต่โดยรวมค่อนข้างช้า และโต๊ะเราได้อาหารไม่ครบค่ะ
ซึ่งเราเองไม่สามารถดูได้ว่าเราสั่งอะไรไปแล้วบ้าง
มีการสอบถามกับพนักงาน
พนักงานแจ้งว่าอาหารของเราไม่ได้ค้างอยู่ที่ครัวแล้ว

ซึ่งกว่าจะรู้ ก็เหมือนจะเสียเวลาไปเกือบ 30 นาที
พอไปสั่งใหม่อาหารก็จะมาช้ามากกว่าเดิม
เพราะว่าคนที่เข้ามารอบต่อไป ทีนี้ก็รอนานหนักเลย

นั่งรอจนง่วงนอนแล้วง่วงนอนอีก
อาหารก็ยังไม่มา ถ้าเปลี่ยนเป็นระบบสแกนสั่ง
แล้วดูประวัติได้ว่าเราเคยสั่งอะไรไปแล้วบ้าง
น่าจะดีกว่านี้ค่ะ)

- ที่อยากให้ปรับปรุงอีกเรื่องนึงคือ บาร์น้ำ ไม่มีน้ำเปล่า
ไลท์สุดน่าจะเป็น ชาเขียวมะลิ (ซึ่งยังหวานอยู่ดี)
ชาไทย หวานมาก (ชาไม่หอม)

- เก้าอี้หนังที่เป็นแตกๆ อยากให้ปรับปรุง ใส่กางเกงขาสั้นนั่งโดนตรงที่มันแตกแล้วเจ็บค่ะ"
Ci9DQUlRQUNvZENodHljRjlvT25aUVNXOUNWM0pKYnpKMFMwaGpjMkZNUlZSUVNtYxAB,JOE HI,5,ร้านเปิดให้กินเป็นรอบๆส่วนตัวคิดว่าการจองค่อนข้างยากถ้าคนที่ไม่ค่อยรู้เทคโนโลยีอาจจะจองไม่ได้ อาหารอร่อยดีมีให้เลือกหลากหลายระบบจัดการในร้านดีมากถึงแม้จะคนเยอะแต่ก็เสิร์ฟได้เร็วอาหารร้อนทุกจาน แต่ถ้าเป็นไปได้อยากให้มีช่องทางสแกนคิวอาร์โค้ดแล้วสั่งเองจากโต๊ะไม่ต้องเดินไปต่อคิวที่เคาน์เตอร์เพราะมันเสียเวลายืนต่อคิว ชอบเนื้อมากทำได้ดี
Ci9DQUlRQUNvZENodHljRjlvT2s0MlIzVkhjM2RYUW5Wc1lWUkJSWEJHZUZreVIyYxAB,Butter Belle,4,"2 ชั่วโมง อิ่มอยู่นะ ตกคนละ1,3xx คือไม่ต้องเผื่อเวลามานั่งรอเยอะ ประทับได้แค่ 3 ชั่วโมงต้องจ่ายส่วนต่างก่อนมารถกระติ๊ดติด รวมอาหารกลางกลางถ้าให้มาสามอีกคงไม่มาอาหารดีอยู่แต่รู้สึกว่าไม่ค่อยคุ้มเท่าไหร่ บริการดีอยู่ แต่ตอนแรกคิดว่าจะดีกว่านี้สุขเค้ามาถึงก็ไม่ร้อนและอาหารกว่าจะมาเสิร์ฟ หมอมาเลี้ยงสังสรรค์กินบุฟเฟ่ต์กับเพื่อนเพื่อนนั่งเม้าส์มอยส์ได้แค่แป๊บเดียว ข้างในร้านตกแต่งสวย มีอาหารหลายชาติและอาหารไทยส่วนใหญ่รสจัดเผ็ดอยู่ถ้ากินไม่เผ็ดต้องบอกว่าไม่เผ็ด อันนี้เพื่อนจองมา"
Ci9DQUlRQUNvZENodHljRjlvT2xwR2VuWjBWMVIyVEZwRlMzRjNjbmszUjNsT1pFRRAB,Puvanai Dardarananda,3,"An Organizational Marvel with Five-Star Service
This well-established buffet restaurant is famed for offering a level of service and efficiency that rivals five-star hotel buffets, and my first visit certainly confirmed its operational prowess. The sheer number of people waiting to get in was amazing, and the entire experience is run with military precision, starting exactly at the noon hour.
The system is highly streamlined: you register to get your table number, and once seated, you find a clean setup of utensils. Most of the hot food is ordered through various stations—you select your items (from grilled meats and pasta dishes to rice and desserts) and give your table number, and the dishes are delivered right to you. There are also self-serve stations for fresh seafood, skewers, fried items, and noodle bowls.
I ordered the roast beef and steak, which arrived within a reasonable ten minutes—a testament to their system's efficiency. While the food was decent, I have to say I was more impressed by the smooth, machine-like service than by the flavors. The staff are constantly moving and highly attentive.
In the end, we spent the full two hours enjoying the atmosphere and flow. It was a good time, but given the price point and the restaurant's reputation, I had expected a greater ""wow"" factor in the taste and depth of the food. It's an experience worth having for the efficiency alone, but one should manage expectations regarding culinary excitement."
Ci9DQUlRQUNvZENodHljRjlvT2pKaVpIbEZRVkJoUmxOM1l6aG5OSGxOZUc1cFRGRRAB,HummingbirdS,4,"อาหารรสชาติดีเกือบทุกเมนู คุณภาพวัตุดิยดี
- ซุปทรัฟเฟิลดี ครัวซองเฉยๆ
- เกาเหลาเนื้อวากิวเข้มข้น สมกับที่หลายคนแนะนำ
- ซุชิ ชอบข้าวซูชิรสเปรี้ยวนิดๆอร่อย"
Ci9DQUlRQUNvZENodHljRjlvT2pBd1lpMXlRWE5PVVVKcFRFcHJka3RKZWxCaE1tYxAB,Pichayapa Sws,5,มีทานสาขานี้รอบ2ในรอบหลายปี รสชาติดี แต่รู้สึกว่าบางเมนูให้น้อยกว่าอีกสาขาค่ะ โดยรวมพนักงานบริการดี อาหารอร่อยหลายอย่าง บางอย่างเฉยๆ สถานที่กว้าง จองง่ายเดินทางง่ายค่ะ
Ci9DQUlRQUNvZENodHljRjlvT25FdGQwRkJTamxSVkZOSGFVODVkR2MyVW5GU2NWRRAB,Fynn Neo,3,"Taste of food ok especially salmon. Not much choices like thise hotel buffet.
Initially get the package A w lobster tail and change to line app booking offer, the service lady told me same package but at the end just normal buffet without the lobster.
Environment ok.
Food quality to improve suspect oyster cause my stomach upset 1hr after, and vomit. Luckily taken charcoal pill immediately as saw other old review with similar food poisoning."
Ci9DQUlRQUNvZENodHljRjlvT2toc2VYQjZNbWxXVTNGYVVXeHVhVU5wZEMweloyYxAB,Ah Kay,4,"The main dishes “lobster with cheese”, “lamb” and “steak” were great add one and definitely great value. Remaining items ordered from the buffet were average, but the desserts were great. Thai milk tea was a highlight and the staffs were friendly and provided good service. Overall a good experience."
Ci9DQUlRQUNvZENodHljRjlvT25JMGN6ZHVURGxyWWt0S2FtSjNWMjFhZVhFeFUwRRAB,Jayden Ho,5,"It is my fourth time coming to cooper, it was one of my highlights in Bangkok trip. I love the vibe. I love the decorations. Although it’s a bit expensive for a dinner which cost around 2000 baht.

However, I think most of the dishes are delivered beyond expectations. That’s why I always come back and enjoy the food and drinks. I come back to this further away location as it’s cheaper than the other branches.

Definitely one of the experience about remember on time !"
Ci9DQUlRQUNvZENodHljRjlvT21kRFptVllOa1ZDTTA5T1ZISllTakZSYTBkTFYwRRAB,Remy Ng,4,"This is like a food haven and you will be drown with luxurious food and desserts. First of all, you need to book a you will be allocated a specific two hour slots. Once you are there, you have to check-in with the receptionist and you will the be assigned to a table. They have almost 10 different types of buffet menu for you to choose from. From unlimited caviar to unlimited foie gras depending on your preference. Each station set up is big and they really handle the food well. We tried almost everything and most of their food was spot on. The only set back is, you might not be able to eat so much (haha) anyway love it and will be back for more"
Ci9DQUlRQUNvZENodHljRjlvT21WaFV6aDVTbmMzYW1KcFVFbG5jM1kyYWxwcVdFRRAB,HimeSan Aricia,5,"⭐️⭐️⭐️⭐️⭐️

มาสาขา The Sense ปิ่นเกล้า บอกเลยว่าประทับใจสุด 🥹 Copper ไม่เคยทำให้ผิดหวังจริง ๆ อาหารคือพรีเมียมทุกอย่าง เริ่มจากเนื้อวาที่ย่างมาหอมฉ่ำ ละลายในปาก สั่งแบบมีเดียมละลายแทบไม่ต้องเคี้ยว ซุปเห็ดทรัฟเฟิลคือเมนูในตำนานที่กินกี่ครั้งก็ไม่เบื่อ 🍄

ซีฟู้ดคือสดมาก หอยนางรมสดเด้ง สายญี่ปุ่นก็คือฟินเพราะมีทั้งซาชิมิแซลมอน ทูน่า ฮามาจิ ชิ้นหนาเต็มคำ 🍣 ของหวานก็ไม่แพ้กัน มีทั้งช็อกโกแลตลาวา ไอศกรีมที่เลือกกินวนได้ไม่อั้น 🍫🍨

บรรยากาศร้านกว้างขวาง โล่งสบาย ไม่แออัด นั่งได้ชิล ๆ จะมากับแฟน เพื่อน หรือครอบครัวก็ดีหมด ✨ พนักงานก็บริการดีมาก เก็บจานเร็ว ยิ้มแย้มตลอด

ราคาถือว่าคุ้มมาก ๆ เมื่อเทียบกับคุณภาพวัตถุดิบและบริการที่ได้ 🏆 ใครอยากหาร้านบุฟเฟต์ที่ครบเครื่อง ทั้งคุณภาพ บรรยากาศ และความพรีเมียม Copper คือคำตอบจริง ๆ สาขา The Sense ปิ่นเกล้าเดินทางสะดวกด้วย 🚗💨

คือถ้าอยากพาคนสำคัญไปเลี้ยง หรืออยากให้รางวัลกับตัวเอง แค่จองแล้วไป Copper ก็พอ ไม่ผิดหวังแน่นอน 💖

ไปวันครบรอบกับแฟน แฮปปี้มาก ❤️✨"
Ci9DQUlRQUNvZENodHljRjlvT21JNVZXcEdXVzEwYUZwT1RteExabGN5TkRSNllWRRAB,Samuel Tan,5,"I booked our group buffet via Klook, and the experience started on a very positive note. Due to an unexpected incident I needed to reschedule: we moved from Saturday to Friday, then split our 6-person booking into two days (3 persons each day). The restaurant’s customer service (via Line chat) was extremely accommodating—no fuss, they handled the changes smoothly. I’ll give full stars just for that level of service.

When we arrived, the buffet selection was impressive. We opted for the main course of lobster (which is one of their premium highlights) and beyond that the unlimited stations included beef cuts, seafood (oysters, prawns, mussels), local Thai dishes, sushi/sashimi, and more. According to their menu listings you’ll find things like “Baked & Torch Canadian Lobster Tail with Trio Cheese Velouté”, “Australian Rangers Valley Wagyu Tomahawk MB9+”, river prawns and large Thai royal oysters.

The food quality overall was very good. The lobster was meaty, the beef cuts were tender, and the seafood counters looked fresh. The dessert section and sushi/sashimi stations were also mentioned by many online reviewers as stand-outs. The venue itself is large and comfortable, which gives you space to move around and enjoy the buffet without feeling too cramped. Many have noted the “fine-dining‐buffet” feel at Copper, even though it’s all-you-can‐eat.

Service during the meal was also excellent. Plates and trays were cleared promptly, staff were responsive, and the ordering system for premium or special mains (depending on package) worked smoothly. The ambiance was modern and the layout quite spacious, which added to the positive impression.

Some practical details to note (based on their public info and what I observed):

Location: 2nd Floor, The Sense Pinklao, 71/50 Borommaratchachonnani Rd, Arun Amarin, Bangkok 10700.

Typical operating hours (from one source): 12:00 pm–7:45 pm daily.

Booking packages: They have multiple tiers (basic buffet + special mains + premium items). Some packages listed: from ~ THB 1,999 for an “Unlimited 9th Anniversary” package.

Advance reservation strongly recommended. Several reviews and guides indicate walk-in risk is high given popularity.

This visit reinforced why this venue is so talked-about. If you’re willing to pay for a premium buffet experience (not just “eat whatever you like” but “eat very good quality and variety”), this hits the mark. The booking flexibility and staff helpfulness added a big plus.

If I were to pick minor areas for improvement: some stations might get busy, and you’ll want to arrive early or during less-peak times to fully enjoy everything.

But overall I would highly recommend this place for a special buffet outing in Bangkok."
Ci9DQUlRQUNvZENodHljRjlvT2xKeU5VSkRSR2hLZFd0VVlsWnZTWGR3U2xobVVVRRAB,kamonrot chanalotpison,5,อันนี้ราคา1900 บาท แต่ถึงว่าคุ้มเลย เพราะ ฟัวกราไม่อั้น นี่กินไป2ชิ้นก็คุ้มแล้ว เช็ตข้าวมันปู อันนี้ดีมาก ก๋วยเตี๋ยวเรือก็อร่อย นี่กินได้ไม่เยอะ ชอบความที่ทุกจานมาแบบ2-3คำ ชิมได้เหลากหลายดี ไม่จุกเกิน มีโอกาสมาอีกแน่นอน  พนักงานบริการดีมาก ทุกคนกระตือรือล้นหมด เสียที่สถานที่กว้างมากเดินไกลสุดๆ  soup ตัวดังไม่ได้อร่อยมาก อย่างอิ่นอร่อยกว่า
Ci9DQUlRQUNvZENodHljRjlvT2sxR05YVlpPRlpqYm5GT1YxRklTMTlOY25kNmQyYxAB,Thitiwarada Henglerdwattanakul,5,"เป็นร้านที่ชอบ และกินบ่อยมากกกกก แต่ก็ไม่ค่อยได้ลง อร่อย วัตถุดิบดี รสชาติอาหารส่วนใหญ่ค่อนข้างถูกปาก คุ้มค่า บริการเร็วมากกกกกก พนักงานทุกคนดูใส่ใจสุดๆ ไม่ว่าจะไปกี่ครั้ง มาตรฐานไม่เคยตกเลย เมื่อก่อนคนแน่น คิวเยอะ จองยาก แต่ตอนหลังมานี้ง่ายขึ้นเยอะเลย วันนึงมีรอบพอสมควร เลือกที่สะดวกได้เลย ชอบตรงที่ไม่ต้องจองนานๆก็ได้กินแล้ว ไม่ว่าจะมากี่ครั้ง ก็ไม่เคยผิดหวังเลยค่ะ

#ซุปทรัฟเฟิลยกให้ของที่นี่คือที่สุดตั้งแต่กินมา"
Ci9DQUlRQUNvZENodHljRjlvT210MWJrbHhTRmxHYTJacmIyOVJRVlJTZEV0c1prRRAB,Noam,2,"The food was mid at best. Most of what you order from waiters and don't take by yourself, is cold when served to you. The only tasty thing that was there was the boat soup and the deep fried chicken. Kind of sad considering we had to pay around 5000 baht in advance for 2 people. The all-you-can-eat buffet isn't worth it when the food is mostly mid or worse."
Ci9DQUlRQUNvZENodHljRjlvT2kxdVJHRTVNalpPVGxOdVZtNUpibGxvYTA5ZlNFRRAB,winrhcp,5,คอปเปอร์ บียอนด์ บุฟเฟ่ต์ เดอะเซ้นส์ ปิ่นเกล้า เป็นบุฟเฟ่ต์คุณภาพที่อาหารหลากหลายมาก ทั้งซีฟู้ด เนื้อย่าง สเต็ก ของทอด ซูชิ รวมถึงเมนูพรีเมียมที่เติมไวไม่ปล่อยให้ขาด รสชาติดีเกือบทุกอย่าง วัตถุดิบสดใหม่ ของหวานก็ดีงามโดยเฉพาะไอศกรีมและเค้ก บรรยากาศร้านกว้าง นั่งสบาย ไม่อึดอัด พนักงานบริการดีมาก คอยเก็บจานตลอด ของหกรีบมาเช็ดให้ ราคาอาจสูงนิดแต่คุ้มกับคุณภาพและความหลากหลาย เหมาะมากสำหรับมื้อพิเศษหรือมากับครอบครัวครับ
Ci9DQUlRQUNvZENodHljRjlvT2xjeFozTTBOM052WjJwSFlUbGFibWd5ZUU5eFpWRRAB,Cikgu Eric Ong,5,"Went there for side by side dining with my wife as written in remark. First, they place me face to face. Then, they realised and politely changed my seat. The food and service is phenomenal. We even got a cake as gift from them too. Even though we are the last table to leave, they still serve us well. Felt so happy for our anniversary dinner. Best buffet I have so far in my life. Love it"
Ci9DQUlRQUNvZENodHljRjlvT2kxSlFVWlhSMUJFVEU1RmIzSlVhbHBYVTJkQmIyYxAB,jaru gill,4,เรากินที่นี่รวมๆ เกือบสิบครั้ง มาบ่อยมากที่นึงเลย แต่ที่เพิ่งมารีวิวเพราะพักหลังๆ คุณภาพของการบริการกับอาหารสวนทางกับราคาที่เพิ่มขึ้น อาหารพวกเสต็กที่อยุ่ตาม สเตชั่นคือ เย็นชืด พนักงานดูแลไม่ทันหลังจากเพิ่มขนาดร้าน อยากให้ร้านมาช่วยอ่านความเห็นเพื่อปรับปรุงให้ดีขึ้น จากใจลุกค้าประจำ
