review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2kxSGIwOU9hbGR3YWkxVVpsVlZjMUkyYkVsWVdsRRAB,049 Yubb,1,"ครั้งนี้เป็นการมาทานที่นี่เป็นครั้งแรก เราเลือกเซ็ต 649 บาท ก่อนเข้ามาพนักงานได้แจ้งไว้แล้วว่าลูกค้าเยอะ ออเดอร์พวกเนื้อและซีฟู้ดอาจจะใช้เวลานาน เราก็เข้าใจและโอเค เพราะคิดว่าสามารถเดินตักเมนูหมูหรือเมนูอื่น ๆ มารอได้

เราเข้าไปที่ร้าน 19:16 น. และเริ่มสั่งเมนูที่อยากทาน เช่น เนื้อและซีฟู้ด ปรากฏว่าเราได้ออเดอร์แรกคือเนื้อ มาถึงโต๊ะตอน 20:14 น. (รอประมาณ 1 ชั่วโมง) ส่วนเมนูกุ้งดอง ปูดองได้ประมาณ 19:51 น. ซึ่งถือว่ารอนานพอสมควร สำหรับเรื่องคุณภาพ รู้สึกว่าซีฟู้ดบางเมนูไม่ได้ตรงกับความคาดหวังเท่าไร สิ่งที่ทานแล้วโอเคที่สุดสำหรับเราคือหอยนางรม

หลังจากนั้นจึงไม่ได้สั่งอะไรเพิ่ม เพราะรู้สึกว่ารอค่อนข้างนาน เลยลองสั่งของหวาน (บิงซู) มาทานแทน แต่ก็บริการช้าประมาณ 30 นาทีเช่นกัน ทำให้เราตัดสินใจกลับก่อน

โดยรวมในวันที่ไป ลูกค้าค่อนข้างแน่น พนักงานดูเหมือนจะไม่เพียงพอกับจำนวนโต๊ะที่มี จึงอาจเป็นสาเหตุหลักที่ทำให้การรอค่อนข้างนาน สำหรับเราแล้ว รู้สึกว่าอาจจะไม่เหมาะกับช่วงเวลาที่คนเยอะ ๆ

ทั้งหมดนี้เป็น ประสบการณ์ส่วนตัว ของการมาทานครั้งแรก อาจจะไม่เหมือนกับท่านอื่น ๆ ที่เคยมาทานค่ะ 🙂"
Ci9DQUlRQUNvZENodHljRjlvT2xRelVsWXdlRmhpV21NMU5FeE9PR3RRUmpaelNIYxAB,Palty Wan,5,"มาทานเป็นรอบที่2
อร่อยค่ะ เลือกทานแบบ 329 เดินหยิบได้ตามสบาย
ชอบกิมจิที่นี้ไม่เปรี้ยวเกินไป เข้มข้น อาหารทานเล่นก็หลากหลาย พนักงานขยันเปลี่ยนตะแกรงมาก เรานั่งทาน1ชม น่าจะเปลี่ยนไป6รอบได้ ใส่ใจสุดๆ"
Ci9DQUlRQUNvZENodHljRjlvT2xKSk4xWmhZVTVsZUhsaVNYTXlOWGhzZUdoZmMzYxAB,Tuang H.,5,ร้านกว้างขวางสะอาดตา มี 3 ราคาให้เลือก(349+/499+/699+) ของคอยเติมตลอด ที่พนักงานคอยช่วยเหลือดีมากค่ะ โดยรวมแถวเมนูหลากหลายค่ะมาซ้ำแน่นอน เรามาช่วงร้านเพิ่งเปิด ก็เลยสบายๆหน่อย🤭😇
Ci9DQUlRQUNvZENodHljRjlvT2paeVMyWnVRVGhDT0RONWREZFNSWFJqZVVob1pGRRAB,zxtremedemon,5,"Food: 46.5/50. It’s good, with some options like the chicken and shrimp being phenomenal. Others are just okay.

Service: it’s actually pretty good for a buffet, 18/20. They clear plates within 1 minute and occasionally change the grill.

Atmosphere: it’s a bit dirty and uncomfortably hot. Eating should not feel like a sauna. The attached image shows the ac being set to 30, which is absolutely unacceptable. 16/20 at least it has some nice music

Value: 9.5/10, about 300 to 600 baht per person (300 recommended as the cheaper options taste much better and the beef is mid)

Total 90/100"
Ci9DQUlRQUNvZENodHljRjlvT2t3MGFtTXhPR0phVjAwd05sOTFOVE5GYVRGSmFFRRAB,Jah KS,5,ร้านบริการดี อาหารอร่อย คุ้มค่า ราคาเป็นกันเองสุดๆ ที่สำคัญมีที่จอดรถกว้างขวางมากๆเลยค่ะ ปกติไม่ค่อยชอบกินปิ้งย่างเกาหลีเลยแต่นี่มา 2 รอบแล้วภายใน 1 เดือน😍
Ci9DQUlRQUNvZENodHljRjlvT2xrMk5tOVlWbTg1VW5KdVRtdDZabkI0TkdwcFNrRRAB,Unchana Chittasopawadee,5,อาหารคุณภาพดีมากราคาจับต้องได้ไม่จำกัดเวลา ของอร่อยทุกอย่าง
Ci9DQUlRQUNvZENodHljRjlvT2w5TFQycFdkRTlKWldKbmRHdzBPV2N0T0d0RFQzYxAB,Pitakchai Thosadorn,5,"ร้านบุฟเฟต์ปิ้งย่างเกาหลี มี 2 ราคาด้วยกัน คือ Premium 599.- บาท และ Special 499.- ขอแตกต่างคือเมนูอาหารที่สามารถเลือกได้มากกว่าและหลากหลายกว่า ส่วนบัฟเฟใช้ที่เดียวกัน

เนื้อสัตว์ย่าง มีให้เลือกหลากหลายมาก มีเนื้อ หมู หมูสไลด์ ไก่ น้ำจิ้ม มีให้เลือกหลากหลายดี ตามภาพเลยครับ

ส่วนอาหารในไลบัฟเฟ่ต์ มีความหลากหลายดี ต้ม ผัด แกง ทอด มากมายดี

เครื่องดื่มมีเครื่องที่ soft drink แบบเติมไม่อั้น  ขนมหวานมีบิงซู ให้เลือกหลายอย่าง มีผลไม้ในไลน์บัฟเฟ่ต์อีกด้วย

ร้านสะอาด มีบริการเปลี่ยนกะทะ แบบไม่มีค่าบริการ มีที่นั่งมากมาย มีที่จอดรถสะดวกดีครับ"
Ci9DQUlRQUNvZENodHljRjlvT2xKTlNHTTVOMHhrY0dsWWNqVlZOMmxvTlV0QmNVRRAB,Mii Blue,5,"เราเลือก Buffet 599+ เป็นร้านบุฟเฟต์ไม่จำกัดเวลา ดีมากๆ นั่งทานได้เรื่อยๆชิลๆค่อยๆสั่ง (ทาน 2 คน รวม 1,298฿)
เราชอบปูม้าดองซีอิ๊ว กุ้งดองซีอิ๊ว อร่อยจริง หอยนางรมเกาหลีก็ดี ไส้วัวใหญ่หมักซอสเผ็ด ลิ้นวัว เนื้อAngus ดีมากๆ ต้องลองๆ มีกุ้งแม่น้ำผ่ากลางด้วยตัวไม่ใหญ่มาก แต่สด เนื้อกุ้งเด้งๆ ต้องสั่งๆ
น้องๆพนักงานและเจ้าของร้านบริการดีมาก สุภาพ น่ารักเอาใจใส่ดีมาก ลูกค้าค่อนข้างเยอะพนักงานก็บริการทั่วถึง ช่วยเปลี่ยนตะแกรงย่าง แนะนำการย่างเนื้อให้อร่อย"
Ci9DQUlRQUNvZENodHljRjlvT2w4eVVtUkhWemhXU1VwVVkzZE1lamxGY0RkWVJsRRAB,Chutikarn Kwannak,5,เมนูเยอะมาก เครื่องจิ้มเยอะมาก อาหารอร่อยทุกอย่าง มีเครื่องเคียงเยอะ มีใบงาด้วย มีอาหารเกาหลีหลายอย่าง มีเมนูเนื้อและซีฟู๊ด แซวม่อนดองก็มี มี 3 ราคา แต่ละราคาคุ้มมากๆ มีเพลง+จอทีวีให้ดู ติ่งฟินมากกก🥰
Ci9DQUlRQUNvZENodHljRjlvT2xkTWVUbFpZVTVHV1RseVkwUmZia2x5ZHpCbVpYYxAB,Alitsa June,5,"มากินค่อนข้างบ่อย รสชาติดี
อาหารคุณภาพดี
เจ้าของเป็นคนเกาหลี
มีสาขาที่อุดมสุขด้วย (สาขานี้ลูกชายหล่อยอกต่อนะ^^"
