review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2s0MFR6TjJXVFp1YUdkU2MyVm1ORkJtYnpCVVpuYxAB,BKK snap & bite,2,"Yes they have many variety of choices to choose from. But the quality and the tastes of the food is not as good as it looks. Love the freshness of the spinach salad 👍

I didn’t enjoy it as much as expected to. Got the 599+ buffet with refill green tea. Total bill was 750 baht which is not really match up with my expectation.

The service was OK not as friendly and welcome.  During my lunch hearing noises all the time I asked, they said they are cleaning dishes. Should be just one time visit for me."
Ci9DQUlRQUNvZENodHljRjlvT2taRFQxaDVTR05rWVROc2RYTkVMV0l4VDJkV05uYxAB,Akapatr Chiraarreebutr,4,"ร้านปิ้งย่างบุฟเฟต์ญี่ปุ่นเจ้าดัง มีหลายสาขา มีอาหารให้เลือกเยอะไม่ว่าเป็นเนื้อสัตว์ หรือของทานเล่น น้ำจิ้มก็อร่อย วัตถุดิบดี โดยรวแล้วชอบมาก คุ้มค่าคุ้มราคา พนักงานบริการดี

ราคา : 4/5
คุณภาพ : 5/5
ความอร่อย : 4/5
ความสะอาด : 5/5
ความเร็ว : 4/5
บริการ : 5/5
สถานที่ : 5/5
ความคุ้มค่า : 5/5"
Ci9DQUlRQUNvZENodHljRjlvT21oNU9EUlNWRmR3Y2tGRExWWnhlV0ZNT0RSclRIYxAB,Rattikan T.,5,"Sukiyaki Karubi, ข้าวอบวากิวปลาไหล อร่อยมาก แนะนำๆ ไอติมชาเขียวดี

พนักงานบริการดีสุดๆ ใส่ใจ เต็มใจบริการ"
Ci9DQUlRQUNvZENodHljRjlvT2xWbVMzaFBhemxzWHpKd1QyTkljRjl4WlhBeVJrRRAB,Noeul Noon,5,อาหารคุณภาพดี สมราคา ผักสด พนักงานบริการดีมากคอยเปลี่บนตะแกรงให้ตลอด ใส่ใจดีมาก ดีกว่าสาขาอื่นๆที่เคยกินมา
Ci9DQUlRQUNvZENodHljRjlvT2xZdFIwZ3pOV2htVldsV05YUlVNbDlQWjFGMGRVRRAB,Rawinda,4,สั่ง Lunch Set สเต็กหมูกะทะร้อนค่ะ ได้เนื้อเยอะดีแต่ซอสหวานไปหน่อย กับหมูติดมันเยอะไปนิดนึงค่ะ แต่เซทนี้คุ้มมากๆค่ะ ได้สลัด ซุป ไอศครีมในเซทด้วย
Ci9DQUlRQUNvZENodHljRjlvT21odFEyRlhiVVZ0WjB0aUxWTlZjVU5XYmt0M1puYxAB,Vacharee Aursirisub,5,มาทานเป็นประจำค่ะ  พนักงานดูแลเอาใจใส่ในการบริการเป็นอย่างดี รวดเร็ว เช่น การดูแลของเตา ระดับความร้อนของถ่าน เปลี่ยนตะแกรงโดยไม่ต้องบอกกล่าว คุณภาพอาหาร สดสะอาด อร่อยค่ะ
Ci9DQUlRQUNvZENodHljRjlvT25KSVVVOW9hVXMzZW1vdGFtTkxkM2xCZURsRE5uYxAB,YIF LONG,1,"Was told only 599 baht buffet available. Fine.

Was told salmon is out of stock. Fine.

Was then told over 4 kinds of beef are also out of stock. Didn’t warn me beforehand. Didn’t say a word when I walked in and sat down. That’s way out of line.

And what about all meats being very chewy and not fresh?  Must have been frozen for too long.

Furthermore they have a rule of not accepting foreign credit cards. Tried all of my cards with sufficient balance and was all declined with wired reasons.

The staff were always busy but not attentive enough.

This branch was good 2, 3 years ago but it no longer is in terms of food quality, service and payment process.

Would definitely not go again!"
Ci9DQUlRQUNvZENodHljRjlvT2kxcmMwdFBhbXhSTjJaMU9YWm5jM2szUzJGeWFYYxAB,Pang TheTripleEyelid,5,คุ้มค่าราคา พนักงานสุภาพ ใส่ใจคอยเปลี่บนตัแกรง เนื้อหมูคุณภาพดี แต่อยากให้สามชั้นมันน้อยกว่านี้อีกนิดนึงจะดีกว่านี้ ไอศครีมชาเขียวรสขาติอร่อย ไ
Ci9DQUlRQUNvZENodHljRjlvT2xOcFprdHBUWE5sVGpSbVowcEVVRlozU1daWFRFRRAB,Worawat Theerapattrathamrong,5,"Still the very best BBQ Buffet of all time.
Value for money with good service manners.
This branch is also not too crowded in case you don't want to wait for the long queue."
Ci9DQUlRQUNvZENodHljRjlvT21SQldtZ3lURmRJVTJKV1ExOWpWV2xKZFRCdGMxRRAB,Worawee Khernamnuai,5,อาหารเสิร์ฟไว พนักงานเซอร์วิสดีมาก แนะนำเมนูดี ใช้บัตร JCB ได้ลด 10% แต่เครื่องดื่มไม่รวมต้องสั่งแยกจากเมนู ไอศกรีมอร่อยมาก ร้านปิด 21.00 น.
