review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT214WFdrTmZVM0ZSYkRCdWFqUm9VVTUxTFV4TVFtYxAB,Taa Winitar,5,"All dishes we ordered have good quality, really love sliced meat presentation - served in super loonggg plate 🤣

Tomato soup - sweet and sour, love it
Pork bone soup is creamy, lovve it!
The rest  are fine (mush room and mala soup)

Plenty of sauces to mix for dipping but my all time fav is suki+sesame sauce 😋"
Ci9DQUlRQUNvZENodHljRjlvT2xSS1MybEtjQzEzY0d4QlZHSlRlVWx2WjJKQ2VsRRAB,little girl,5,"Really enjoyed my meal here! The food was delicious, everything fresh and flavorful, and the soup bases were so good. The service was amazing as always — super attentive and friendly, they really take care of you. For the portion and experience, I’d say it’s totally worth it. Great place to come with friends and enjoy a comforting hotpot!"
Ci9DQUlRQUNvZENodHljRjlvT25RNVJFTnFkVTVEWm5VelpWSmhka2RNVkRoTVozYxAB,Khizra Sohail,5,"Haidilao is an experience and something one shouldn’t miss. Having tried it earlier in Singapore, I really wanted my family to try it here while visiting Bangkok and so glad we didn’t miss it. Hot pot is amazing as always and the service by the staff at Central Rama 9 branch made it exceptional. All the servers are super attentive, cooperative and went out of their way to make our meal a memorable one. The Tom Yum soup base at HL is so flavourful and they have a huge selection of veggies and mushrooms for all those who don’t eat meat. Highly recommended."
Ci9DQUlRQUNvZENodHljRjlvT2tkZlJYaDZRWHBTTjI1MVZuWkpOVWx4TUdrNGJWRRAB,Panggg S.,5,"พนักงานดูแลดีมากจริงๆ ตั้งแต่หน้าร้านจนทานเสร็จ ใครไม่เคยทานมาลองได้ ไม่ต้องกลัวว่าจะสั่งไม่เป็นคือพนักงานแนะนำทุกอย่างจริงๆ
ซุปหม่าล่าห้ามพลาดนะะะ ต้องสั่ง น้ำจิ้มตักเองจุกๆไปเลยจ้าา"
Ci9DQUlRQUNvZENodHljRjlvT2toSVNWaHdOVkJMTVVrdE1tbGlXbE54ZDBSSVFXYxAB,muay_ann apk,5,รสชาติอร่อยเหมือนเดิม ยืนหนึ่งเรื่องการบริการมากๆ แนะนำดี ดูแลดีทุกครั้ง ประทับใจมากค่ะ 🥺🥺
Ci9DQUlRQUNvZENodHljRjlvT2xaVFRHcHRXVTVsVUVadE5uaFlWRU5MWDJkMFNXYxAB,Wiratphol Suppawatchara,5,วันนี้เพิ่งได้มาลองทาน เพราะว่าลิงเดินไปถามพนักงาน พนักงานบอกว่าไม่มีคิว เลยเข้ามาทานเลย จะบอกว่า น้ำซุปหมาล่าคือกลมกล่อมกว่าทุกที่ที่เคยลองทานมากเลย พนักงานบริการดีมากครับ บรรยากาศร้านดี มาลองกันนะครับ
Ci9DQUlRQUNvZENodHljRjlvT2pKcmVrbGxkR3M0UlcxWlgxWnVjVFZzTmxSamFXYxAB,Tanan Suwannabhach,4,"The food is a standard Haidilao, which is spicy and salty, the quality food the food is still good, but at this branch there are a lot of people, so the service might be a bit slow and the staff might not come to service you as much as other branch(atlest the one I have been before)."
Ci9DQUlRQUNvZENodHljRjlvT2tGNk5uZGxkSEJ2VFUxRWFtMUdZM1prWldSM1NIYxAB,S Kwan,5,บริการดีทุกระดับประทับใจ ใส่ใจทุกรายละเอียดมาก วันเกิดคนในครอบครัวเมื่อไหร่ต้องแวะมา มีบริการทำเล็บด้วย ดีมากๆเลยค่ะ
Ci9DQUlRQUNvZENodHljRjlvT2xGWFIzVnlTVkI0TTFsU1VuVXhWemh3T0VaNk1YYxAB,Mr.N,5,ร้านหม่าลาหม้อไฟ พนักงานบริการดีมากกก น้ำซุปเลือกได้ 4 อย่าง อร่อย ส่วนอาหารสั่งแบบเป็นจาน มีหลากหลาย น้ำจิ้มคิดราคาบุฟเฟ่ กับน้ำรีฟิว บรรยากาศร้านแบบจีนๆ เบียร์ราคาไม่แรง ใช้ได้อยู่ ร้านปิดตี 3
Ci9DQUlRQUNvZENodHljRjlvT2pGbWNFRnFXVWRRYjJWS1NuVnFhak55VmxwSFoxRRAB,MM,5,เป็นสาขาที่บริการได้ยอดเยี่ยมที่สุด พนักงานบริการดี อาหารคุณภาพ รสชาตยืนหนึ่ง
Ci9DQUlRQUNvZENodHljRjlvT25wVlpHTjBTVGhqWW1GaE1ERnZhbUpPZWxreGFIYxAB,WoonWoW,5,"มาทานที่เมืองไทยครั้งแรก มาตรฐานดีไม่แพ้ที่ประเทศจีน

ประทับใจมากที่สุด คือ การบริการจากพนักงานทุกคน รับรู้ได้ถึงการสร้างความสุขให้กับลูกค้า.

อาหาร: น้ำซุปรสชาติดีทุกน้ำซุป วัตถุดิบดี

แนะนำทำสมาชิกฟรี ใช้แค่เบอร์มือถือ แล้วได้ส่วนลดทันที"
Ci9DQUlRQUNvZENodHljRjlvT21VeWN6SlBZVmhEYnpBMFdUSTJWUzAyZDFOcldVRRAB,Tarn daranee,5,"วันนี้มากินดึกๆมีเกมให้เล่น แจกของรางวัลด้วยค่าา พนักงานน่ารักทุกคนเลยค่าา บริการดีเยี่ยม ยิ้มแย้ม  มาทานสาขานี้เพราะพนักงานเลยจริงๆค่า 🩷

Ps. คุณอิมดูแลดีมากค่าา 👍🏻 🥰"
Ci9DQUlRQUNvZENodHljRjlvT21oS0xUQTRaRlJ5U1VkUFpVaGlVVlZuZFRkaVNXYxAB,Punnatorn Vechaputi,5,อาหารคุณภาพดี อร่อย หมูนุ่ม เนื้อไม่เหนียว ผักสะอาดสดใหม่ ลูกชิ้นกุ้งนุ่มเด้ง ซุปต่างๆ อร่อยคุณภาพดีมากๆ ตัวร้านสะอาด กว้าง พนักงานบริการดี แต่ไม่ค่อยมาแถวโต๊ะเลย แต่ overall แล้วโอเคมากๆ
Ci9DQUlRQUNvZENodHljRjlvT2kxbk9GZGhhRGh1TWpSTVdUVndhRzloU2tObVFrRRAB,pinyapat Jarupatchaikul,5,"I really like the atmosphere here. All the staff are great, especially Khun Aom and Khun Tohsung who wear red shirts. The food is delicious, the service is good, and they take care of customers. The ice cream and drinks are also delicious.
ชอบบรรยากาศที่นี่มาก พนักงานทุกคนเยี่ยมมาก โดยเฉพาะคุณออมและคุณตัวสูงใส่เสื้อแดง อาหารอร่อย บริการดี ใส่ใจลูกค้า ไอศกรีมและเครื่องดื่มก็อร่อย
我喜歡這裡的氛圍。工作人員都很棒，尤其是Khun Aom和穿紅襯衫的Khun Tua Thoe。食物美味可口，服務周到。冰淇淋和飲料也很棒。"
