review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT21aMllXNVBMVmw1VEc5blJFeGpWM1JoYTBaS2FuYxAB,veepai pai,5,"ไปทานปลาดิบ ปลากระพงขาวแล่บาง และ เซตปลาดิบ มีปลากระพง Akami etc..ปลาสดและอร่อยมากข้าวผัดกระเทียมอร่อยมากๆเซ็นทรัลลาดพร้าวชั้น 4 ครับ
ครั้งที่ 2 ไปทางหัวปลาญี่ปุ่นย่างไฟและต้มซีอิ๊วกับน้ำแตงโมปั่นและเนื้อปลากระพงแล่บางจิ้มน้ำจิ้มพอนสึอร่อยเด็ดขาด"
Ci9DQUlRQUNvZENodHljRjlvT2poZlowOWZkRzVST0RrM1NFSnBPR2hhUkdsSU4xRRAB,Anocha U,4,"ร้านที่มีปลาวันอังคาร กับวันศุกร์ในห้าง
สามารถซื้อเป็นตัว และให้เชฟทำปลาให้
สะดวกดีใน zone ลาดพร้าว รัชโยธิน ร้านปลาดิบที่เลือกทานอันดับต้นๆ
มีสาเก"
ChdDSUhNMG9nS0VKREV5ZnluNnZmOXlRRRAB,ชีวิตเพิ่งเริ่มต้น หลังเกษียณ,5,"ลองHonmono sushi ครั้งแรกที่สาขา Embassy

แล้วคืออร่อย  เลยแวะมากินสาขานี้บ้าง

แต่วันนี้ลองเมนูใหม่ที่เพิ่งขาย คือmini hand roll

และZuwai Kani miso (139฿) ย่างบนเตา

ทานกับข้าวสวยญี่ปุ่น ฟิน มัน นัวมาก ราคาก็ดีเลย

บริการดี มีเมล่อนฉ่ำๆตบท้ายเช่นเคย"
ChZDSUhNMG9nS0VPS3p5TlB6d2I2eE9REAE,Nopphawan P,5,ร้านเปิดใหม่ บรรยากาศดีตกแต่งสวย พนักงานบริการดี เมนูอาหารหลากหลาย ชอบที่สุดคือสลัดปลาเงิน ไปบ่อยทั้งสาขา central world สาขา central ลาดพร้าว
Ci9DQUlRQUNvZENodHljRjlvT2xaTFp6WmxiMGhJTnpONFUxazRWVzlMY0ZOaE9XYxAB,Tey NyLa,5,อร่อยคุณภาพวัตถุดิบดีครับ สมราคา ร้านนั่งสบาย พนักงาน บริการดียิ้มแย้มน่ารัก มีเซอวิสมาย อันนี้ดีมากๆครับ
ChdDSUhNMG9nS0VJQ0FnSURiMnZxTTlBRRAB,Nana Relax,5,"อูนิเซ็ทขนาด50g. Love Love ชอบมากค่ะ
_ไข่หอยเม่น ทานคู่ข้าวปรุงรส และสาหร่าย
ยอมรับเลยว่า รสชาติดีมากๆๆๆ
_แซลมอนสดค่ะ เนื้อนุ่ม ทานกับโชยุ เยี่ยม
_ซูชิ ทำออกมาได้ดีมาก รสชาติดีค่ะ
โดยรวมแล้วชอบมากจริงๆ ถึงจะราคาสูง
แต่ต้องยอมรับว่า คุ้มค่าค่ะ
_ปิดท้ายด้วยเมลอน หวานๆๆ จบมื้อประทับใจค่ะ"
ChdDSUhNMG9nS0VJQ0FnSURyLUpEeWhnRRAB,K,5,อาหารรสชาติดีมากค่ะมี option สำหรับคนไดเอ็ดอยู่ด้วยอาหารสดพนักงานบริการดีบรรยากาศดีเงียบเป็นส่วนตัว อาหารราคาสมเหตุสมผลชอบมากเลยค่ะเค้าน่าจะกลับมาอุดหนุนอีก ประทับใจมากค่ะ
ChZDSUhNMG9nS0VMUHl0czNfMjVIZVJREAE,jaewweaj,4,Great food with fresh ingredients. Many menu of Japanese dishes.
ChdDSUhNMG9nS0VJQ0FnSURwNUw3UndRRRAB,mangdanoi zzz,4,"Impressed with appetizers and desserts.  Appetizers are served with edamame and deep-fried small fish.  While dessert will serve melon,which both taste good

Good service.

qr payment get 15% discount
creditcard get 10% discount

Food prices on the menu do not include vat and service charge.

Menu
Tempura soba:Crispy tempura batter with fresh bouncy shrimp  But I want the soba noodles to have a more chewy texture.  As for the soup, it's slightly salty.
Salmon Creamchees Roll:It's a roll with foie gras, avocado and salmon  with cheese topping.  Ikura is a bit fishy.  general taste
Tamago Yaki:Served still warm and topped with ikura(salmon roe).  The tamago tastes good.but ikura is a bit fishy."
ChdDSUhNMG9nS0VJQ0FnSUR1aE1HczJ3RRAB,Somzaa Babie,4,ซูชิอร่อย   พนักงานน่ารักแนะนำเมนู   วันนี้มีปลาเข้ามาใหม่ สามารถทำ2 เมนูได้   แบบแร่บางจิ้มกับพอนซึ อร่อยดี   แบบต้มซีอิ๊วก็เข้มข้น  ที่ถูกใจสุดๆก็น่าจะเป็นแคนตาลูป  ที่หวานฉ่ำ
ChdDSUhNMG9nS0VJQ0FnSUQyaU9DNHVnRRAB,GoiAbby,4,"ถ้าเทียบซาชิมิกับร้านอื่นๆในเกรดราคาเดียวกันถือว่าหั่นค่อนข้างบาง

เมนูชิราชิก็หั่นบางไปหน่อย  ทานไม่สะใจ  แต่พวกชาบู ข้าวหน้าหมูทอด ราคาสมกับคุณภาพค่ะ

มาจุกก็ตรงเมล่อนแถมท้ายนี่แหละ ชิ้นใหญ่มาก"
ChZDSUhNMG9nS0VJQ0FnSUNYLUlYVE13EAE,Chayanit Dasree,4,อร่อยสุด ๆ จากทุกร้านซูชิที่เคยกินในห้าง บรรยากาศร้านดี บริการดี เมนูหลากหลาย
ChZDSUhNMG9nS0VJQ0FnSUQ3djUyWEl3EAE,Emre Senbabaoglu,2,"The food is okay but the prices are ridiculously high here. The portions are also small.

They get 10 % service charge and 7% VAT. I’ll never go there again. There are more quality and less expensive restaurants."
ChZDSUhNMG9nS0VJQ0FnSUNWN3VPelp3EAE,Penny Penny,5,"A good premium Japanese food.
Fresh ingredient.  A price is a bit high"
ChZDSUhNMG9nS0VJQ0FnSUN1X0tDNkxnEAE,Petong Nawapark Pattarera,5,ปลาดิบถือว่าสดมาก สำหรับคนชอบทานซาซิมิ เป็นอีกทางเลือกสำหรับคนชอบอาหารญี่ปุ่น
ChZDSUhNMG9nS0VJQ0FnSUNoNTVtNU9REAE,Piyapong Ratanakungval,5,"Good Japanese sushi, liked salad and others. Recommended"
ChdDSUhNMG9nS0VJQ0FnSUNMdk9ERnpBRRAB,Angry F,4,อาหารไว รสชาติโอเค มีโปรโมชั่นเซตเมนู พนักงานบริการดี มีความใส่ใจบริการ
ChdDSUhNMG9nS0VJQ0FnSUNPczdUQWxBRRAB,Biih,4,"A bit pricy but quality is great!!
The best Shirauo Salad ever!!!!"
ChdDSUhNMG9nS0VJQ0FnSUNSOHY3SnB3RRAB,Pormoon Lin,4,อาหารสดดีใช้ได้ สั่งเป็นชุดราคากลางๆ
Ci9DQUlRQUNvZENodHljRjlvT2tRelNuQlllVUZzZUZoSWNtdGtUVU5WYzBweVRVRRAB,Pinnada Nok,5,อาหารยังคงคุณภาพดี
ChZDSUhNMG9nS0VJQ0FnSURKaFpqZ1lnEAE,Aritach Chartissarapan,5,อร่อยสุดๆไปเลย อื่นๆถ่ายรูปไม่ทัน
ChdDSUhNMG9nS0VJQ0FnSURIdnNXVThBRRAB,minnie cha,4,"The udon is almost the same (80%) as it used to be
The sushi and salad were great

but the service here is a bit meh for a 10% service charge"
ChZDSUhNMG9nS0VJQ0FnSUREbDR5eVV3EAE,CW,5,เมนูซาชิมิ ปลาดิบทำได้ดี อร่อย บางช่วงจัดมีโปร แพคเกจราคาดีด้วย
ChZDSUhNMG9nS0VJQ0FnSUNqdVlETGFBEAE,Wiriya Supajariyawichai,5,Very good and tasty.
ChZDSUhNMG9nS0VJQ0FnSUNEcnY2eE1nEAE,vincent ryoz,1,อาหารช้า พนักงานเรียกยากมาก ขนาดกดปุ่มเรียกก็แล้ว โบกมือเรียกก็แล้ว เมนูก็ให้มาไม่ครบ
Ci9DQUlRQUNvZENodHljRjlvT2xwTWJsaHlWMVF6WVc1bVYycGlTRnBKUm1wRk5HYxAB,Tomato Ful,5,ชอบมาทานร้านนี้มากกก
ChZDSUhNMG9nS0VJQ0FnSUQtdlBhRkh3EAE,NINE&PEACH,5,"อาหารดีมาก คุณภาพวัตถุดิบดี
สมราคา มีเมนูหลากหลาย
เสิรฟเร็ว แนะนำครับ"
ChdDSUhNMG9nS0VJQ0FnSURCX09MZ3hRRRAB,Bee Bunyasiri,5,Fresh and delicious!
ChdDSUhNMG9nS0VJQ0FnSUNwaHJxNXJ3RRAB,prim Panpilas,1,ลืมเจลไว้ โทรไปบอก พนง เก็บทิ้ง ‼️🙄🙄🙄🙄
ChZDSUhNMG9nS0VJQ0FnSURKbU5UbWFBEAE,John Oden,5,"Fresh ingredients, beautiful presentation and excellent service."
Ci9DQUlRQUNvZENodHljRjlvT2xNNWNEWkNlRW80WTA1cGNrRmFVbEZuYVRZMU1sRRAB,Vincent Lim,5,"Delicious, oishi"
