review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2pWdVZFUnRWbWRNTjE5TWVXcFljMkpTY1ZkcFkxRRAB,Chomticha S.,5,"Recommended to book via the DQueue app, as walk-ins may need to wait up to an hour. The Mala soup costs an additional 99 baht per table and is worth trying. The 399+ baht per person package includes beef, shrimp, and other items.

The location is a bit hard to access, as it is not close to the main road or any BTS/MRT station."
Ci9DQUlRQUNvZENodHljRjlvT2pCMlJsbHhaRWhuWXpsYVZHUkxkREpGWjFFNVpsRRAB,Nipatchon Navapongsireetorn,5,"ไปกินวันพ่อ 5 ธันวา คนเยอะมาก แต่ดีที่มีระบบจองคิวได้แบบออนไลน์ พอไปถึงร้านก็เลยใช้เวลานั่งรอไม่นานมาก แต่ที่สังเกตเห็นหน้าร้านที่นั่งรอเขามีบริการให้สามารถกินไอศครีมได้เลย
เลือกสั่งบุฟเฟ่ต์ 299 บาทไปกัน 4 คน ยังไม่รวม Vat7% และน้ำซุป 99 จบที่ 1,385 บาท
เนื้อสไลด์ทำออกมาได้ดีเลย เนื้อบางมาก ที่ชอบเลยคือเนื้อออสเตรเลีย นุ่มอร่อย เนื้อโคขุนก็พอได้อยู่ถ้าชอบแบบเคี้ยวๆหน่อย เนื้อมีกลิ่นหอมดี หมูสไลด์ก็ดี มีให้เลือกหลายแบบ มีรายการประเภทเนื้อสัตว์หลายรายการ
ผักสดดี จัดจานออกมาสวยงาม
น้ำซุปหมาล่า ออกแนวสไตล์ไม่เผ็ดมาก กินง่ายหอมน้ำซุปหอมกลิ่นเนื้อ
น้ำจิ้ม ที่ร้านใส่ถาดเล็กๆแบบ3ช่องมาให้เลย มีน้ำน้ำจิ้มถั่ว น้ำจิ้มพริกเผา ตรงกลางเว้นไว้
ส่วนถ้าชอบปรุงน้ำจิ้มเอง ก็สามารถไปผสมเองตามสูตรเฉพาะตัวได้เลย ที่ชั้นน้ำจิ้มมีให้เลือกปรุงมากอยู่
ของหวานมีสั่งได้ตามในรายการ 3-4 อย่าง ชอบแป้งทอดใส่ถั่วแดง หอมอร่อยดีมาก
น้ำดื่มและไอศครีมมีให้เลือกหลายรสชาติมาก ตักเองได้เลย
น้องๆพนักงาน บริการดีมาก เอาใจ่ใส่ลูกค้าดี
มีห้องน้ำอยู่ด้านนอกร้าน สะอาดดี
มีที่จอดรถมาก"
Ci9DQUlRQUNvZENodHljRjlvT2pJd2RIUTRRV3AyZUhaVmRrczNVRmxTVFRScmFFRRAB,Heng Thailand,4,"เพิ่งจะมากินครั้งแรก น้องสาวจองคิวได้ ได้คิวที่40กว่าๆ จองไปตอน11.30 ได้กินตอน บ่าย2 ใครอยากกินต้องอดทนรอนะ

แต่เนื้อหมู เนื้อโคขุนโพนยางคำ สไลด์มาดี
ผักเครื่องเคียง มีครบ
ของกินทอด กินเล่น มีเยอะอยู่

พนักงานบริการรวดเร็ว บริการดี

ถือว่าคุ้มค่าที่รอคิว เรากินจนหมดเวลาเลย
ค่อยกินไม่รีบ"
Ci9DQUlRQUNvZENodHljRjlvT2prMVUwOTBiWEoyWjBVelNIWmhkMHM0TW5CeWJsRRAB,Bestlingchan,3,"เคยจะแวะกิน ไม่รู้ว่าร้านฮิต เห็นคิวแล้วไม่รอ พนักงานแนะนำให้จองคิว พอดีบ้านอยุ่ฝั่งตรงข้าม วันว่างๆ เลยลองกดคิวรออยู่ที่บ้าน 🤣

ลองราคา 399+ vat7% มีค่าน้ำซุป 99 บาทเลือกได้ 2 อย่าง หมาล่าน้ำมันวัวน้ำข้น อร่อยเลือกเผ็ดน้อยได้ ส่วนซุปทองคำส่วนตัวว่าเฉยๆ

อาหารไม่ค่อยตรงปก กุ้งก็ไม่เหมือนในรูป ยิ่งเนื้อวัวยิ่งแล้วใหญ่ บางยิ่งกว่ากระดาษทิชชู่ ถามพนักงานว่าที่ยกมาเสิร์ฟเป็นส่วนไหนบ้าง พนักงานก็แยกไม่ออก 🤣

ขอชมตับหมูสไลด์ได้บาง กินอร่อยมาก แต่จานหลังๆ มาเป็นเศษๆ ไม่มีมาตรฐานเลย

อยากให้มีตะกร้าลวกอาหารที่เกาะขอบหม้อได้แบบตามร้านใหญ่ๆ

สรุปส่วนตัวคิดว่า อาหารไม่ได้แย่ คุณภาพตามราคา แค่ควรลงรูปจริงตามที่เสิร์ฟลูกค้า พนักงานบริการไว น้ำจิ้มอร่อย ที่นั่งไม่ต่อยสบายคล้ายๆโรงอาหาร คนเยอะตลอดเวลา ที่จอดรถน้อย และสุดท้ายขอชื่นชมที่ให้คนแก่คนท้องลัดคิวเข้าก่อนได้ 👍

Tried the 399 THB buffet (+7% VAT), with 99 THB for soup (you can choose 2 types).
The Mala Beef Oil broth was flavorful — rich and spicy, but you can ask for mild. The Golden Soup was just okay in my opinion.

Some dishes didn’t quite match the photos on the menu. The shrimp looked very different, and the beef slices were thinner than tissue paper. When we asked the staff which cut of beef was served, they couldn’t tell either.

One highlight: the pork liver was thinly sliced and very tasty — but later servings came as scraps with no consistency.

It would be great if they offered wire baskets for cooking that hook onto the pot, like big-name hotpot places do.

Overall, food quality is acceptable for the price, but I wish they’d show actual pictures of the servings.
Staff were quick and attentive. Dipping sauces were great.
The seating area felt more like a canteen — not very comfortable — and the place is packed all the time. Limited parking, too.

Shoutout to the staff for giving priority access to elderly and pregnant customers. Respect!"
Ci9DQUlRQUNvZENodHljRjlvT2taNVUzb3pOSEpUWDNveFUwWkRaVFpHWVVSM2QxRRAB,Tanaporn Chaikulngamdee,5,"มาลองครั้งแรกกับเพื่อนที่มาหลายรอบ
ช่วงหลังเลิกงานคนเยอะมาก แต่ระหว่างรอมีเครื่องดื่มและไอศกรีมให้บริการตัวเอง ถือว่าดีเลย
บรรยากาศในร้านอบอวลไปด้วยกลิ่นหมาล่าน่ากินสุดๆ

พนักงานเสิร์ฟบริการไว เดินกันขาสับ
อาหารอร่อย น้ำซุบเลือกมา 2 แบบ

ส่วนตัวชอบน้ำจิ้มหมาล่า รสจัดจ้านถูกใจ
เพื่อนหลายคนติดใจน้ำจิ้มถั่ว เติมแล้วเติมอีก

ราคาสมเหตุสมผล อิ่มคุ้ม มีโอกาสจะกลับไปซ้ำแน่นอน"
Ci9DQUlRQUNvZENodHljRjlvT210SGRscGZORlF3VVVZd2NtUkZkR2xZZG5aM1QxRRAB,Alin young,5,ไปทานหม้อไฟคนเดียว พนักงาน 9015 น่ารักมาก เห็นเราถ่ายเซลฟี่ก็อาสาช่วยถ่ายรูปให้หลายรูปเลย บริการดีเยี่ยม ทุกคนก็บริการดีมากๆ อาหารก็อร่อยมาก มีพนักงานแบบนี้ เชื่อว่าร้านต้องรุ่งเรืองแน่นอนค่ะ
Ci9DQUlRQUNvZENodHljRjlvT2tZMVFrMUtaMDV5YWxkUmNreEthQzFpYTNKNmJXYxAB,Mineo,4,หม่าล่าเข้มข้นอร่อย แต่ไม่ได้อร่อยแตกต่างจากร้านอื่นที่ถึงขั้นต้องรอคิวเป็นชม. ของอาจจะไม่ได้เยอะหลากหลายมากเท่าไหร่
Ci9DQUlRQUNvZENodHljRjlvT21wdVdVNVJTMFZ6UWtkSlFrNW1iMmgxVEVodloxRRAB,Poonynaa Poonynaa,5,เพิ่งมีโอกาสได้มาทานปกติมาต้องรอคิวนานตลอดรอไม่ไหว พอได้กินเข้าใจเลยว่าทำไมรอคิวนาน วัตถุดิบดีสดสะอาดอร่อย พนักงานบริการดี น้ำซุปน้ำจิ้มอร่อยมากค่ะมาซ้ำอีกแน่นอน
Ci9DQUlRQUNvZENodHljRjlvT2pCR1VrSmFWbVkxU1ZGWGRsQktUazlETUMxWlpVRRAB,On The way,4,พนักงานบริการดี อาหารออกไว รอไม่นาน โต๊ะก็ดูว่างแต่คิวเยอะ ในร้านรู้สึกกลิ่นเนื้อแรงไปหน่อย สำหรับคนไม่กินเนื้อ เคยไปสาขาอื่นไม่รู้สึกแบบนี้ ที่จอดรถมีพอสมควร
Ci9DQUlRQUNvZENodHljRjlvT2pSSlFVVnpWR1ZHVEc5cWNrVk5UbTVCVjNCRlduYxAB,Will PvR,5,วันนี้มาลองร้านที่นิยมมากในตอนนี้ วันนี้มาลองในราคา299 น้ำซุปหม่าล่าเข้มข้นรสชาติดี พนักงานบริการดีเยี่ยม ร้านค่อนข้างสะอาด เนื้อและหมูรสชาติดี น้ำจิ้มแนะนำเป็นน้ำจิ้มถั่ว และหม่าล่า มีไอศครีมด้วย  เมนูไลน์อาหารค่อนข้างเยอะ แต่รอคิวค่อนข้างนาน ต้องจองผ่านแอป โดยรวมถือว่าคุ้มค่า
