review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2xKT1VqTkVUVTF5UW5GSlowMUlabEF6VUVkNU5IYxAB,Akapatr Chiraarreebutr,5,"เป็นร้านปิ้งย่าง ที่มีคุณภาพระดับพรีเมี่ยม สไตล์ญี่ปุ่น มีเนื้อสัตว์ให้เลือกทานเยอะมาก เช่น เนื้อวัว หมู แบบพรีเมี่ยมเลย เนื้อในถาดแต่ละถาด แร่ชิ้นกำลังดี หรือจะเป็นอาหารทะเล เช่น กุ้งแม่น้ำ หอย ตัวใหญ่ เหมือนคัดไซร์ มาให้เลย วัตถุดิบสด ใหม่ทุกวัน ที่ร้านมีเวลาให้ทานกัน 2 ชั่วโมง แต่รับรองว่าอิ่มจุใจ ก่อนกลับตบท้ายด้วยขนมหวานที่มีให้เลือกหลายอย่าง บอกได้เลยว่าคุ้มกับราคาที่จ่ายแน่นอน                                                                                       ราคา : 5/5
คุณภาพ : 5/5
ความอร่อย : 5/5
ความสะอาด : 5/5
ความเร็ว : 5/5
บริการ : 5/5
สถานที่ : 5/5
ความคุ้มค่า : 5/5"
ChZDSUhNMG9nS0VJQ0FnTUNvMExDYlVBEAE,Natchanan Muangthanasunthon,4,"คุณภาพเหมือนจะไม่สู้ที่สาขาเอกมัยเลย
เมนูอาหารเหมือนจะน้อยลง พวกเครื่องดื่ม ชาเย็นก็หายไป วันนี้ไปใช้โปรเดือนเกิด ลด 50% ทานแบบ 599฿ ยังไม่รวม vat"
Ci9DQUlRQUNvZENodHljRjlvT2xwd1dVNXhSM2h6YjFsUFJFcGZjekJTVkV3NGIxRRAB,OK KN,2,วันนี้ของแย่มากกกก ครั้งที่แล้วมาทานยังไม่ถึงเดือน ของดีมาก เลยกะมาซ้ำ วันนี้แซลมอนดองคือแย่ ส่วนที่เอามาดองไม่เหมือนครั้งที่แล้วเลยเป็นแซลมอนแบบสีซีดๆ ราคารวมแวท 850 เลยนะ ทำไมได้ของแบบนี้อ่ะ    กุ้งก็ตัวเล็กลงกว่าครั้งที่แล้ว คุณภาพของดูดร็อปลงไปหมด
ChZDSUhNMG9nS0VJQ0FnTUNnc29heUVBEAE,Warin Intakod,3,"อร่อยเหมือนเดิม แต่ทางร้านมีการปรับเปลี่ยนเมนู เราไปวันที่15 ก.พ ซึ่งเราไม่ได้เชคเมนูอาหาร เพราะเราพึ่งไปเมื่อกลางเดือนและปลายเดือน ม.ค กับเพื่อนตอนนั้นทุกอย่างยังเหมือนเดิม ตอนนั้นเรากับแฟนและเพื่อนเอ็นจอยมากๆ
*พนักงานไม่ได้มีการแนะนำว่ามีการเปลี่ยนไลน์เมนูใดๆมีแค่วางใบเมนูให้เลือกราคา
เรากินบ่อยเลยเลือกกินราคาเดิม599 ไม่ได้คิดว่ามีการเปลี่ยนแปลงใดๆด้วยความไว้ใจทางร้านและพึ่งมาได้ไม่นาน เราไปคิงคองเดือนนึง 1-2ครั้ง เพราะร้านเป็นช้อยแรกที่เราเลือกมาตลอด เราไปเชคหน้าเพจก็ไม่เห็นมีแจ้งอะไร
เรารู้สึกเสียใจในหลายๆอย่าง ตอนแรกที่สั่งอาหารอุ้ยดีใจมีเมนูเพิ่มขึ้นมา แต่สักพักเอ๊ะเมนูบางอย่างหายไป
ชอคแรก เนื้อแกะ โอเคพอเข้าใจได้มันอาจจะราคาแพง
ชอค2 กุ้งผ่าหลังก็ไม่มี >>เอาไปไว้ที่เมนู799 และชอค3 ทามาโกะหมด
ส่วนตัวเรารู้สึกว่า เมนูที่เพิ่มขึ้นมามันคือการเอาหมูและเนื้อมาราดซอสเพิ่มเฉยๆไม่ได้แตกต่างจากปกติเลย แถมหลังๆเสิร์ฟมาไม่มีต้นหอมอีกราดซอสมาเฉยๆ และก็เพิ่มข้าวโพดเนย กับไอติมตกแต่งใส่วิปมา เรางงมาก มันต่างจากเดิมตรงไหนเมนูที่เพิ่มมาและเมนูที่หายไปมันคุ้มค่ายังไงกับ 599? มันเหมือนลดคุณภาพลงมากกว่า เราควรได้ซีฟู้ดที่สะดวกสบายกว่านี้รึเปล่า แม้แต่น้ำก็เหลือแค่น้ำอัดลม แล้วย้ายน้ำหวานอื่นๆไป799 เช่นกัน เราเลยรู้สึกว่าย้ายขนาดนี้ขาย799ราคาเดียวเลยดีกว่าไหม?
รวมความเฟลไว้ในนี้วันเดียวเลย เมนูอาหารเปลี่ยน ผักไม่สด ทามาโกะหมด ของออกช้า แต่เราพยายามแฮปปี้มากๆเพราะตั้งใจมาใช้เวลากับแฟน
**เรามีเจตนาแค่ให้ร้านทบทวนเมนูอาหารหน่อยว่ามันโอเคจริงๆหรอ จริงๆ599เรากินได้ดีกว่านี้นะ แต่เราเลือกที่จะมาที่นี้อ่ะ
***เพราะเรารู้สึกว่า2ชม.กำลังดี มีกุ้งผ่าหลังกินง่ายมือไม่เปื้อน มีเนื้อแกะที่แฟนและแฟนเพื่อนชอบ และเราชอบปลาหมึกชุบแป้งทอดมากทั้งๆที่เราเป็นคนไม่กินปลาหมึก บรรยากาศร้านก็ไม่วุ่นวาย แม้พนักงานจะไม่ยิ้มแย้มไม่ค่อยแนะนำอะไรเลยก็ตาม"
ChZDSUhNMG9nS0VJQ0FnSUQ5NE1tZkh3EAE,Mii Blue,5,"บุฟเฟต์คนละ 555฿ รวมเครื่องดื่มรีฟิล ทานได้ 2ชม.(ชำระด้วยบัตรเครดิต ชาร์จ 3%)
เราชอบเนื้อบ่าหมู (คล้ายคอหมูย่าง อร่อยทานเพลิน) ลิ้นวัว ตับ กุ้งหม้าล่าเสียบไม้อร่อยสุด ของสด สะอาด ดีมากๆ ต้องสั่งๆ
ซุปเนื้อคิงคองก็อร่อย เสริฟมาร้อนๆ ข้นๆ มันๆคล้ายๆซุปครีมเห็ด
สำหรับเราค่อนข้างชอบเมนูของทานเล่นอร่อยทุกอย่าง ไก่ทอด ทอดใหม่ๆ  กรอบอร่อยจริงๆ เรารู้สึกคุ้มค่ากับราคา และคุณภาพอาหาร การบริการดีมาก น้องๆพนักงานค่อยเอาใจใส่ดี ทั้งเติมเครื่องดื่ม เปลี่ยนกะทะ เก็บจานเปล่าให้ (ภายในร้านอาจร้อนนิดหน่อยแนะนำเตรียมผ้าเย็นหรือพัดลมส่วนตัวมาด้วย)"
ChZDSUhNMG9nS0VJQ0FnSURQanJydFVBEAE,Jeffey,4,ร้านอยู่ตรงโลตัสทาวน์อินทาวน์ จะอยู่ตรงบริเวณชั้น 2 ขนาดร้านไม่ใหญ่มาก มีที่นั่งประมาณ 10 โต๊ะ บุฟเฟ่ต์ราคา 599 บาท Net แล้วทานได้ 2 ชั่วโมง สายเนื้อและสายซีฟู้ดน่าจะชอบ วัตถุดิบจัดเต็มทั้งเนื้อพรีเมี่ยม กุ้งแม่น้ำมีทั้งแบบผ่าหลังและไม่ผ่าหลัง จิ้มกับน้ำจิ้มทั้ง 2 แบบของร้าน มีทั้งแบบยากินิกุ และแบบซีฟู้ด มีเมนูพวกหม่าล่าเสียบไม้ด้วย ของทานเล่นของหวานมีให้ทานน้อยไปหน่อย จอดรถที่นี่มีค่าจอดรถไม่มีแสตมป์บัตร
ChdDSUhNMG9nS0VJQ0FnSUNKamJ6Ql9RRRAB,FYi Channel,3,"ราคา : 555 Net
ประเภท : Buffet
อาหาร : มีทุกอย่างที่ร้านสายปิ้งย่างควรจะมี
เนื้อหมูบ่าอร่อยไม่แพ้เนื้อ เนื้อคุณภาพดี แต่ไม่มีอะไรพิเศษมาก
ปลาหมึกดี กุ้งค่อนข้างไม่สด เนื้อหลุดรุ่ย อาจจเพราะใกล้จะหมดแล้วเลยได้ตัวล่างๆมา เข้าใจได้
น้ำจิ้มซีฟู้ดมีให้และดีกว่าร้านราคาประมาณนีที่เคยกินมา
***แนะนำ***
ซุปดีที่สุดในร้านประเภทนี้ ซุปคิงคอง(เนื้อ) ซุปกิมจิ
การสั่งใช้สั่งจากสมารทโฟนหรือแทปเลตได้เลย สะดวกดี
อาหารเสริฟไม่ช้า แต่พนักงานไม่ค่อยได้มาสนใจเท่าไหร่ ตั้งน้ำหมดแก้วไว้ไม่ถามสักคำ แต่ไม่เป็นไร กดสั่งในแอพ เอาแก้วใหม่มาให้เลยก็โอเค
ของหวานดีเหมือนเดิมสไตล์คิงคอง (มีให้เลือก 3 อย่าง)

บรรยากาศ เหมือนร้านทั่วๆไป แต่กลิ่นและควันฟุ้งเต็มร้าน สำหรับคนไปกิน ไม่ต้องใส่ที่ครอบผมนะยังไงกลิ่นก็โชยติดตัวแน่นอน

วันนี้ที่ไปพบว่า เนื้อหมดร้าน มีลูกค้าโต๊ะอื่นบ่น ทางร้านก็จัดการโดยให้น้องพนักงานไปเบิกของจากสาขาอมอรินีมา (บังเอิญ กินเสร็จแล้วจ่ายเงินแล้วยืนอยู่หน้าร้าน เห็นเค้าจัดการปัญหากันพอดี)
การแก้ไขถือว่าโอเค แต่คนที่นั่งกินน่าจะรอเนื้อกันอีกนาน เพราะอีกสาขาก็ไม่ได้ใกล้ ทางร้านควรบริหาร supply ให้ดีกว่านี้"
ChdDSUhNMG9nS0VJQ0FnTURnbGNEQjdRRRAB,POR Baba bananna,3,"มากินเป็นรอบที่สอง เพราะชอบตรงมีอาหารหลากหลาย แต่รอบนี้ผิดหวัง กุ้งสุดๆ กุ้งไม่สดดด  เนื้อรุ่ยแบบ เป็นทรายเลย  คงไม่กินอีกแล้ว
ในส่วนน้ำจิ้ม ไม่มีซีฟู้ดก็แอบติดใจนิดๆ  ถ้าร้านมีน้ำจิ้มหลากหลาย  คงโด่งดังกว่านี้แน่
---
ที่จอดรถ 3 ชม  10 บาท จอดในโลตัส"
ChdDSUhNMG9nS0VMWDI4cjZibVoyMGhnRRAB,Teesit Pattaradilok,1,ไม่ได้มากินที่นี่นาน เคยรู้สึกประทับใจ 599 มีกุ้งผ่าหลัง ตอนนี้เมนูน้อยลง แต่ที่แย่กว่า คือ อาหารรอนานมาก รายการที่สั่งได้ไม่ครบเป็นสิบจาน ขนาดอาหารสำหรับย่างยังช้า คือ ถ้าอาหารสดจะช้าแบบนี้ ทำบาร์ให้ ลค. ตักเองเลยดีกว่ามั้ยครับ โดยส่วนตัวเป็นคนชอบสันคอหมูของที่นี่มาก จำได้ว่าเคยมีราดซอสหลายแบบตอนนี้ก็หายไป แต่ที่แย่ๆสุดก็จานในรูปครับ อันนี้ไม่น่าเรียกสันคอนะครับ ดูในเมนูก็ไม่เห็นมีสันนอก ลองสั่งมาให้แน่ใจก็เหมือนกันทุกจานครับ บอกตามตรงว่ารอบนี้ผิดหวังสุดตั้งแต่ทานคิงคองมาเลยครับ สาขาที่ประทับใจมากๆ คือที่ ปตท. สายไหมครับ ซึ่งตอนนี้ก็ไปแล้ว อยากให้ร้านมีการปรับปรุงให้ดีขึ้นนะครับ เผื่ออาจจะอยากกลับไปทานอีกสักครั้ง🙏
ChZDSUhNMG9nS0VJQ0FnSUNIZzhteEx3EAE,ปภาวรินทร์ เกตุแก้ว,5,Kingkong สาขาทาวน์อินทาวน์ มาสาขานี้เป็นประจำ พนักงานบริการดี ยิ้มแย้ม วันนี้เรามากินเทียร์ 777 ด้วยความเป็นสายเนื้อ และชอบเนื้อลายที่นี่มาก วัตถุดิบอย่างอื่น ก็ถือว่าใช้ได้เลย โดยเฉพาะกุ้งแม่น้ำ มาแบบจุกๆ ไม่มีหวงของ แซลมอนคือเนื้อแน่นดีมาก รายการของทอด อิกะคาราเกะ เราชอบมาก ข้าวโพดเนยกระเทียมคือthe best อ่ะ ส่วนขนมหวาน จึ้งถูกใจทุกเมนูเลย ต้องกลับมาทานอีกแน่นอนค่ะ
