review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT21NdFNrbFlkMHh4VkVwWVYwWkVaMEoxYUhnMk1FRRAB,NNchan,1,"A once-famous restaurant that has now fallen far from its old standards. The service and quality have dropped drastically and show no signs of improvement.

From the moment I arrived, the experience was disappointing — staff were unwelcoming, and service was extremely slow. Orders were repeatedly missed, and even after asking, the staff seemed annoyed and unhelpful. It took over 15 minutes just to get a single scoop of ice cream.

The food quality has declined severely, with poor ingredients and inconsistent cooking — some dishes were over-grilled and overly salty, as if made carelessly. Overall, it was a very unpleasant experience, with constant follow-ups needed and orders arriving just before closing time."
Ci9DQUlRQUNvZENodHljRjlvT2paNlRHRTFlV2hFTkdoRk5qUTFkRGg1Vmw5dGNFRRAB,Uncle Bob,3,"ทานชาบู 399 เนื้อโอเคตามราคา ยังมีความเหนียวอยู่ น้ำจิ้มสุกี้อร่อย
แต่สั่งคุโรบูตะจะกินง่ายกว่าเพราะนุ่ม
ซูชิดีตามราคา"
Ci9DQUlRQUNvZENodHljRjlvT25GVGN6Sm5lVlJPWTFoUlJtWnljelZpV0RCTlZVRRAB,Vimlet Kir,3,ทางร้านจะเป็นบุฟเฟ่ต์ปิ้งย่างรวมกับพวกซูชิและซาซิมิ ไลน์อาหารมีให้เลือกเยอะมากๆ แต่ถ้าใครไม่ได้ชอบกินพวกปลาดิบ ส่วนตัวคิดว่าอาจจะไม่ค่อยคุ้มค่าเท่าไหร่ พวกเนื้อสไลด์ค่อนข้างโอเคเลย แต่กุ้งหรือว่าหมูยังไม่ค่อยประทับใจเท่าไหร่ แล้วพวกน้ำจิ้มไม่มีตัวไหนที่ตัดเลี่ยนได้เลย ขนมหวานของทางร้านก็อร่อยนะ โดยเฉพาะพวกไดฟูกุ
Ci9DQUlRQUNvZENodHljRjlvT2s1M05XWnROeTF6WW0xcWJEQXlkRUZaTUZGYVVsRRAB,FishFeeder Pro,2,"มากินในโปรโมชั่น 399 net

พนักงานต้อนรับบริการดียิ้มแย้มแจ่มใส แต่เสิร์ฟช้ามาก ไลน์อาหารช้ามาก ทำให้กะปริมาณและเวลาในการสั่ง พลาด แทบจะกินไม่หมด

เนื้อบางมาก โดนไฟแทบจะสุก และมันไม่ใช่เนื้อสำหรับกินปิ้งย่าง พอย่างแล้วมันทำให้เนื้อแห้ง ทานยาก แถมเนื้อยังเหนียวอีก มันเหมาะสำหรับกินชาบูมากกว่าจะมาทำปิ้งย่าง

ปลาแซลมอนรสชาดแปลกๆ ซูชิก็ให้ข้าวมาเยอะเกินความจำเป็น แทนที่จะอร่อยกลับกลายเป็นต้องฝืนกิน"
Ci9DQUlRQUNvZENodHljRjlvT2tnNE5rNXVlRWxMVldvMWNsVkxVa1ZzYVhoYUxYYxAB,GG WRY,3,"มาลองโปรบุฟเฟ่ต์ซูชิ 599 ค่ะ
ส่วนตัวคิดว่าไม่คุ้มค่ะ
- ซาชิมิ สั่งได้แบบรวม มีแต่แซลมอนที่อร่อย อย่างอื่นไม่อร่อย
- ซูชิ เนื้อวัวเหนียวค่ะ เนื้อปลาทั่วไป แซลมอนใช้ได้
- หม้อไฟ 2 เมนู - มาม่าต้มยำซีฟู้ดหม้อไฟ น้ำซุปตอนแรกพอใช้ได้ พอแซลมอนที่ใส่มาต้
ลงไปเท่านั้นแหละ ทำให้น้ำซุปคาวมากค่ะ อีกเมนูเป็นหม้อไฟหมู ก็เฉยๆ ค่ะ ต้องให้พนักงานมาเติมแอลกอฮอล์ให้อีกก้อน หมูถึงจะสุกค่ะ
- ของหวาน ใช้ได้ค่ะ
- อาหารออกมาเสิร์ฟค่อนข้างเร็วดีค่ะ
- พนักงานบริการดี"
Ci9DQUlRQUNvZENodHljRjlvT2pSQk4wVXRTV1pKV0hONlJYTmZSamRRWVc5RlgxRRAB,P. Houmpawanwong,3,มาทานโปร 399 เน็ทแล้ว ตอนประมาณบ่าย ๆ ทั้งชาบูและปิ้งย่าง อาหารเกือบทุกจานออกช้ามาก บางอย่างรอ 50นาที+ ต้องตามถึง2ครั้ง ทั้ง ๆ ที่มีลูกค้าไม่กี่โต๊ะ รสชาติปกติทั่ว ๆ ไป รวม ๆ คุ้มอยู่
Ci9DQUlRQUNvZENodHljRjlvT21WdFUwZEtUM1JQY0UxUWMzSXhialZJYW1STE5sRRAB,J Phinun,3,"เราเดินไปที่ร้านวันที่ 26 Jun 2025 เพื่อจะจองโต๊ะกินเลี้ยง 40 คนในวันที่ 2 Jul 2025 ไปเพื่อเลือกโต๊ะเพื่อจองและคุยเรื่องราคาโปรโมชั่นที่จะกินกับพนักงานที่รับจองเรียบร้อย ว่าจะกินราคา 799 Net ที่ลดราคาจาก 904 Net อยู่

วันที่ 2 Jul 2025 เดินไปทาน พนักงานถามว่าจะกินราคาไหน ก็บอกว่า 799 Net ที่แจ้งไว้ พนักงานบอกว่าราคานี้หมดโปรไปเมื่อวันที่ 30 Jun 2025 แล้ว อ่าวววว แล้วตอนมาจองทำไมไม่บอก สุดท้ายต้องกินราคา 599++ (705 net) ซึ่งเมนูอาหารน้อยกว่า แล้วเราแจ้งคนที่จะไปกิน 40 คนไว้หมดแล้ว …

เราจองร้านไว้ 11.30 ยังไม่ค่อยมีลูกค้าคนอื่น เราก็เริ่มสั่งอาหารกัน อาหารทยอยออกไวอยู่ แต่พอสักพักเริ่มแผ่ว อาหารเริ่มขาดตอน บางโต๊ะคือไม่มีอะไรเหลือให้ปิ้งเลยบนโต๊ะ กดสั่งเพิ่มไปเท่าไรก็ไม่มา จนเราต้องกระจายของโต๊ะที่มีของไปให้โต๊ะที่ไม่มี ขาดตอนอยู่แบบ 40 นาทีได้ อาหารถึงทยอยออกมาเสิร์ฟอีกรอบ

อาหารรสชาติดี คุณภาพดี พนักงานที่คอยเติมไฟ เปลี่ยนตะแกรงกะตือรือร้น คอยช่วยเปลี่บนช่วยเติมไฟอยู่ตลอดค่ะ

แต่ร้านควรแจ้งราคาและโปรโมชั่นกับลูกค้าให้เคลียกว่านี้ และออกอาหารให้สม่ำเสมอกว่านี้ค่ะ"
Ci9DQUlRQUNvZENodHljRjlvT2pKM1REZ3lkekprT1ZGWFFtdGhNRlZJTm5WdllrRRAB,Ben Tordamrong,5,"ร้านขึ้น บันไดเลื่อน จากชั้น M อยู่ด้านในสุด buffet. Sushi และปิ้งย่าง ราคา 799 เนต

เนื้อย่างดี sushi sashimi สด ขนมหวานมีทัั่ง ไอศกรีม กับโมจิ

ติอย่างเดียว เสียงในร้านจะดังอื้ออึง นิดนึง"
Ci9DQUlRQUNvZENodHljRjlvT2tzM2VFUlNjaTFoY0hvNFJETkdhUzFRZWxnNVpWRRAB,P M,4,เคยทานแบบบุฟเฟ่ต์ปิ้งย่างด้วยอาหารดีเลยค่ะ ครั้งนี้มาทานแค่โปรบุฟเฟ่ต์ซูชิ โดยรวมโอเค แต่ข้าวแฉะไปหน่อย
Ci9DQUlRQUNvZENodHljRjlvT2t0a2NWODVXRUZXVWpGUlFtaENXRFIyVms5alJFRRAB,Oracha MM,3,"เราเลือกสาขานี้เพราะใกล้ออฟฟิศเหมาะกับทานข้าวตอนเย็น เราเลือก Kouen Premium Buffet
799++ = 940Net (ได้ทั้งซูชิและปิ้งย่าง) สำหรับคนชอบเนื้อน่าและซาซิมิของดิบอาจจะต้องลอง เมนูขนมหวานก็ดีหมดเลย"
