review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT25BMU1tRlVablJ6ZEVwamRGTTVXSFl0TUVWMlVIYxAB,9 Nithit,1,"แพคเกจ 1599 จ่ายเต็ม 2 ท่าน ไม่ได้ใช้โปรใดๆ
แต่ประสบการณ์ที่ได้รับ อ่านแล้วพิจารณาเอาเองครับ รูปประกอบไม่เยอะ เพราะแบตจะหมด
อาหาร : อันนี้เฉพาะเมนูสำหรับ แพค 1599 เท่านั้น
- กุ้งมังกร -> ไม่มี(โดยไม่แจ้งให้ทราบล่วงหน้า แต่ตอนที่ทราบ ของบางอย่างลงเตาไปแล้ว) ร้านเปลี่ยนเมนูเป็นกุ้งแม่นำ้ไซส์จัมโบ้ (ประมาณตัวละ 2-3 ขีด?) และเนื้อกุ้งไม่ค่อยแน่น
- เบียร์ sapporo -> ครั้งแรก เสริฟมาเป็นแก้ว เบียร์แทบไม่ซ่า มีนำ้แข็งลอยมานิดหน่อย จึงขอพนักงานเปลี่ยนมาแบบเป็นขวด เพื่อรินเอง แบบขวดก็มาแบบเย็นน้อยมาก นี่อาจเป็นสาเหตุที่เบียร์ไม่ซ่า
- Yuzu Soda -> อันนี้ความซ่าไม่มีเลย ไม่มีจริงๆ แต่ยังดีที่มันเปรี้ยว
- King Crab -> เสริฟมาหน้าตาไม่กล้าทานสด จึงย่างก่อน เนื้อปูเค็ม(?) ยุ่ย ไม่หวาน ทนกินไป
- เนื้อ Wagyu set 6 ชนิด -> ไม่ตรงปก หน้าตาตามในรูป เหนียวบางชิ้นมีเอ็นติดมาด้วย ทนกินเหมือนกัน
- เนื้อยุคเกะ Yukhoe -> เสริฟมาในจานใหญ่พร้อมกับเนื้อย่าง ที่สั่งไปพร้อมกัน(มีรูป) สมควรหรือไม่?
- เนื้อสไลด์ Sukiyaki -> มาแบบดิบในจานใหญ่เดียวกับเนื้อย่าง ไม่มีซุปและไข่แดงมาให้ตามในรูป เลยย่างกินไปจบ ไม่อยากรบกวนพนักงานเพิ่ม
- หอย Hotate -> ชิ้นบางจิ๋วมากกๆ กินได้
- ซูชิ Otoro -> แดงแป๊ด ไร้มันแทรก ติดเปรี้ยว แล่ส่วนไหนมาให้ไม่แน่ใจ สั่งอีกรอบเป็นเหมือนเดิม
- อูนิ Uni -> ขนาดเท่าเล็บนิ้วก้อย สีส้มคลำ้ ไม่ตรงปก รสชาติตามสภาพ
- ใบงา -> หมด อันนี้เจ็บใจมาก 🥲
- นอกนั้น -> แซลมอนสีซีด ปลาไหลก็บาง สาหร่ายเปียกอะไรไม่รู้ นำ้จิ้มเฉยๆ
พนักงาน : บริการโอเค กระตือรือร้น บางท่านอาจมีข้อจำกัดทางภาษาบ้าง เข้าใจได้ เรื่องรออาหารก็เข้าใจได้
บรรยากาศ : เพลงไม่เข้าหู อาจเพราะได้นั่งใกล้ลำโพงไปหน่อย

โดยรวม : เข็ด"
Ci9DQUlRQUNvZENodHljRjlvT2sxMWVtSTFiSGxJUmpZMmVtZHZkekpQYUZCR1FuYxAB,Gobgapnsr Slwsw,4,ร้านเนตะใช้คนละครึ่งได้ด้วยนะทุกคน มันดีมากกก เรามาวันนี้กับแฟนคือเลือกโปร 999 แล้วได้ลดคนละ 200 รวม2คนได้ลดไป400 อาหารทะเลมีหลายแบบ ร้านตกแต่งน่ารัก บริการดีเยี่ยม ประทับใจมากค่ะ💖
Ci9DQUlRQUNvZENodHljRjlvT25OVlYxSjNkRE5UU0dGUFZGbEZWV1EyUmpkNFEyYxAB,Kannys Kann,5,เป็นร้านที่มาทานซ้ำบ่อยมาก ๆ เนื้อ และ อาหารทะเลสดใหม่ อร่อย มีให้เลือกหลากหลาย และมีโปรโมชั่นบ่อย ๆ คุ้มค่าคุ้มราคามาก ๆ ค่ะ 🧡
Ci9DQUlRQUNvZENodHljRjlvT2xGM1dWbGFhV0ZxUkd0TlJqbFpla2cyYW5aUFJWRRAB,Jawnay Noonim,5,เกินความคาดหมายมากๆครับ  มากลางวันคนเต็มร้านแต่อาหารก็ออกเร็ว มีเมนูตกหล่นบ้างแต่พอรับได้ครับ
Ci9DQUlRQUNvZENodHljRjlvT2pCbGVHSXdjVTVhWkVGeFprUlNTVlJYZERkcFkxRRAB,patbiscuitz,1,"สาขา market village คลองสี่ ผมเข้าไปใช้บริการเมื่อวานช่วงค่ำ คือทางร้านแย่มากทุกด้าน อาหาร การบริการ ความสะอาด ความรับผิดชอบ พนักงาน การแก้ปัญหา

ใครจะไปแนะนำคิดใหม่เลยคับ อาหารคุณภาพไม่ตรงปก 40นาทีอาหารมาแค่อย่างเดียว ร้านสกปรกมาก อาหารหมดไม่แจ้ง ผู้จัดการยันพนักงานอ้างสารพัด จนทนไม่ไหวไม่ทานแล้ว ทุกโต๊ะคือเจอแบบเดียวกันทางร้านก็ไม่ได้แก้ไขปัญหาอะไร

หาไม่เชื่อหรือสงสัยตรงไหนถามส่วนตัวมาได้เลยคับผมถ่ายรูปไว้บางส่วน ลูกค้าโต๊ะอื่นที่ไปทานก็เป็นพยานให้ได้"
Ci9DQUlRQUNvZENodHljRjlvT2tORldFSlNSR3R5T0ZOSWJ6aGZNVTVmTkUxc09FRRAB,Boossii,4,อาหารโดยรวมสดดี เนื้อวากิวไม่ตรงปกเท่าไหร่ แซลม่อนสดดี ทูน่าสดอร่อย  ยำดี น้ำจิ้มดี กุ้งดองเหมือนดองมานานแล้วไม่เด้ง
Ci9DQUlRQUNvZENodHljRjlvT2s0MmRUSnBUelYzZWs5aldXWmxNMFpmV2xCS1RtYxAB,Punlada Chang,5,อาหารติดหวานไปนิด พวกซูชิต่างๆ ทำให้กินแล้วเลี่ยนกับซอส  และสันคอหมูบางไปนิด อย่างอื่นดี
Ci9DQUlRQUNvZENodHljRjlvT2psTk9Ha3lWemRtVG1wYVRsWnlia1pSY2tOYWFGRRAB,Emmi Lapsin,5,ไปนั้งทานคนเดียว พนักงานให้บริการดีมาก อาหารออกเร็ว อร่อยมากครับ มาทานสาขานี้ครั้งแรก🥰
Ci9DQUlRQUNvZENodHljRjlvT25sSExVOWZPSFZCY1RGUFZIVnlUbWxZTUhaSlJIYxAB,suweeriya sirisingh,4,อาหารมาเร็วดีค่ะ โดยรวมๆ ค่อนข้างพอใจ กุ้งดองตัวใหญ่
Ci9DQUlRQUNvZENodHljRjlvT20xd2JreGpkMlJRT0Vock1YSkJWM1F6V1Vwc1MzYxAB,Rodjaraek Nimsuwan,5,พนักงานบริการดีมากๆค่ะ มาครั้งแรกอาหารอร่อย ชอบมากค่าาา ❤️
