review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2pWNmN6TTFSVTlVZUhoZlUyaENUSGs1YW5KM2JWRRAB,A B C Traveller,5,"Very good dining experience. We arrived at 8 PM and there is no queue at all. The food is great. The service is good. Staff helped us to frill the meat all the way, we did not even have to do it ourselves. The condiments are great, they give free flow. We paid about 4000+ for everything, it is a little overpriced. We enjoyed our dinner. This branch is as good as other branches. Recommended for tourists that love korean grill."
Ci9DQUlRQUNvZENodHljRjlvT25GWldtTkdka1ZVTFdWZk5IVmpaV2hsVEZoblJHYxAB,Sira Wongsa,5,"อร่อยสุดๆ ไปเลย พนักงานบริการดี
อย่าลืมมาก่อน 23:00 น นะครับเพราะว่าร้านปิด 5 ทุ่ม"
Ci9DQUlRQUNvZENodHljRjlvT2xoWldsWTNSamxZVjJwRmVqWklaa2hvYUhSMVkwRRAB,Tony Khoo,2,Firstly this place is really expensive. Ordered 2 bbq meat. They don’t even provide lettuce and have to pay for it. The Bachan selection is limited. The sundubu taste really awful. Worst I ever eaten in a Korean restaurant. Steam egg is decent. Paid almost 3k for this. Do not recommend.
ChZDSUhNMG9nS0VJQ0FnTURvczhDMGJnEAE,A* Luo,1,"The food was decent, but the overall experience was disappointing. The music was too loud, the staff rushed us to pay right after ordering, and their attitude was unfriendly. They grilled our meat until it was nearly burnt and even changed the smoke attachment while we were still eating. For the high prices they charge, the service and quality definitely didn’t live up to expectations"
ChdDSUhNMG9nS0VJQ0FnTURvcy0tMXFRRRAB,Baannatthai Garden,5,อาหารเกาหลี รสชาติอร่อย มีน่ำจิ้มหลากหลาย พนักงานบริการปรุงอาหารหรือย่างหมู ให้เสร็จสรรพ พร้อมรับประทานได้ทันที
ChZDSUhNMG9nS0VJQ0FnSUNIajllcEp3EAE,Chadadar R.,5,ชอบกินปูดองมากกแบบมากๆ สาขานี้เพิ่งเคยทานครั้งแรก ปูสดหวานมากๆ บรรยากาศในร้านแออัดไปนิดนึงเพราะเนื้อที่เล็กด้วยเลยดูอึดอัดไปหมด แต่อาหารดี💖💖💖
ChZDSUhNMG9nS0VJQ0FnSUNIcTluN1J3EAE,บ้านลาว By คุณนง,4,"ไปทานมาเมื่อวาน รสชาติอร่อยเหมือนเดิม เหมือนร้านจะปรับปรุงและตกแต่งใหม่หรือเปล่าไม่แน่ใจค่ะ เพราะว่าไม่ได้นานแล้วบรรยากาศดูสดใส ตกแต่งร้านได้ดี

✅การบริการของพนักงานดีเหมือนเดิมใส่ใจลูกค้าที่ตัวเองดูแลดีมากๆ

*แต่ราคาค่อนข้างสูงไปหน่อย*"
Ci9DQUlRQUNvZENodHljRjlvT25oNGJGSm9ORzlxWTIxUVEwY3haVU5DVW5WNWFuYxAB,natthartath thongcharoen,1,เจอยางในอาหาร ส่งให้พนักงานดู พนักงานเป็นต่างด้าวทั้งร้านช่วยอะไรไม่ได้เลย ไม่มีคนเดินมาขอโทษซักคนด้วยซ้ำ ร้านก็หายใจลำบากร้อนไปหมด ที่ดูดควันก็อ่อนแอมากๆ สรุป ค่าอาหาร 2 พันกว่าบาท หายใจไม่ออก ได้กินยาง คุยกับพนักงานไม่รู้เรื่อง
ChZDSUhNMG9nS0VJQ0FnSURoanFfMWZnEAE,Thanon Rujisert,4,"อาหารหลากหลาย รสชาติดี อร่อยตั้งแต่จับแช(ผัดวุ้นเส้นเกาหลี)เลย ปูดองซีอิ๊ว หอยดองซีอิ๊ว ดีงามไปซะทุกอย่าง ข้าวโพดชีสก็อร่อย ซุปกิมจิก็ดีงาม มีจูกุมิด้วย แต่ไม่เต็มรูปแบบเหมือนที่เกาหลี แต่ก็กินแก้คิดถึงจูกุมิที่เกาหลีได้ ส่วนหมูสามชั้นคืออร่อยอยู่แล้ว แต่ที่ให้คะแนนที่สุดคือ เนื้อวากิว ละมุนลิ้นดีงามมาก โดยรวมดีทุกอย่างค่ะ
ปล.หัก 1 ดาว เพราะราคาสูงไปนิด เข้าใจว่ารสชาติอาหารสมราคา แต่มื้อนึงกินทีเกือบ 7พัน มันสูงไปนิด อยากกินบ่อยๆก็กินไม่ได้ เพราะถ้ากินบ่อยๆอาจจนได้ 555+"
ChZDSUhNMG9nS0VJQ0FnSURzb2ZXMGZREAE,Chanya Udomphorn,3,"ร้านนี้ปูดองเด็ดค่ะ ไปกิน ต้องสั่งเลย
ไข่คือดีมากกกกกกก
กระดองนี่เลิฟมาก ไข่เน้นๆ
ซีอิ๊วหวานๆ กำลังดีค่ะ
จิ้มกับน้ำติ้มซีฟู๊ดด โอ้ยเลิศ
ราคา ตามคุณภาพค่ะ
ปูทะเลดอง ซีอิ๊วเกาหลี 1050.-

พวกย่างๆ ก็มี หมู มีเนื้อค่ะ
อร่อยเหมือนกัน
สั่งทั้ง สามชั้น หมูสไลด์ เนื้อ ค่ะ เรียบ
สามชั้น 225
หมูสไลด์ 255
Ribeye สไลด์ 340

รามยอนแห้ง เป็นบะหมี่เกาหลี ซอสเผ็ดๆค่ะ
ส่วนตัวชอบกินเผ็ด ก็ไม่รู้สึกเผ็ดค่ะ
แต่เพื่อนอีกคน กินเผ็ดไม่ได้เลย กินไม่ดเ้ลยค่ะ จานนี้ 555
เส้นจะกรึบๆ เหมือนลวกไม่สุก น่าจะไม่สุกแหละ แข็งด้านใน มันเป็นสไตล์ 555
ส่วนตัวเฉยๆค่ะ เมนูนี้

จับเช อร่อยค่ะ เป็นผัดวุ้นเส้นเกาหลี 220 สั่งมา 2 จาน

ข้าวผัดกิมจิชีส ก็โอเคค่ะ ถ้าคนชอบกินข้าว
ส่วนตัวว่าอรอ่ยดี แต่ไม่ได้เด็ดมาก แต่ถ้าสั่งมากินกับพวกเนื้อย่าง หมูย่าง ก็โอเคค่ะ

ร้านนี้กิมจิเติมได้ไม่อั้นค่ะ
แต่ผักสดต้องสั่ง ผักสด 60 บาทค่ะ

โดยรวมโอเคค่ะ
ราคาแล้วแต่เมนู บางเมนูรู้สึกราคาสูง บางเมนูสมราคาค่ะ"
ChdDSUhNMG9nS0VLbVR0SkNScnF6UzNRRRAB,Shin,1,"I was quite disappointed with the marinated crab. The portions were small, with barely any roe, and it didn’t justify the high price.

It felt like a tourist trap NOT WORTH the money or time."
ChZDSUhNMG9nS0VJQ0FnSURobXZMX1BREAE,NATT SK,4,"ปิ้งย่าง เกาหลี
อร่อยจริง เนื้อหมู เนื้อวัว หมัก มาดีมากกลมกล่อม
ทุกๆเมนู สั่งมาถูกใจดีครับ
น้องพนักงานทำให้หมด
ราคาแรงไปนิด แต่แลกด้วยความอร่อยครับ"
