review_id,author,rating,text
ChdDSUhNMG9nS0VPaWszLV9BNnZqRmpnRRAB,TIPAPAN JUNGPRABHA,5,วันนี้มาทานที่โออิชิเอสทีเรี่ยมเซ็นทรัลเวสต์เกตมีโปรวัยเก๋าอาหารเยอะมากค่ะอร่อยทุกอย่างที่นั่งสะดวกสบายเลือกทานอาหารได้ไม่จำกัดเลย มารับประทานโปรโมชั่นวัยเก๋าก่อนหมดเขตสิ้นเดือนมิยนี้ค่ะ คุ้มค่ามากเลยค่ะ
Ci9DQUlRQUNvZENodHljRjlvT2xjdFkwVjVOMFJWYm5GTVlXSjNSVEF0WmkwMVFVRRAB,อยากลดน้ําหนักแต่ของกินแซ่บเกิน,5,อร่อย สด สะอาด ชอบมาก จริงๆ ส่วนตัวกินแค่ Oishi grand ก็เพียงพอแล้ว แต่เวสเกตมีอีทเทอเรียมซึ่งราคาสูงกว่า ก็เลยนานๆ กินที ชอบทุกอย่าง แต่คิดว่าขนมจีนน้ำยาไม่ค่อยมีรสชาติ ออกไปทางเผ็ดจืด นอกนั้นเมนูอื่นอร่อยหมดเลย
Ci9DQUlRQUNvZENodHljRjlvT2xoVVFsQXdRa3cxZFRCdFVtdzFNSFZMWkY5dWRVRRAB,Bouya Mom,5,"มาใช้โปร Grab Dine-Out เรากดมาได้ 495 บาท จาก 759 บาท ถือว่าคุ้มสุดๆ

สาขานี้มาใช้บริการบ่อย แต่พึ่งรีวิวครั้ง อาหารที่นี่ค่อนข้างเยอะ มาวันเสาร์คือคนเยอะมาก แต่อาหารก็เติมไม่ขาด
อาหารทุกสเตชั่นทำดีหมด รสชาติดี สด สะอาดดีมาก ขนม กาแฟ คือเลิศ ยังรักษามาตรฐานของโออิชิ

น้องพนักงานบริการดี เก็บจาน เคลียโต๊ะตลอด เรียกขอเติมไฟได้ตลอด"
ChZDSUhNMG9nS0VJQ0FnTUNnanA3aU13EAE,Thananont Krittayawiwat,4,"ไม่ได้มาเสียนาน
Oishi Eaterium Westgate
ยังคงมีความคุ้มค่า เมื่อเทียบราคา กับ วัตถุดิบ
ซื้อผ่าน Oishi Delivery ราคา 700 นิดๆ/ท่าน

- ซาซิมิ ใช้ได้นะครับ มีทูน่า หอยปีกนก แซลม่อน ปลาเนื้อขาว
- ซูชิ หน้าหลากหลาย มีหน้าปลาไหลย่างด้วย ตัวข้าวไม่เยอะไป รสชาติข้าวดีครับ แต่ข้าวแน่นและแข็งไปนิด

- ที่ชอบที่สุด คือ ปลาฮาลิบัทย่างซอสมิโสะชาเขียว เนื้อปลาสด หวาน หอม หนังกรอบ ซอสให้น้อยไปนิด เมนูนี้อร่อยครับ

- เมนูซูชิไข่แซลม่อนและโทโร่สับ เป็นอีกเมนูที่คุ้มค่า แม้ไข่ปลาจะเล็กไปนิดแต่ราคานี้ มีให้ทาน ผมว่าคุ้มค่ามาก

- หอยแมลงภู่นิวซีแลนด์อบเนยกระเทียม เป็นอีกเมนูที่อร่อย หอยตัวใหญ่ อบมาดี รสแน่น เครื่องแน่น ทานกับน้ำจิ้มซีฟู้ดเข้ากัน

- หม้อไฟเนื้อ น้ำซุป หวาน หอม กลมกล่อม เนื้อนุ่ม ติที่ให้เนื้อมาน้อยมาก 2แผ่นบางๆ จะสั่งเพิ่มแต่เนื้อก็คงไม่ได้

- เมนูเนื้อเทปัน ไม่ผ่าน เนื้อติดผังผืด มีส่วนเหนียว ย่างมาสุกไป รสชาติจืดไป ควรแต่งรสอีกหน่อย ผักเคียงก็ไม่น่าทาน

- ผักกาดแก้วผัดมิโสะ อร่อยครับ อร่อยเลยล่ะ ควรสั่งมาทาน

- หัวปลาแซลม่อนต้มซีอิ๊ว อร่อยครับ น้ำต้มหวานกลมกล่อม หอมขิง ผักเปื่อย

- ขนมหวานลองคากิโกริ รสชาติดีครับ ท็อปด้วยไอศครีม1ลูก

เมนูอื่นๆยังมีให้เลือกอีกพอสมควร
รวมๆผมว่า ส่วนใหญ่ทำออกมาดี ถ้าชอบแนวญี่ปุ่น คุ้มค่ามากครับ
มากันได้"
Ci9DQUlRQUNvZENodHljRjlvT21Gb1ZISjFUMHBMUVdSNlJGTkdhbGhmWW05a1NWRRAB,กันตพัฒน์ อนันตวุฒิศักดิ์,5,เป็นครั้งแรกที่ได้มาทานสาขานี้   อาหารคุณภาพดี อร่อย ชอบ แซลมอน ทูน่า ซาซิมิสด สะอาด อาหารได้ไว พนักงานบริการดีครับ
ChZDSUhNMG9nS0VPXzgyY3Yza01YVGZREAE,RazZi NaJa,5,บอกเลยอร่อยทุกอย่างค่ะ อาหารสดใหม่ทุกรายการ นั่งทานได้นาน 1 ช.ม 45 นาที เลย ราคา 699/คน ทานได้ทุกเมนู 🤗🤗🤗
ChdDSUhNMG9nS0VJQ0FnSURmbHZmM2pRRRAB,MAYśRONG Family,3,"เคยไปเมื่อ นานมาแล้ว
เหมือนอาหารจะเยอะ หลากหลายกว่านี้นะ
แต่รอบนี้ไป อาหารน้อยลง ไม่หลากหลายเท่าไร
อาหารที่สั่งทำ ก็จะเป็นสเต็กต่างๆ ซ๊ะส่วนมาก
รายการอาหารน้อยลง แต่ราคาเท่าเดิม
ไม่รู้สาขาอื่นเป็นเหมือนกันไหม
แต่คงพอแล้ว กับสาขาเวสเกต

พนักงาน สุภาพ บริการดี ให้คำแนะนำต่างๆได้ดี

ซื้อคูปองผ่าน ลาซาด้า ถูกกว่าหน้าร้านนิสนุง"
ChZDSUhNMG9nS0VJQ0FnTUNneG82bVdBEAE,Paphada Amornuratkul,5,"พอเปลี่ยนมาเป็น eaterium คุณภาพแซลมอน ดีขึ้นเยอะเลย แนะนำ ท้องปลาแซลมอน ฟินมาก
แต่ อาหารไม่หลากหลายเท่า buffet ปกติ

ร้านอยู่ชั้น 3 มองเห็น น้ำพุ ทางเขื่อมกับสะพานลอย แต่ภายในร้านดูทึบไปนิด ซึ่งเหมือนกันทุกสาขา

พนง. น่ารัก คอยมาเคลียร์จานเร็ว สั่ง bingsu แบบเล็กก็จัดให้ แถมมาส่งให้ถึงโต๊ะ  ( แม้ว่าจะไม่รู้เราโต๊ะไหน)

มีเมนู ใหม่พวก ยำ แก้เลี่ยนมาด้วย คือ ดี
เมนูอื่นๆ ปกติ แต่ ปลาดิบ ดีแบบ ไม่เสียดายเงิน"
Ci9DQUlRQUNvZENodHljRjlvT2xGMFl5MURZVGxuTWxCQ1dUVjVNbTVzV0dwTmJHYxAB,Rinrita Ferrari,4,ไปทานช่วงค่ำแล้ว อาหารจึงดูจัดวางไม่ค่อยน่าทานเท่าไหร่
ChdDSUhNMG9nS0VJQ0FnSUNYbWFIUmhRRRAB,Supphawich S. (Edy),4,ไลน์อาหารมีให้เลือกหลากหลายมากครับ ตั้งแต่ ซาชิมิ ชาบู เทมปุระ เทปันยากิ ซุปกา ผัก ผลไม้ ขนมหวาน สามารถใช้บัตรที่โต้ะในการแสกนสั่งอาหารได้เลยสะดวกมากๆ
