review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2xCUldUTTJUWGhLY1hGQlpHazNjRWh1WDNWVFJVRRAB,Fon Kawaii,3,ร้านดูเงียบเหงา แต่มีคนมาทานเรื่อยๆ พนักงานมีใจบริการ แต่ด้วยจำนวนคนน้อย ทำให้ของออกช้าในบางครั้ง เห็นโต๊ะอื่นโดนลืมของกับรออาหารนาน แต่ส่วนตัวไม่เจอ ผัก เนื้อหมูสดดี รสชาติกลางๆน้ำจิ้มพอนซึ ขนมหวานไม่มีดีกว่า เพราะหวานโดดทุกอันเลย มีที่จอดรถด้านข้างร้านให้
Ci9DQUlRQUNvZENodHljRjlvT2tScGJXWXhWbU51UVZneVFqbFhkMk5vVmtGQ1pXYxAB,Phanpilas Tun.,4,"ชาบูร้านประจำ ตอนอยู่แถวลาดพร้าว
ไปกินทุกครั้งมาตรฐานเหมือนเดิมทุกครั้ง✨

เนื้อเกรดดีมากๆๆ แผ่นใหญ่เต็มคำ มีเมนูอื่นๆให้เลือกทานเยอะ👍🏻

เสียดายยุบไปหลายสาขาแล้ว น่าจะเหลือสาขานี้สาขาเดียวรึป่าว 🥹

อาหารออกไว พนักงานเป็นต่างด้าวอาจจะฟังยากหน่อย แต่ใจพี่เค้ารักการบริการดี ☺️

ถ้าอยากกินชาบูแบบมีซูชิเนื้อวากิว ก็ยังคิดถึงเพนกวินชาบูเสมอค่ะ😋"
Ci9DQUlRQUNvZENodHljRjlvT2tZdFdtZERUV2szZVc5MlQxbHJNbFYyVDJ4b1dHYxAB,Prisana Sangmanee,5,มาครั้งที2 แล้วค่ะ สะอาด อร่อย พนักงานบริการดีคุ้มราคามากค่ะ
ChZDSUhNMG9nS0VJZnRuN1RmXzVtQVlBEAE,Kanlaya Jatujinda,5,"penguin eat chabu
📍สะพานควาย

💬: กินร้านนี้มานานมากแล้วค่ะ ชอบไปถึงทัศนคติของเจ้าของคุณต่อยเลย ต่อยอดธุรกิจได้ดีและเก่งมาก
: บุฟเฟ่ต์มีหลายราคาให้เลือก รสชาติอาหารอร่อยค่ะ คุณภาพก็ดี มีอาหารให้เลือกค่อนข้างหลากหลาย ใช้วัตถุดิบค่อนข้างดี ไม่ไก่กา
: น้ำจิ้มรสชาติดี ชอบมากๆๆ แต่ติดหวานไปหน่อย ถ้าลดได้จะดีมากๆ
: เราเลือก gold มีซูชิด้วย มาแบบคำเล็กๆพอดี ได้ชิมหลายๆแบบ ชอบค่อยสั่งเพิ่ม ไม่เหลือทิ้ง
: น้ำซุปชอบน้ำดำ และทงคัตสึที่สุด เข้มข้นกำลังดี ไม่เค็มปรี้แม้ใกล้จะหมดแล้ว
: ขนมหงานอร่อยปกติ ไม่ได้โดดเด่นอะไรมาก อยากให้เพิ่มไลน์มากกว่านี้

💰: มีหลายราคาให้เลือก เริ่มต้น 359.-/คน
🚗: ที่จอดรถข้างร้าน
🕰️: 11 am - 9 pm (everyday)"
ChZDSUhNMG9nS0VOLVQ4ZXI1enA3SkZnEAE,Nanthaporn K.,5,"เป็นร้านชาบูที่ชอบมากกก
ที่นั่งสบาย , น้องๆบริการดี เอาใจใส่ดีมาก
ที่จอดรถสบาย , วัตถุดิบต่างๆไว้ใจได้เสมอ สด ใหม่ ใหญ่ เต็มคำ 🙏"
Ci9DQUlRQUNvZENodHljRjlvT21sbFVGbFhSWEpVTjFKNmVWVnVSV2R4TUdWTVlVRRAB,OpecTheHero,4,"หลังจากเหตุการณ์เจ็บเท้า ไปสาขา Terminal 21 ที่ปิดแล้วแต่ดันไม่ปิดใน Google Map

ผมที่ถอดใจจะมากินร้นนี้ไปแล้ว แต่แฟนผมยังไม่ยอมแพ้การมาครั้งผมขอบอกตามตรงเลยนะครับ

ประทับใจแฮะ โอเคเลย

น้ำจิ้มอร่อยดีเลยครับ ของที่ได้ไม่หวือหวาเพราะผมเลือกทาน Standard แต่เอาตรงๆทางร้านมีมห้เลือกมีหลายระดับนะ

ในมุมส่วนตัวอาจจะไม่สมราคานัก มีจำกัด้วลาทานประมาณ 1.30 ถือว่าไวนะ

แต่ได้มาทานจริงๆก็รู้สึกไม่แย่ แต่ผมมองในมุมไม่เปรียบเทียบเลยนะครับ

เพราะถ้าไปเปรียบเทียบกับเจ้าดังตัวน้อยนะครับ เพราะรายนั้นเวอร์ไปละ"
Ci9DQUlRQUNvZENodHljRjlvT2pFNVFuSkZka2gzT1hFMk9YRTRVa2htT0dSRVNWRRAB,Mukmix Hanaka,5,ติดใจค่ะ ไปกิน 2-3-4 รอบแล้วค่ะ  😁 พี่พนักงานบริการดีทุกคนเลยค่ะ
Ci9DQUlRQUNvZENodHljRjlvT2tSSVlUZFBVMlpDVkRsNU1IcFpWelZ5TkRGNmFFRRAB,Nang JaTsing,1,"First time in this place. When coming in, the cashier lady showed me the menu that is ""the standard buffet set"". Standard set has only pork and chicken. Since I can't eat pork and just chicken,I asked her if any beef available she suggested me to go for Silver buffet set which has beef.
She assisted me to the table and asked me what I would like to order. I told her that beef is fine for me. The silver menu has 3 types of beef and I told her that I want all 3 beef to which she said I can only have 2 plates of beef (see the picture). I was amazed but didn't tell her anything because I think may be beef is more expensive that is why beef is limited to customers. So I told her 2 beef plates then. And when I looked through the seafood, I asked her if I can choose more than 2 or just 2, she said ""Yes only 2 seafood"". I chose 2. Then she said I can have all the appetizers as"" it is buffet"". So buffet only applicable for appetizers but not main meat options? Food was good, fresh and fair quality but very misleading and dishonest to customer as it was not a true buffet.
Paid 598 Bhat ,for me it was sufficient as I am not a heavy eater but if you can eat or plan to eat alot, don't choose this restaurant/place. You chose to upgrade to have beef but you were limited. Not a buffet as it advertised. Scam indeed."
Ci9DQUlRQUNvZENodHljRjlvT2s0MU9XeENWa1l6UVVjNFJHRlFSbXhrVmxsWk0xRRAB,Mantana Y,3,"โดยรวมพอใช้ ในทุกๆด้าน บุฟเฟต์มีหลายราคา  โดยไม่รวมเครื่องดื่มและไอศกรีม
กินเสร็จเจอแมลงสาบวิ่งออกมาทักทายบนโต๊ะ"
Ci9DQUlRQUNvZENodHljRjlvT25rek1GTk1XSFF0U1haM01UQkNTMDl4VlMxdFRIYxAB,P M,3,เป็นร้านประจำที่ไปทานบ่อยมากๆ สะดวกมีที่จอดรถเยอะ แต่พึ่งไปช่วงเดือนที่แล้วมา มันไม่เหมือนเดิมการจัดจาน ภาชนะที่ใส่ เนื้อที่เสริฟมันไม่อร่อยเหมือนเดิม ทำให้ความอร่อยลดลงไปเยอะเลย
