review_id,author,rating,text
ChZDSUhNMG9nS0VPWEQxSVNnMHF1OVh3EAE,Varisara S.,4,"📍 ร้าน buffet ที่ตั้งอยู่ในตึก Time square ชั้น 4 สามารถนำรถมาจอดไว้ที่นี่หรือว่านั่ง BTS มาลงที่สถานีอโศกแล้วเดินบน sky walk เข้ามาในตึกก็ได้ค่ะ ร้านเปิดทุกวันตั้งแต่ 11:30-21:30 น.

🍲 เรท buffet มีให้เลือก 2 ราคาค่ะ ทานได้ไม่จำกัดเวลา; ตัว premium buffet มีกุ้งแปซิฟิกตัวใหญ่ที่แกะมาให้แล้วด้วย อร่อยมากค่ะ เนื้อเด้งกรุบมากๆ ชอบมากกกก ส่วนเนื้อสัตว์อื่นๆกับผักก็ดีมากๆเหมือนกัน สดสะอาดแถมให้เยอะด้วย น้ำซุปก็รสชาติดีค่ะ จะติดเรื่องน้ำจิ้มนิดหน่อย ส่วนตัวเราไม่ค่อยชอบรสนี้ค่ะ แต่เพื่อนก็บอกว่าอร่อยนะคะ ต้องมาลองทานเอง แล้วก็เราไปช่วงหัวค่ำ ไม่แน่ใจว่าปกติเวลาสั่งอาหารไปแล้วพนักงานใช้เวลาเสิร์ฟนานแค่ไหนเพราะว่าเราต้องนั่งรออาหารกันซักพัก ประมาณ 10-15 นาทีเลยค่ะ อีกเรื่องนึงคือโต๊ะที่ร้านไม่ได้ใหญ่มาก นั่งได้มากสุดประมาณ 6 คน/โต๊ะค่ะ

🍦 ใน premium buffet จะรวมพวกไอศกรีมด้วย มีให้เลือกทานได้ทั้งแบบแท่งและแบบถ้วย หรือใครอยากทานเป็นพวกขนมหวานที่ร้านก็มีเหมือนกันค่ะ"
Ci9DQUlRQUNvZENodHljRjlvT2xJeWRtZEZiV3RYV1hGRldIQm5jMHMxZDB3MFNYYxAB,N N (Pom),5,เลือกกินเป็นชุด Premium Buffet ไป มีเครื่องดื่มและขนมหวานรวมอยู่แล้ว สามารถเลือกน้ำซุปได้ 2 อย่าง กุ้งขาวตัวใหญ่สดเด้งดี กุ้งแม่น้ำไม่ค่อยสด ลูกชิ้นแมงกะพรุนอร่อย เกี๊ยวปลาอร่อย ข้าวกระเทียมใช้ได้ บริการค่อยข้างดีแต่ช้า แม้นลูกค้ามีแค่ครึ่งร้าน
Ci9DQUlRQUNvZENodHljRjlvT25oUFkwczVZVm96YUZwT2NIUm5iRmd3UzFNd2NsRRAB,Daud,4,"Buffet price is below 500 baht, my opinion is it’s the best choice in that range. You get decent beef, fresh seafood and vegetable that is good condition, more hygiene than others."
ChZDSUhNMG9nS0VJQ0FnTUN3eC03VFJnEAE,Dearz Sinsukpakdi,5,เป็น 1 ใน 2 สาขาที่ดีที่สุด ที่เคยกินมาของชาบูนางในเลย วัตถุดิบดี อร่อย สะอาด ชอบลูกชิ้นกุ้งมากๆๆๆๆๆๆๆ กุ้งแปซิฟิคคือที่!!! ดีมากจริงๆ ราคาไม่แพง ประมาณ 4XX บาท บางคนไม่ชอบน้ำจิ้ม แต่ส่วนตัวไม่ติดอะไร ถ้ากินวันศุกร์แนะนำให้จองมาก่อน ถ้าวันจันทร์-พฤหัสคนไม่เยอะมาก เดินทางเชื่อมจากบีทีเอสอโศกแล้วเข้าตึกไทม์สแควร์ได้เลย สะดวก สบาย หรือขับรถมาจอดฟรี 4 ชั่วโมง น้องๆบริการดี พูดจารู้เรื่อง มากินอีกเรื่อยๆแน่นอน! 😁👍
Ci9DQUlRQUNvZENodHljRjlvT25WNFptRmlRVlk0Y0hWbFkySXllamhaVDIxb2VXYxAB,Kamonrut P,5,ขาบูคอมฟอร์ทโซน ราคาดี คุณภาพดี แม้จะบริการช้าบ้าง งงบ้าง ระบายกาศไม่ดีบ้าง แต่มองข้ามได้ พอนสึคือที่ 1 กุ้งXL คือที่สุดดด อร่อยมาก ไปซ้ำบ่อยๆ ของสดดี ซุปเริ่ดจึ้ง
ChZDSUhNMG9nS0VJQ0FnSURmX3E2NVp3EAE,Pat POP,5,"ชอบร้านนี้ มาประจำครับ ชอบตรงวัตถุดิบ ถ้าเทียบราคาแล้ว รู้สึกว่าคุ้มค่ามาก ชอบทานเนื้อติดมัน กุ้งแกะตัวใหญ่ๆ น้ำจิ้มก็อร่อย น้องพนักงานก็ดูแลดีแค่สบตาก็เดินเข้ามา แต่บางครั้งก็ต้องโบกมือ แต่ไม่แย่ๆครับ
ความสะอาดถ้าปรับปรุงร้านจะดูน่านั่งมากยิ่งขึ้นครับ อยากให้ร้านรีโนเวทสักนิดเพราะเริ่มดูเก่าไปแล้ว จัดแย่งสัดส่วนในร้านใหม่ ให้สะอาดตามากขึ้น ก็น่าจะดีไม่น้อยเลยครับ

วัสถุดิบ ดูสด สะอาด น่าทานมากๆครับ มาแล้วมาอีกบ่อยๆ

ที่ชอบที่สุดที่ทำให้มาร้านนี้คือ ลูกชิ้นกุ้ง 55 (รักส่วนตัว)  ส่วนพวกเกี้ยว ลูกชิ้น ดีทุกอย่างครับ

ดีมากๆอีกอย่างคือกุ้งสดแกะ กับเนื้อติดมัน สุดยอดๆ

แนะนำครับ"
Ci9DQUlRQUNvZENodHljRjlvT2pORlRVZDFPWEZNVFVOR1kzbEZUVE0wWjBkb09VRRAB,Sunee Changjaroen,5,"ลูกชิ้นกุ้งทอด เสิร์ฟ พร้อมน้ำจิ้ม บ๊วยเจี่ย อร่อยมาก
กุ้งสดตัวใหญ่ เต็มคำ"
ChdDSUhNMG9nS0VJQ0FnTURBaDZ1bXdBRRAB,Jiraphat Plongphan,5,อร่อยทุกอย่าง ทั้งเนื้อ หนู โดยเฉพาะกุ้ง มีทั้งกุ้งแกะตัวใหญ่ๆ กุ้งแม่น้ำหัวมีมันกุ้งทุกตัวเนื้อกุ้งเด้งๆ ขนมหวานมีทั้งสละลอยแก้ว ลูกตาลลอยแก้ว ซึ่งไม่ค่อยเห็นมีในบุฟเฟต์ที่ไหน ไอศครีมก็หลากหลาย
ChdDSUhNMG9nS0VJQ0FnSUR2eC1PbTRRRRAB,PK,3,"ชาบูชาบูเจ้าเก่าอยู่ในตึก Timesquare
วันนี้มากินเมนูราคา 389 บาท + น้ำรีฟิล 39 บาท
Net 428 บาท ไม่จำกัดเวลา
ชาบูชาบุรสชาติดี ส่วนตัวชอบเนื้อหมูมากกว่าเนื้อวัว ราคานี้มีกุ้งและปลาหมึกสด เราสั่งกุ้งสดไปกุ้งไม่ได้ตัวใหญ่มากแต่ทางร้านแกะเปลือกให้ทำให้ทานง่าย

ใครแวะผ่านมาสามารถมาทานได้ ชาบูชาบูรสชาติดี ราคาไม่แพง"
ChdDSUhNMG9nS0VJQ0FnSURubnV2czdnRRAB,Lts Spntps,5,"ลง BTS อโศก เดินมาไม่ไกล ร้านอยู่ชั้น 4 ตึก Time Square ขึ้นบันไดเลื่อน เดินเลี้ยวขวาตรงมาเจอเลยค่ะ

ร้านไม่ใหญ่มากไปช่วงเย็นอาจจะรอคิวนิดนึง วันนั้นไปถึงประมาณทุ่มนึงมีสามคิว รอประมาณ 30-40 นาทีค่ะ น่าจะเป็นช่วงคนเลิกงานพอดี

อาหารคือดีมากหลากหลายและสด สะอาด เราค่อนข้างชอบลูกชิ้นและเกี๊ยวปลาของที่นี่มาก กุ้งแกะให้เรียบร้อย และยังมีชีสในบุฟเฟ่ ราคาดี 389 +น้ำรีฟิล"
Ci9DQUlRQUNvZENodHljRjlvT2pOWlVqTktNM05QYTBwMVVGbGZObE5XZDBwaWNHYxAB,Fern Pari,5,ไปกินช่วง4-5โมง เงียบดี มี2-3โต๊ะเอง บริการดี หมูดี น้ำซุปดี มา2คนเสิร์ฟหมูแบบอิ่มพอดีเลยไม่ต้องสั่งเพิ่ม ราคาถูกและดีด้วย อยากให้มากันเยอะๆจะได้อยู่ต่อนานๆ
ChZDSUhNMG9nS0VJQ0FnSURIdGZHQWVREAE,Will PvR,5,"ร้านชาบูนางใน สาขานี้อร่อยมากกุ้งแกะให้แล้ว
ลูกชิ้นกุ้ง หมู เกี๊ยว หมู น้ำจิ้มสุกี้และพอนซึดีอร่อยม๊ากมาลองเถอะคุ้มจริงงงงง ราคา389 บุฟเฟต์"
ChdDSUhNMG9nS0VJQ0FnSUNfM051WGlBRRAB,tnpfar,5,"อาหารอร่อย สะอาด
คุ้มราคา
บุฟเฟ่ต์ 389 น้ำชาฟรี
มีรีฟีลน้ำ 39 บาท
เนื้อใบพายอร่อยคับบ"
Ci9DQUlRQUNvZENodHljRjlvT2s5UGJtTTRkamt0V2s1eFFrWTVhVzFrYjJ0S1YwRRAB,Julian Lundgren,1,they charged my card 10x the amount. 4000+bht. The food was good though. sucks about the mischarge. I disputed with my CC company and have the receipts and everything.
