review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT21OUFdYbDBYMGhoVDJSM2FXbHphR3d5TmtveGNrRRAB,tle thiti,4,"ร้านอยู่ชั้น2 ร้านค่อนข้างใหญ่ เรียกคิวเร็ว ทาน 399 รวมvat 427บาท ตอนนี้มีโปรแลกคะแนนของ ktc 699คะแนนลดเพิ่มอีก120 บาท

ส่วนตัวพนักงานโอเค คอยเก็บชาม เก็บจาน เติมน้ำจิ้ม น้ำซุปตลอด ไลน์อาหารก็โอเค
ซูชิ แกงกระหรี่ของทอด ไอศกรีม เครื่องดื่ม อาหารบนสายพายก็โอเค วัตถุดิบก็ไม่ได้แย่กลางๆ น้ำซุปต้มยำรสชาติกลางๆ"
Ci9DQUlRQUNvZENodHljRjlvT205dFUyRklUbFJSTms5V01FcFNTVGs1Vm1nd2FIYxAB,ธัญชนก แพทย์พิทักษ์,5,อร่อยทุกครั้งที่กิน ของเยอะดีค่ะพนักงานเติมของเต็มสายพานตลอดค่ะ
ChZDSUhNMG9nS0VJQ0FnSURueG9tbU9nEAE,Wisaroot S.,4,"กินที่นี่หลายครั้งมาก ๆ นับไม่ถ้วน แต่เพิ่งได้มารีวิว
- อาหารที่นี่อร่อยครับ ทั้งชาบู ซูชิ และของกินเล่น มีให้เลือกได้หลายอย่างบนสายพาน
- ถ้าเป็นวันหยุดยาว วันหยุด เสาร์ อาทิตย์ หรือวันเงินเดือนออก ที่นี่จะคนเยอะมาก ใครจะมา แนะนำวางแผนเรื่องเวลาให้ดีครับ

* อยากฝากถึงสาขา ไปกินวันไหนไม่รู้จำไม่ได้ วันนั้นไม่มีเนื้อสไลด์ติดมันมาเลยบนสายพาน เลยขอพนักงาน และสิ่งได้ที่มา มันไม่ใช่เนื้อสไลด์ติดมัน คุณภาพต่ำมาก แย่มาก"
Ci9DQUlRQUNvZENodHljRjlvT25OalFXSmtaVll0Y2xJeVdWSlhZV2R4TFVkRGJXYxAB,Pattawikarn Chaengmongkhon,1,แย่มากๆ ในการบริการ ไปนั่งไม่ถึง5นาที ยังไม่ทันได้เริ่มทาน พนง.เสริฟ ทำ น้ำจิ้มหกใส่เสื้อ กางเกง ทั้งชุด ไม่ได้รับการรับผิดชอบ ใดๆ  แค่คำขอโทษ ส่งๆ ชุดเสียหายทั้งชุด แย่มากๆๆๆ แย่ที่สุด
ChZDSUhNMG9nS0VJQ0FnTUN3Z2FpWEtREAE,City of Angels,5,"Affordable buffet for unlimited meat and seafood. You can get dishes from the conveyor belt as they come round or order from the app. Friendly staff and quick service. Plenty of side dishes, drinks and vegetables."
ChZDSUhNMG9nS0VPR05pckwtX1B1aVFBEAE,Jimmy L.,5,I really like this buffet. I usually get the cheapest cause I don't see value in the more expensive options. I like the fact that the food just keep coming out on a rotary machine and there are sushi on the side that I can eat. The drinks are not sweet which is another good thing I like
ChdDSUhNMG9nS0VJQ0FnSUR6Nkltbl9RRRAB,FaNgZ WTF,4,"ไม้ได้กินชาบูชินานมากก รอบนี้อยากลองชิมข้าวซอย ฝีมือเชฟอ้อฟ มาสเตอร์เชฟ เราสั่งเป็นโปร Platinum สั่งผ่าน Hungry hub แค่ 555 บาทเน็ต กิน2คน ประหยัดได้เยอะอยู่นะ 😆 โปรนี้เนื้อดี มีให้เลือกเยอะ ข้าวซอยเข้มข้น มีของทานเล่น มีซูชิด้วย

“ชาบูชิ มาเหนือ”
ซุปข้าวซอยทงคตสึหม่าล่า
บูตะไส้อั่ว และหมี่กรอบ
เอบิเท็นมิโซะหม่าล่า, ไส้อั่วมากิ และหมูม้วนเมืองเหนือ
มีซอสข้าวซอยให้จิ้มด้วย อร่อย แปลกใหม่ดี

รวมๆก็คุ้ม อร่อย ของหวานมีผลไม้ กับไอศกรีม
พนง.ที่นี่น่ารัก บริการดี"
ChZDSUhNMG9nS0VJQ0FnSURQaDRteE1nEAE,Koy Wiriya,5,ชาบูชิ ซีฟู้ดพาราไดซ์ หอยเชลล์ หมึกกระดอง กุ้งสด ปลาอิซุมิได หอยตลับ อาหารสดใหม่ พนักงานบริการดีมากๆๆๆ
ChZDSUhNMG9nS0VJQ0FnSUMxNGZmYkZnEAE,phiphob sodsee,4,Food is not too expensive. Buffet is quite adequate in the term of quantity and quality. You can pick three kinds of soup and unlimited meats and vegetable. There are sushi bar that will be all you can eat.
Ci9DQUlRQUNvZENodHljRjlvT2sxTWFuWkllVk5QUzFsSVZFWTFXVmhtZUdoeVdVRRAB,feelingb Nolimit,5,"อาหารสด  ยกเว้นเกี๊ยวซ่า
พนักงานบริการดี  น่ารัก  ชอบเต้นด้วย5555"
