review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT25CRlJYUkROV3gyVWtsUlp6UTJaMHhRVkZwMVdWRRAB,May SoHos,2,วันนี้ไปกินตอนเวลาตี1-ตี2ของแถมคือหมูกรอบแต่เหนียวมากเหมือนจะเก่าของทอดต่างๆด้วยเก่าไม่กรอบเกี๊ยวผักขมชีสชีสไม่ยืดไม่อร่อยวันนี้ก่อยมากควรตรวจสอบดูแลเรื่องคุณภาพอาหารและเทรนพนักงานเรื่องนี้หน่อยนะคะ
Ci9DQUlRQUNvZENodHljRjlvT2tWRlRVNWZkRUZ5ZFc0MVNWWm5jM1JJWkc5V2NrRRAB,Thanyaraht Chi,2,ไปกินวันธรรมดาตอน11.00 น กลางวัน คนไม่เยอะ ได้โต๊ะเลย มีโต๊ะว่างหลายโต๊ะ สั่งน้ำซุปที่เค้าเต้อ หมาล่าบวกเงินเพิ่มอีก45 บาทซุปหมาล่าไม่ได้กลิ่นหมาล่าเลย ความเผ็ดเป็นศูนย์ ซุปน้ำดำออกหวาน ซุปค่อนข้างจางไม่เข้มข้น  อาหารได้เร็ว สั่งหมูถาดใหญ่ นุ่มดี ตับนุ่มชิ้นใหญ่ สาหร่ายวากาเมะเค็มมาก หมูห่อสาหร่ายกลิ่นแปลกๆ ไม่คุ้น เต้าหู้ชีส คริสตัลทรัฟเฟิลพอได้ แต่ชิ้นจะเล็ก ออร์เด้อนึงมี3ชิ้น น้ำเดินไปตักเอง น้ำจิ้มสุกี้หวาน พริกปรุงเพิ่มเผ็ดดี ความคิดเห็นส่วนตัว ถ้าพูดถึงคุณภาพน่าจะน้อยหน่อย แต่ถ้ากินแล้วคุ้มก็คุ้มกว่าชาบูแบรนด์ดัง (ถ้าจะเอาอิ่ม) มาลองกินดูเห็นต่อคิวยาวมากสมัยก่อน สรุป ปานกลาง ไม่ได้ติดใจอะไร
Ci9DQUlRQUNvZENodHljRjlvT2xGTFh6QlZjRWt3UjFkamEyOU9NVVJ0V21nekxWRRAB,Luna,4,"วันนี้มีเวลาว่าง เลยแวะมาเจอเพื่อนเก่าที่ชื่อว่า… สุกี้ตี๋น้อย สาขา MBK 🍲
สาขานี้ยังคงท็อปฟอร์มเรื่อง “คิว” เหมือนเดิม  แม้จะมาในวันธรรมดาก็ยังต้องรอคิว แต่ครั้งนี้รอไม่นานเกินไป

อาหารก็ยังคงสไตล์ตี๋น้อย—มีให้เลือกเพียบทั้งหมู เนื้อ ซีฟู้ด และอาหารเล่น ๆ ต่าง ๆ  แต่ครั้งนี้รู้สึกว่าเนื้อหมูที่ได้ค่อนข้างเหนียวไปนิดหน่อย 🤣

ด้านบริการถือว่าใช้ได้ แต่ต้องเรียกซ้ำอยู่บ่อย ๆ เพราะบางทีน้องพนักงานอาจจะรีบ หรือเผลอลืมเมนูที่สั่งไป ต้องเน้นย้ำซ้ำ ๆ หน่อย 🛎️

โดยรวมถือว่าคุ้มกับราคา นั่งกิน นั่งเม้ามอยกับเพื่อนได้เพลิน ๆ กินไป หัวเราะไป สนุกดี ใครสายบุฟเฟ่ต์ก็ยังควรมาลองสักครั้ง ✨

📍 สุกี้ตี๋น้อย MBK Center
เหมาะสำหรับ: มากับเพื่อน, สายบุฟเฟ่ต์, คนชอบนั่งกินชิล ๆ"
Ci9DQUlRQUNvZENodHljRjlvT2toUWRGOW9ZVXhqZFRkeWF6SjNUMmM0VGpaR1RGRRAB,Su Myat Kyi Sin,5,"It was so good that we went there for two times 😮‍💨 The flavor of the soups are on top notch and the meats are all good and fresh. Service also very fast with that amount of people coming. They have a que also always so need to wait like 10 mins to 15 mins. We tried three soups. Mala two times, tom yum and sukiyaki soup were top notch."
Ci9DQUlRQUNvZENodHljRjlvT2xCdmJFRjRXV2hwTkZaVmNpMVBVbEkyYlRGa01XYxAB,Layi Chan,3,ไปกินหลายครั้งมากค่ะ แต่ทุกครั้งที่ไปสั่งเห็ดเข็มทองมาทีไรไม่เคยได้สักที พักหลังๆนี้อาหารออกช้ามากค่ะบางสาขาก็ออกเร็ว กินมาหลายปีแล้วรสชาติทุกอย่างมันเหมือนเดิม  เคยไปกินสาขาศิลา market ไปตัดของกินเล่นตากไก่ทอดมาแล้วเจอขนไก่ เอาไปให้พนักงานดูพนักงานก็ไม่ว่าอะไรมีไก่ชิ้นนั้นแล้วก็หายไปเลย..
ChdDSUhNMG9nS0VJQ0FnTUNJc3M2dXNBRRAB,Chen E.,4,"Suki Teenoi is one of those classic hotpot buffet spots locals keep coming back to—it’s the go-to place when you’re craving hotpot late at night. This branch is especially convenient since it’s located in a shopping mall and stays open until 3 AM, even after the rest of the mall has closed.

The food is just what you’d expect—nothing fancy or special, but definitely satisfying for the price. For under 300 baht, you get a variety of ingredients and a full pot to enjoy. They also offer different soup bases to choose from, so you can customize your hotpot to your taste. Perfect for when you want a no-fuss, late-night hotpot fix with friends."
Ci9DQUlRQUNvZENodHljRjlvT21oSmNVWllaMXBrYmpWNFJWTTRabHBtZUd4dlFXYxAB,สัตยา วิเศษชาติ,5,โคตรดีบอกเรยผมไม่ได้อวยพนักงานบริการยิ้มแย้มเเจ่มใสลูกค้าก้อดีเร็วเร็วทันใจ
ChdDSUhNMG9nS0VNUGZqT3V2c1lYSzl3RRAB,Yuta Sai,4,"Great food, it cost around 500 baht for two people, full buffet, refillable drinks,

they have fried food section such as fried etc… time limit is 2 hours , and you choose your own broth. I would recommmed not going weekends because the line is so long with locals waiting for hours.

You can choose beef, pork, prawns, squid etc….a wide range to choose from"
Ci9DQUlRQUNvZENodHljRjlvT2xvNE1HUlJjMXBVTFhkbU1sSTBiVVl3VW1OcGRFRRAB,Angus Stew Pitt,4,"Food are very decent for the price. The buffet includes different meat options (beef, pork, chicken), vegetables, rice and noodles. There is an unlimited drinks refill option as well and there are different types of sodas and slushies to choose from. You have 2 hours to enjoy the food and it is very suitable if you are eating with a group of friends. If you plan to come for dinner, make sure you come and get a ticket around 6 or 7pm because it will take at least 45mins to 90mins to wait."
Ci9DQUlRQUNvZENodHljRjlvT2t4TVkzbE5aRlJGZWpjNFZraFlRa0p2VjB4NmJrRRAB,Ei Phyu Sin,5,"We paid around 610 THB for two person which includes free flow drink and choice of mala soup (49THB) When we arrived, there were 10 tables ahead of us, and it took around 30 minutes."
