review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2tORllsVndXR2RETWpOeUxUaDViV0Z2VG1sZmEwRRAB,Andrew Howard,5,"Best value for the quality.

We loved Tenjo.  We had the 399baht all you can eat.  Our kids were half price.  So this was the best value meal we have had in Bangkok.

The sushi was fresh and of good quality (not excellent).  We really enjoyed the beef sushi and beef BBQ.

Included in the menu was sushi, Korean BBQ, slushies and other drinks, icecream, jelly, and more.

We would definitely come back."
Ci9DQUlRQUNvZENodHljRjlvT2kxdU9FNHljRkJaYkVkaFFVUTBTSEJ4U2t0RGRsRRAB,Colm Corbec,5,"A bit older interior but worth the price. Be careful, payment via QR code and credit card only. Also have different pricing. Took the basic set for 505 baht"
ChZDSUhNMG9nS0VJQ0FnTURJNTYteVVBEAE,Narue (AOM),5,"ประทับใจสาขานี้ มาทานโปร  399+ 2 รอบแล้ว
แนะนำเนื้อแทรกมันดี หมูคุโรบุตะดี คอหมูย่างดีมาก ผักสด บรรยากาศร้านดี แต่ร้านจะเล็กหน่อย จัดโซนดีอยู่"
Ci9DQUlRQUNvZENodHljRjlvT2xoVFMwOUlRVEl0UVZwWFRGUk5aVTloUTFkRVJFRRAB,Christopher Gould,5,Best sashimi I’ve had in a long time at a buffet. Very fair pricing.
ChdDSUhNMG9nS0VJQ0FnSUNIZ01Ua213RRAB,watchara watchara,5,ไปรับประทานมาสาขานี้ตลอด น้องพนักงานบริการดีมากค่ะ ดูแลให้คำแนะนำอย่างดี แล้วตอนนี้มีน้ำจิ้มหมูกระทะมาใหม่ รสชาติใช้ได้ค่ะ  แซลมอนสดอร่อย ปลาหมึกนี่ชอบมากสดอร่อยเหมือนกัน เพราะส่วนตัวชอบทานปลาหมึกมากค่ะ เนื้อแซลมอนย่างก็อร่อยค่ะ สันคอเนื้อดี ตอนไปทานราคาสมาชิกดีเข้าไปอีก แต่ว่า!!สั่งซูชิกับซุปมิโซะไปไม่ได้สักอย่าง พนักงานไม่มีการแจ้งอะไร และไม่ได้ทวงด้วยค่ะ ทานอย่างอื่นแทนไป โดยรวมคือดีกับราคาและบริการ มาทานอีกแน่นอนค่ะ
ChZDSUhNMG9nS0VJQ0FnSURDLXJUSkhBEAE,Sanchai Lookkaew,5,บุฟเฟต์ปิ้งย่าง สั่งแล้วมาเสริฟ ไม่ต้องเดินตัก อาหารอร่อยมาก มีให้เลือกเยอะ แซลม่อนเนื้อดี อาหารปิ้งย่างก็ดี มีของหวาน มีเตาแพนเค้กให้ทำเอง มีอะไรใหม่ๆมาให้ลองเรื่อยๆ มีสองราคาให้เลือก ราคาหน้าร้านยังไม่รวมvatกับservice  พนักงานบริการดี สั่งอาหารได้หมด ไม่งอแง เพิ่มถ่านเปลี่ยนตะแกรง บอกไปเดี๋ยวก็มา
ChdDSUhNMG9nS0VPZl8zc2pWN29QTmhnRRAB,Shaun Lee Sheng,5,Very very good food with huge variety. Only problem is the smaller seating arrangement.
Ci9DQUlRQUNvZENodHljRjlvT2tkbVRIbHFlakJwUkV3eU56SnlPVE5qY214Q2NsRRAB,Pch Aw,5,ไปทานกับแฟนคนเต็มร้านเลยได้โต๊ะที่ค่อนข้่างร้อน พอย้ายมาอีกที่ก็ยังร้อนอยู่แฟนเหงื่อท่วมหน้าแดงเหมือนจะเป็นลมแต่พนักงานหลายคนน่ารักมากพยายามหาพัดลมมาตั้งให้พอให้อากาศดีขึ้น ปรับทับใจมากค่ะ
ChZDSUhNMG9nS0VJQ0FnSURyMlp6cFF3EAE,Ming Yang,5,บุฟเฟ่ต์ สุดคุ้ม รวมเครื่องดื่ม 410 บาท ทานได้ชั่วโมงครึ่ง สั่งได้ทีละ 10 อย่าง มีเนื้อออส อย่างดี สามีชอบปิ้งย่าง ส่วนภรรยาชอบซูชิ เป็นอะไรที่แตกต่าง แต่ทานด้วยกันได้ ร้านสะอาด พนักงานบริการดี ซอสหลากหลาย
ChdDSUhNMG9nS0VJQ0FnSUN6ai1IcTRRRRAB,Anucha Seesuwat,5,อร่อย คุ้มค่า ได้เยอะ พนักงานบริการไว มีของให้เลือกหลากหลาย โดยเฉพาะอาหารทะเล บุปเฟ่ต์ กุ้ง ปลาหมึก ไม่อั้น  มีของหวาน แพนเค้ก ไอศครีม เยลลี่ น้ำแข็งใสครับ น้ำเปล่าน้ำอัดลมน้ำผลไม้ มีทุกอย่าง เดินทางสะดวก ติด BTS แนะนำครับ
ChZDSUhNMG9nS0VJQ0FnSURMaF9tRldREAE,kruboo chan,3,"สั่งอาหารจากการสแกนบุฟเฟ่ต์กิน 5คนประมาณ 2,400 บาท ใบเสร็จ 1 ใบเสร็จ สามารถแสตมป์บัตรจอดรถได้เพียง 1 ท่านเท่านั้น อาหารรสชาติปานกลางเนื้อสไลด์เทียบกับที่อื่นถือว่าเหนียว ข้าวผัดกระเทียมแฉะ กุ้งชุบแป้งทอดควรตัดก้ามและเปลือกส่วนคมๆออกเพราะมันจิ้มเหงือกหมดอร่อย น้ำจิ้มพอใช้ได้ ถ้าเพิ่มความใส่ใจกรรมวิธีการเตรียมวัตถุดิบก่อนปรุงอาหารก็จะดีกว่านี้นะครับ"
ChZDSUhNMG9nS0VJQ0FnSURfdy12UlJBEAE,BLS,5,"Food and service are five stars! We went for the Platinum buffet. We ate Wagyu, oysters, sushi, scallops, soups, mochi, shrimp, pork, corn and many sweets. There are so many items to order from sushi, yakiniku, salads, fried foods, seafood, chicken, Thai iced tea, iced matcha tea, jello, candy and more. We especially loved grilling at the table. This was a highlight of our dining experiences in Bangkok."
ChZDSUhNMG9nS0VJQ0FnSUQxLTZUYU1BEAE,G G,5,"We had an amazing dining experience at Tenjo Sushi & Yakiniku in Ekkamai! The variety and quality of sushi and grilled meats were exceptional. The freshness of the ingredients really stood out, and the selection was impressive. The service was attentive and friendly. What sets this buffet apart is not just the delicious food, but also the value for money considering the high quality offered. We choose the seafood lover for 500+ (including the tax and vat)but its all worth it, highly recommend it to anyone looking for a top-notch sushi and yakiniku experience, it also comes with free variety of drinks. We really loved it♡"
ChdDSUhNMG9nS0VJQ0FnSURwd0llYXNRRRAB,maytavee,5,อาหารดีมากกก ทุกอันเลย ไปกินกับเพื่อน5คน แรกๆเสิร์ฟช้าหน่อย ของมาครบบ้างไม่ครบบ้าง ต้องมีการทวงถาม แต่ให้อภัยได้เพราะซาชิมิแซลม่อนสด ฉ่ำมากก รสชาติดีจริงๆ ปกติกินสาขาอื่นไม่ได้ว้าวขนาดนั้น รอบนี้สั่งมาเยอะมากๆ แล้วตัวแซลม่อนทรัฟเฟิ้ลช็อตก็อร่อยมากกกินไปหลายคำเลย รวมๆเป็นมื้อที่แฮปปี้ ของสด ดี ไปร้านค่อนข้างดึกไม่ค่อยมีคนแต่พอเราเข้าไปคนเริ่มเข้ามาเยอะ😂 รอบนี่กินเยอะที่สุดตั้งแต่เคยกินมาแล้ว บรรยากาศร้านไม่ค่อยสวยเท่าไหร่แต่เรื่องอาหารให้10เต็ม555
ChZDSUhNMG9nS0VJQ0FnSUN1bXRqa0pREAE,Emminika,3,"เป็นร้านบุฟเฟ่ต์ทางเลือกที่ดีสำหรัยคนที่ชอบทั้งปิ้งย่าวและซูชิ
มีอาหารหลากหลาย และรสชาติใช้ได้เลย
พนักงานบริการดี
ขนมไม่ค่อยหลากหลาย
เวลาในการกินน้อย"
ChdDSUhNMG9nS0VJQ0FnSUN5Njh6Mml3RRAB,Justin Kaewnopparat,4,"Good but pricy. The premium option is just mediocre. If you prefer Wagyu beef, then you are forced to go to platinum option, which is 1,0xx per person. Also different price options give you more variety and better quality of food.

Services: the servers don't pay attention to customers much. Some of them don't speak Thai well and I found it a little bit difficult to understand. Some of the dish we ordered took too long to deliver.

I tried variety of beef, but I think Mono Wagyu is the one to go to. Also please save your room for Yuzu ice cream. It's really good & refreshing!

Btw, if you pay by credit card, they will charge you more."
ChZDSUhNMG9nS0VJQ0FnSURwdzRPSmZREAE,Pina Pina,5,"All you can eat Yakiniku and Japanese food (1:30 hr)

2nd time of mine for Tenjo, I chose the package price 699++ but this time they have promotion 699.- net including of soft drink and dessert.

The impressive things are the Beef is very nice and variety of choices.  I think,  this price is very valued comparing with the food quantity.

I wait about 15 min for a queue on Sunday during 19:00."
ChdDSUhNMG9nS0VJQ0FnSURobTZ6cjJRRRAB,carl philip Rasmussen,5,"Sushi and Korean Buffet
(Wich meens you have a bbq one youre table)

Great menue. Good quality one Food,both seafood and Beef Wague.
Cool view over Sukhumwhit road…

I loved it and will be back.

Note:They do not except cash only cards ore Scanpayment (Popular in Asia)"
ChZDSUhNMG9nS0VJQ0FnSUMxbG9TTVBnEAE,Taweerat Kaw-ied,5,อาหารดีครับ  บริการดี แต่บรรยากาศร้านมันดูแคบๆ ถ้ากว้างโล่งกว่านี้จะดีมาก
ChdDSUhNMG9nS0VJQ0FnSUN0N19IdS1RRRAB,Poy,2,"Friendly staffs but Low quality of food. Tasteless sauces, sticky tasteless beef, pork, fried rice. We had big prawn buffet set, eggs of prawn are not real, don’t taste anything. My sister and I don’t have Covid though! 😂
Not worth filled your stomach with food that taste like nothing."
ChdDSUhNMG9nS0VJQ0FnSUQwd082ajdRRRAB,O_mai O,4,อาหารถือว่าสดดี บรรยากาศภายในร้านดูอึดอัดนิดหน่อย เพราะโทนสีร้านเข้มๆ การบริการพนักงานเอาใจใส่ดี เดินมาดูตลอด อาหารได้ช้าโดยเฉพาะซูชิ ภาพรวมถือว่าโอเค👍🏻 …
ChdDSUhNMG9nS0VJQ0FnSUQ2dnVmamxBRRAB,Draft Reviews,4,"ของเยอะ หลากหลาย ทั้งซูชิ ซาซิมิ  ปิ้งย่าง และของทอดของหวานต่างๆ

ราคาเริ่มต้น 499++ (588บาท สุทธิ)

ของแต่ละอย่าง ให้ปริมาณไม่เยอะ 1-3ชิ้น  ทำให้เรากินได้หลากหลาย สั่งเพิ่มได้เรื่อยๆ

อาหารคุณภาพดี

รสชาติอร่อย

น้ำจิ้มหลายแบบ  อร่อยดี

รอคิวไม่นาน

น้ำมีให้เลือกเยอะ ทั้งน้ำอัดลม  น้ำหวานต่างๆ

มีไอติม

มีของหวานเช่น โมจิ  น้ำแข็งใส่ แพนเค้ก ช็อกโกแลตฟองดู

ข้อเสีย
ขออาหารนาน  อาหารไม่ครบหลายครั้ง"
ChZDSUhNMG9nS0VJQ0FnSUNzN0l1TGZREAE,Yaowalove Review,5,"ปกติ ทานประจำที่ สาขาพรอมมานาด
เปิดใกล้บ้าน
ลองแล้ว พนง.แนะนำดี
อาหารเสริฟ์ไว และช้าบ้าง

ชาชิมิ แซลมอนริ้วสวย ชอบ
รวมแล้ว อร่อยเหมือนเดิมคะ"
ChZDSUhNMG9nS0VJQ0FnSURPeDVDblh3EAE,Duangjai Chetprapatkorn,4,อาหารหลากหลาย อร่อย แต่เรื่องการสั่งออเดอร์จากแอปบางเครื่องก็สั่งไม่ได้ 😒😒 อาหารตกหล่นบ้าง แต่ก็ขอพนักงานให้ตามให้ เร็วกว่า
ChdDSUhNMG9nS0VJQ0FnSUN2OG9HSG5BRRAB,Randy Wan,5,"Tenjo Sushi & Yakiniku Premium Buffet is a food lover’s paradise! The variety and quality of sushi and yakiniku options are outstanding. The fresh ingredients and flavorful dishes make every bite memorable. The buffet offers an impressive selection, including premium cuts and delicious sides. The service was excellent, with the staff being attentive and friendly. If you’re looking for a premium dining experience with amazing Japanese cuisine, this is the place to go. Highly recommended!"
ChdDSUhNMG9nS0VJQ0FnSURIaC1QUmlBRRAB,TAN TARN,5,อาหารอร่อย ชอบปลาหมึกกับเทมปุระมากค่ะ มาซ้ำครั้งที่ 2 แล้วววเลิฟฟมากก
ChdDSUhNMG9nS0VJQ0FnSUM4cUltQS13RRAB,DonutNatt S.,5,เนื้อคุณภาพดี ซูชิและซาชิมิ ทำใหม่ตามสั่งทุกครั้ง ใช้วัตถุดิบที่สด ทำให้ไม่มีกลิ่นคาว มีอาหารให้เลือกหลากหลาย
ChZDSUhNMG9nS0VJQ0FnSURjcE5LM1l3EAE,ชาตรี มงคลศรีสวัสดิ์,5,คุณภาพเกินราคา อร่อย ปลาดิบเกรดเสริฟในร้านอาหารญี่ปุ่นเลย มีเนื้อให้เลือกเยอะ ไปทานช่วง Covid ทางร้านก็มีการป้องกันดี ห่อถุง Zip มาให้ ทานได้สองท่านต่อโต๊ะ แต่แยกมุมเอา ดีครับ ไม่เคบผิดหวังเลย
ChdDSUhNMG9nS0VJQ0FnSUNsNFo2NW1nRRAB,Nantakan Gessala,1,อาหารช้ามากๆค่ะรอนาน 20 นาทีในการสั่งแต่ละครั้ง ทำให้ได้แต่ละเมนูได้ช้า พนักงานบริการอย่างเต็มที่ แต่น่าจะเนื่องด้วยการที่มีพนักงานน้อย ทำให้ค่อนข้างเสียเวลา คิดว่ามีเหตุการณ์คล้ายๆกันกับสาขาเดอะไนท์ค่ะ พนักงานและผู้จัดการเต็มที่มาก แต่ด้วยพนักงานน้อย
ChdDSUhNMG9nS0VJQ0FnSURBeU5mTnBBRRAB,Minky BBam,4,ไปทีไรก็ทานพรีเมียม 599 ตลอด เพราะทานยังไงก็คงไม่คุ้มไปกว่านี้ เนื้อเกรดดีปานกลาง ซูชิอร่อยบางอย่าง แต่กินแล้วจุก เบคอนพันหน่อไม้ฝรั่งและ หมูชาชู อร่อยมาก
ChdDSUhNMG9nS0VJQ0FnSURRejRTTWpBRRAB,Roongtiwa Sukdam,3,หมูและเนื้อคุณภาพดีและอร่อย ซาซิมิและซูชิสดและอร่อย ข้าวไม่เยอะไป แต่ของบางอย่างสั่งแล้วต้องใช้เวลานานหรือไม่ได้ เช่น ซุปมิโสะ ต้องตามสองรอบถึงจะได้ สั่งซาชิมิรวม ตามสองรอบไม่ได้จนถึงตอนที่พนักงานมาบอกว่าหมดเวลา สรุปแล้วไม่ได้กินซาซิมิรวม
ChdDSUhNMG9nS0VJQ0FnSUQ3cTk3eTJBRRAB,Arthit Thamma,4,พนักงานไม่ค่อยบอกอะร ปล่อยเดินหาเอง ไม่ถามด้วย ไม่ค่อยใส่ใจในการให้บริการ
