review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT21kZlYwazRNRFY2ZW5sTGVtMUxYMDgwZURWclNYYxAB,Piyawat Jirapatwong,5,ไปทานบุฟซีฟู้ดมื้อเย็น🦞🦐 คิดว่าราคานี้ได้คุณภาพแบบนี้โอเคเลย คนไม่พลุ่งพล่าน ที่นั่งเยอะ มีโซนส่วนตัว อาหารทุกสเตชั่นเต็มตลอดไม่พร่องเลย หลากหลายให้เลือกเยอะ ส่วนตัวชอบกุ้งเผาและปลามาก หวาน ปกติไม่ทานปลาแต่ปลาที่นี่อร่อยดี แต่พวกเนื้อวัวเราเฉยๆออกคาว special menu เนื้อก็เฉยๆมาก ไม่ต่างอะไรกับตรง carving เลย 👎 เนื้อที่นี่ไม่ผ่าน ของหวานมาเป็นตู้ชอบไอติมฮาเก้นดาส ทั้งนี้พนักงานน่ารักเอาใจใส่ คอยเฝ้ามองห่างๆอย่างห่วงๆ 😆💕 พาคุณแม่ไปคุณแม่ชมใหญ่ครับ ส่วนมากคนชอบมาจัดงานวันเกิดที่นี่วันที่พาคุณแม่ไปมีร้องเพลง HBD 2-3 โต๊ะ
ChdDSUhNMG9nS0VJQ0FnSUR2bllhbnRnRRAB,Chic Lerts,4,มาทานมื้อเที่ยงวันอาทิตย์ อาหารหลากหลายมากคุณภาพดี มีกุ้งล็อปเตอร์ให้คนละครึ่งตัว เลือกได้ทั้งแบบอบชีสหรือย่างธรรมดา ซีฟู้ดมีขาปูคิงแคร็ปเติมได้ไม่อั้น เนื้อแกะ วากิว ปลาหิมะนึ่งซี่อิ้วก็อร่อย ถ้าสมัครบัตรสมาชิกจะได้ส่วนลด50% ถือว่าคุ้มค่าจริงๆ
ChdDSUhNMG9nS0VNZW1udTc1MzR5ajZ3RRAB,Ben Tordamrong,5,"บุฟเฟ่ต์ราคาดี บน โรงแรม Eastin Sathon ด้วยตัวอาคาร ทำให้ ห้องอาหาร ดูสว่าง จาก แสงแดด เพดานสูง ไม่อึดอัด

อาหาร มีความหลากหลาย ทั้ง ไทย เทศ อินเดีย ญี่ปุ่น สังเกตได้ว่าจะมี ป้าย Halal วางไว้ชัดเจนสำหรับมุสลิม

รสชาติได้มาตรฐานโรงแรม วัตถุดิบสด

เมนูที่ชอบ กุ้งกับน้ำจิ้มซีฟู้ด ซาชิมิ ปูผัดผงกะหรี่"
ChdDSUhNMG9nS0VJQ0FnSUNfb3VTa3NBRRAB,Daniel L,3,"We came here for a buffet lunch at about 1pm. The spread and variety of food is not a lot with their current weekday buffet lunch, relatively. Given the 900 baths, I would expect more. If U r expecting a better Quality and taste then may disappoint U for sure. If U r just want to fill up your stomach then perhaps there are many other choices with this price point. Service and atmosphere I would grade them as standard when compared with most common restaurants in Thailand. Just don't be misunderstood those photos taken from other reviews as most were from their weekends buffet tat served a better seafood range and having wider variety, of course relatively much higher price."
ChdDSUhNMG9nS0VJQ0FnTURRNy16RGpBRRAB,แม่ก้าว,3,อาหารที่อร่อยสุดจะเป็นก๋วยเตี๋ยวเนื้อวากิว นอกนั้นรสชาติกลางๆค่ะ หอยนางรมรู้สึกจะไม่ค่อยสดสักเท่าไหร่ ปลาดิบสดดีค่ะ ล๊อบสเตอร์แห้งไปค่ะ ข้าวเหนียวมูนควรจะหวานมันเค็ม ราดกะทิตัวข้าวเหนียวถึงมีรสชาติขึ้นมานิดนึง อาหารมีให้เลือกหลายหลายดีค่ะ โดยรวมเกือบดีค่ะแต่ก็ไม่ได้แย่ พนักงานยิ้มแย้มบริการดีทั่วถึงค่ะ
ChZDSUhNMG9nS0VJQ0FnSURIc3NMQ053EAE,JackPawat B,4,"13.10.2024
Sunday bruch อาหารหลากหลายมีปลาหิมะนึ่งซีอิ๊ว อร่อย,  อาหารญี่ปุ่นดูดีเลย ( พอดีไม่ใช่คนกินปลาดิบเลยไม่ได้สนใจมาก)  ,   มีล็อบสเตอร์ให้ครึ่งตัว ( ส่วนตัวคิดว่าเนื้อมันเหมือนกับ on ice  เอามาปรุงร้อน มีความเค็ม ไม่ค่อยอร่อย) , สปาเก็ตตี้เส้นดำนุ่มอน่อยดี,  หอยนางรมไม่กินดิบก็เอาไปให้พ่อครัวลวกให้ได้ :) ,  ปลาทอด ซอสแนวๆน้ำยำ อร่อยดี,  อีกรายการที่ชอบก็กระเพาะปลา,

ไอศครีม วันที่ไปกินมีสามรส ดันเป็นรสธรรมดาอีก ชอคโกแลต กาแฟ โอ่ย...  ( น่าจะมีรสที่มันยากๆหน่อยอย่างรสคุกกี้แอนครีม/ ฮาเซลนัท/รัมเรซิ่น)

เค้กยังประทับใจเหมือนเดิม ได้กินหลายรสชาดสมดังใจ :)

พนักงานหมั่นเดินเก็บจาน รินน้ำให้

เนื่องจากไม่ได้ เป็นคนกินเนื้อวัวเนื้อแกะมากด้วย คิดว่ามื้อกลางวันราคาย่อมเยาเหมาะกับตัวเองแล้ว :)
___
มีความรู้สึกว่า เจอที่กินบุฟเฟ่ต์เค้กใหม่แล้ว :)

บุฟเฟต์มื้อกลางวัน อิ่มอร่อย ในราคาที่ไม่ได้สูงมากนัก/ทำให้เราพอมีเงินเก็บ

มื้อกลางวัน 12-14.30 น.  มาเที่ยงเลย ถ้าเคี้ยวช้ามาบ่ายโมงกินไม่ค่อยทัน :)

วันที่มากิน มีที่วางเค้ก 4 ก้อน ช่วงประมาณ 13.00 น. คนก็จะเริ่มกินขนมหวานบางส่วนละ ปนะมาณว่า 10-15 นาที เค้กชุดแรกหมด ก็เอาชุดสองมาเติม ผ่านไป 10-15 นาที เอาชุดสามมาเติม ได้หลายรสมาก  บานอฟฟี่/ ชีสเค้ก/เค้กมะพร้าว อร่อยดี

ก๋วยเตี๋ยวเส้นเล็กขนาดกลางๆเหนียวนุ่มอร่อยดี กินช่วงแรกๆน้ำซุปกลมกล่อม (หลังๆอาจจะเริ่มออกเค็มนิดนึง)
ไอศครีมเชอร์เบทมะม่วง เหมือนกินมะม่วงสุขปั่นอร่อยดี

ซีฟู้ดออนไอซ์ (ไม่แน่ใจมีที่ลวกน้ำร้อนให้เหมือนสาขาพญาไทหรือเปล่า )
พนักงานหมั่นเดินเก็บจานและรินน้ำดื่มเปล่าให้
แต่ก็มีมุมเครื่องกดกาแฟ มีน้ำอัญชันให้กดเอง

คนมาทานเยอะหน่อย พนักงานดูแม้จะเหนื่อยแต่ก็ทำหน้าที่แบบเต็มที่สู้ตาย (ดูแลสุขภาพกายใจกันด้วยนาคับ)

ห้องน้ำไม่มีสายชำระ"
ChdDSUhNMG9nS0VJQ0FnSUNYcXZuOG1BRRAB,Din Neo,5,Very tasty and delicious food! The buffet spread comes with many varieties of food to choose from. We came a little late but were attended by a very nice gentleman (supervisor or manager) that welcomed us and made us feel really comfortable. I love the ambience. The staff were friendly and helpful. Thanks again to the gentleman with a jacket (supervisor or manager) that takes care of us. Highly recommended!
ChZDSUhNMG9nS0VJQ0FnSUM1c3F5TGFBEAE,Thananont Krittayawiwat,4,"ห้องอาหาร The Glass House ชั้น5 ที่ Eastin Grand Sathorn นับเป็นห้องอาหารที่มาบ่อยมากที่สุดแห่งหนึ่ง (ไม่ต่ำกว่า10ครั้ง) เพราะว่ามีความคุ้มค่า และรสชาติอาหารดี

วันนี้ทานเป็น Weekend Grand Buffet
จุดเด่น
1. มี ปู King crab (แต่ตอนนี้คือ เหมือนจะเป็น Chilean/Russian king crab ไม่ใช่ Alaska/Taraba ซะแล้ว คือ ก้ามจะเล็ก สีส้มแดง หนามแหลม กว่า)
2. สเตชั่นอาหารญี่ปุ่นของที่นี่คือ ยังคงรักษามาตรฐานไว้ได้ดี มีทั้งฮามาจิ มากุโร่ แซลม่อน และข้าวปั้นหน้าต่างๆ หน้าปลาไหลก็มี , ซูชิต่างๆมีให้เลือกเยอะ รสชาติอร่อย
3. ปลาหิมะยังคงอร่อยสุด เนื้อนุ่ม หอม หวาน มาแบบเดิม แบบเดียว คือนึ่งซีอิ๊ว
4. Lamb leg ของที่นี่ นุ่ม อร่อย ย่างมาดี
5. Cold cut และ ชีส หลากหลาย
6. ได้ Lobster อบชีส คนละครึ่งตัวด้วยครับ
7. ชอบตรงมีเครื่องดื่มให้เลือกหลากหลายมาก (บางที่มีแต่น้ำเปล่ากับซอฟท์ดริงค์นิดๆหน่อยๆ)

จุดสังเกต
- เนื้อย่าง ยังติดเหนียวไปหน่อย ถ้าเทียบเกรดราคาเดียวกัน มีบางที่ที่ได้เนื้อคุณภาพที่ดีกว่านี้
- ไม่มี Brown crab, แล้ว มีแต่ปูม้า ปูทะเล
- หอยนางรมมีให้สายพันธุ์เดียว บางที่ราคานี้จะมีหลายสายพันธุ์ให้เลือก (แต่อันนี้ก็สด หวาน อร่อยนะ)
- ไม่มีฟัวกราส์แล้ว แต่ไม่มีอย่างอื่นมาทดแทน (บางที่จะเป็น Seared Hotate มาแทน)
รวมๆคืออร่อย และคุ้มค่าครับ

มาง่าย ลงรถไฟฟ้าสถานีสุรศักดิ์ เชื่อมต่อเข้ามาที่โรงแรมได้เลย
แต่ถ้ามารถยนต์ จะลำบากที่จอดรถหน่อย เพราะคับแคบ และถ้าบางทีมีงานเลี้ยง ต้องระเห็ดไปจอดตึก Thai CC

มากันได้

/ Update 30/12/2566
ครั้งนี้มาทานส่งท้ายปีเก่า
สิ่งที่น่าชื่นชม คือ เนื้อย่างดีขึ้นมากครับ
สมัยก่อนมาทานกี่ครั้งๆก็รู้สึกว่า ยังไม่นุ่มนัก เทียบเรทราคาเดียวกันกับบางร้านที่เป็น Buffet แล้ว อย่าง Goji ยังแตกต่างพอควร ครั้งนี้มาทาน ปลื้มมากครับ ใช้เนื้อดี และย่างดีมากครับ มีความหอม นุ่ม เนื้อมีมันแทรก เห็นได้ชัด อร่อยเลยครับ

ส่วน ล็อบสเตอร์ให้มาตัวใหญ่ สด เนื้อเหนียวหนึบ ของเด็กที่จ่ายครึ่งราคา ก็ให้มาด้วย เยี่ยมมาก

ที่ยังคงมาตรฐานได้ดีเหมือนเดิม คือ ปลาหิมะนึ่งซีอิ๊ว อร่อย สด เนื้อหวาน

ที่ต้องติงหน่อยคือปูม้าที่ไม่สดนัก บางตัวคือ เนื้อไม่หวาน สากๆไปหน่อย บางตัวสดดีครับ

ที่อร่อยไม่เปลี่ยนอีกอย่างคือ มัสมั่นเนื้อ ตุ๋นจนรสเข้าเนื้อ เนื้อนุ่ม ติดมัน อร่อยมาก
ที่นี่เค้าเด่นเมนูอาหารไทยนะครับ มาแล้วต้องลอง พวกยำส้มโอก็อร่อย (ไม่เหมือน Market @5 ที่ไม่ค่อยเด่นเมนูอาหารไทยเท่าไหร่ )
มากันได้ครับ
ที่นี่มีปลาหิมะ ใครชอบ ไม่ผิดหวัง

👍"
ChdDSUhNMG9nS0VJQ0FnSUNfbjRuQ3JBRRAB,AngAng Ang,5,"บุฟเฟ่ต์กลางวัน วันธรรมดา
อาหารมีหลากหลาย seafood on ice ซูชิ ปลาดิบ อาหารเวสเทริน์ อาหารไทย ขนมไทย ไอศกรีม ผลไม้ มีให้กินหลากหลายดีค่ะ บรรยากาศในห้องอากาศโอเคอยู่คะ"
ChdDSUhNMG9nS0VJQ0FnSURyMC1fNXNnRRAB,Jubilee Joob,5,"มากิน 3 รอบแล้ว บุฟเฟต์มื้อกลางวัน มีล้อปสเตอร์ให้ทุกโต๊ะ ชอบปลาหิมะนึ่งซีอิ๊ว กินทุหรอบ อาหารทะเลที่นี่สดมาก ลูกค้าเยอะตลอด ต้องจองล่วงหน้า บางทีเต็ม เคยไปเจอวันที่มีจัดสัมมนา คนลงมาพร้อมกัน ห้องอาหารแทบแตก แต่อาหารไม่ได้ปล่อยให้พร่องเลย เติมตลอดไวมาก อันนี้ต้องชื่นชม มีอีสตินพญาไทด้วย โรงแรมใหม่กว่า ไว้ไปอ่านในอีกรีวิวนะคะ
มีที่จอดรถ สแตมป์ได้ 10 ชั่วโมง กินอิ่มจอดรถไว้ นั่ง bts ไปไหนต่อได้อีกหน่อย แถวนั้นรถติดค่ะ"
