review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2pSVk5VVk5WVEJUT1d0Uk5URjRWVEZHY0RsaWNIYxAB,Anirut Pattaragarn,5,"ซื้อแบบ platinum สเต็กเนื้อดีครับหอม เลือกสุก medium เนื้อไม่ได้เหนียว โรยเกลือหน่อยอร่อยเลย , สปาเกตตีหอมทรัฟเฟิลแต่อยากกินแบบครีมเปียกกว่านี้, หอยเชลล์อบชีส หอยใหญ่เต็มปากมาก, ซุปข้นเห็ดทรัฟเฟิลหอมๆ ชอบ แต่มีคนบอกเค็ม ผมว่ากำลังดี, แซลมอนชิ้นใหญ่สดดีไม่เหนียวติดเส้นเอน, ซูชิเนื้อวากิวทำไมแอบเหนียวยังไม่เข้าใจ เลยกินชิ้นเดียว ชูชิฟัวกราส์นุ่มมันละลายในปากอย่างมาก กลัวเลยกินชิ้นเดียว ชูชิไม่กล้ากินมากกลัวอิ่มข้าว, หมูกรอบสามชั้น ชั้นหนังน้อยจัง เลยไม่รู้สึกกรอบ, เป็ดปักกิ่ง ต่อชิ้นหนังชิ้นเล็กไป โดยเฉพาะเมื่อเทียบกับเเผ่นเเป้ง, ปลาทอดในเมนูอาหารไทยก็ดีแต่อยากกินคู่กับมะม่วง, ข้าวมันปูนา ก็ได้นะ แต่ควรกินกับอะไรบ้างอย่าง, ขนมหวานสั่งข้าวเหนียวมะม่วง ข้าวเหนียวยังเป็นเม็ดค่อนแข็งไป เค้กมะพร้าวตัวแป้งค่อนแข็งไป, เครื่องดื่มมีหลากหลายอยู่ แต่ตัวเองกินเป็น sugar free"
Ci9DQUlRQUNvZENodHljRjlvT2sxMVlTMDNVemx4VFhWcmVXMTNUbGhTVkRKWU5GRRAB,Montree Tripetpisai,5,"ร้านอยู่ที่ชั้น 3

ได้ไปทาน Wisdom สาขา The Mall บางแค
ช่วงที่มีโปรโมชั่น 499++
เช็คบิลแล้วหัวละไม่ถึง 600 บาท

ถือว่าเป็นมื้ออาหารที่คุ้มค่ามาก
เพราะได้ทานอาหารรสชาติหลากหลาย
ทั้งเมนู ไทย ฝรั่ง ญี่ปุ่น จีน เครื่องดื่มและของหวาน

เวลาที่เข้าใช้บริการประมาณ 17:00 น.
ไม่ต้องต่อคิว
ไม่ต้องลุกไปตัก เพียงแค่สั่งจากจอแท็ปเล็ทบนโต๊ะ
แล้วอีกไม่นาน พนง. ก็จะมาเสิร์ฟถึงที่
มีเพียงเครื่องดื่ม ที่ต้องลุกไปเอาแก้วให้พนักงานที่บาร์เท่านั้น

รวมๆ แล้วถือว่าเป็นร้านอาหาร International Buffet ที่รสชาติอาหาร การบริการ บรรยากาศโดยรวม คุ้มค่ากับราคาที่จ่ายไปครับ

อยากให้ลองมาทานกันนะครับ"
Ci9DQUlRQUNvZENodHljRjlvT25FNFZHbDBSVmhKTFRSb1NVTkRaR1pGT0U5TVEzYxAB,Pariyakorn R.,4,"มาฉลองวันเกิด เลือกราคา 1,149 บาท อาหารมีให้เลือกเยอะ อร่อยดี แต่ตอนสั่งชอบเสิร์ฟกั๊กอะ เช่น กุ้งเผา เทมปุระ สั่งเยอะแต่เอาให้นิดเดียว แล้วสั่งรอบหลังๆก็ออกช้ามากกก"
Ci9DQUlRQUNvZENodHljRjlvT2pjMFVrcDZSWEl0ZG5rdGJXdEVSM1kxVmtzNWVtYxAB,วิริทธิพล ทรัพย์ศุทรากุล,5,"วันนี้ได้มาลองทานสาขา เดอะมอลล์บางแค
ทานโปรแพลตตินั่ม ลดเหลือ999++
รู้สึกคุ้มมากๆ
ถ้าเทียบกับการทานบุฟเฟต์หลักพันที่อื่นๆ
ที่นี่มีอาหารให้เลือกหลากหลายมากๆ
และคุณภาพ+รสชาติต้องบอกเลยว่าพรีเมี่ยมมากๆ
สถานที่ ที่นั่ง การให้บริการ ต้องบอกเลยว่าไม่มีที่ติ
มาทานตอนนี้มีโปรฟรีฟัวกราส์ไม่อั้นอีกนะครับ
คุ้มสุดๆ"
Ci9DQUlRQUNvZENodHljRjlvT25wS2QyMW1hVWhaTkhsTE1VWlJObUp6VFMxV1ZrRRAB,Preeyanat Arunrattanakit,5,"✨บุฟเฟ่ต์อินเตอร์ฯ ครั้งที่สอง🤤ครั้งนี้เลือกสาขาใกล้บ้าน สะดวกขึ้นเยอะ ร้านใหญ่ เมนูคือแน่น ของคาว ของหวานเยอะพอกัน อร่อยทุกเมนูจริงๆ 🍣🍰  การได้พาตัวเองมากินอาหารอร่อยๆ เดือนละครั้ง(รึเปล่านะ..) มันคือของขวัญเล็กๆ ที่เติมเต็มความสุขทางใจมากๆ 🥰 ถึงรู้แหละว่ากินแล้วต้อง💩แน่นอน🤪 แต่มันอร่อย  ทุกคำคือฟินจริงๆ 🍲🍱🍤🍳🍝
พนักงานก็บริการดีมาก ประทับใจสุดๆ"
Ci9DQUlRQUNvZENodHljRjlvT21oRU9YQlBlVloyTldsRWNFRXpXRloyWDA1c2JFRRAB,Satherich Heghburgt,5,พนักงานบริการดีมาก อาหารหลากหลาย เมนูนานาชาติ คุณภาพอาหารกลางๆ ไม่รู้สึกว้าวเหมือนราคา รสชาติไม่โดดเด่น อาหารบางอย่างควรเสิร์ฟร้อน ก็ไม่ร้อน เช่นหอยแมลงภู่อบชีสเย็นสนิท ผัดไทยกุ้ง ดีที่กุ้งมันอร่อย ตัวผัดไทยไม่ได้ผัดใหม่เย็นชืด ซูชิก็ไม่ว้าว วาซาบิแทบไม่ขึ้นจมูกเลย เมนูน้ำมีให้เลือกเยอะ ชาไทยดี หอมชา ไม่หวานมาก  โดยรวมเมื่อเทียบกับราคาที่จ่ายรู้สึกไม่คุ้มค่าเท่าไหร่นัก
Ci9DQUlRQUNvZENodHljRjlvT2s1RWNHbFZWbDk0U0c1Wk9XeDRRa2x6YVhkcmRHYxAB,Pirada R.,5,สาขาเดอะมอลล์เป็นสาขาที่ประทับใจที่สุด อาหารหลากหลาย รสชาติโอเคนะสำหรับเรา มีโปรโมชั่นบ่อย พนง บริการดี รออาหารไม่นาน
Ci9DQUlRQUNvZENodHljRjlvT2tsUmVVTjNXVmhYVDA5VGVIbGxTa1JMVUdWTlJYYxAB,jppp,1,"ไม่ประทับใจ**อย่างมาก** ค่ะ

เรามาทานวันแม่ 12 สิงหาคม เห็นทางร้านมีโปร มา 4 จ่าย 3 (ราคา 1149++ ต่อคน)

ซึ่งก่อนหน้านี้ เรามีการโทรไปสอบถามกับทางสาขาแล้ว (อยากจะทราบว่าคนเยอะไหม เพื่อจะได้ตัดสินใจก่อนจะขับมาที่ร้าน)
แต่ ไม่มีคนรับสายค่ะ*** แล้วไม่ใช่แค่สาขาเดียว ลองโทรถามทั้งสาขา central westgate และ siam paragon แล้ว ไม่มีคนรับสายทั้งหมดค่ะ เลยแอดไลน์ official ของร้านมา เลยทราบว่า แต่ละสาขาจะมีอีกเบอร์ ที่เป็นเบอร์โทรศัพท์ด้วย เลยลองโทร แต่ก็ไม่มีใครรับสายเลย

สุดท้ายตัดสินใจขับมา เพราะที่บ้านอยากจะทาน ถึงร้านก็เจอว่า คนเยอะเต็มร้าน (เข้าใจค่ะ วันหยุดนักขัต คนคงเยอะเป็นธรรมดา) เลยกดจองคิวหน้าร้าน ซึ่งในบัตรคิว แจ้งว่า รอ 17 คิว
**** 17 คิวนี้ เรารอนานถึง 1 ชั่วโมง 45 นาทีค่ะ

แต่ที่ไม่เข้าใจเลยคือ
1. คนรอหน้าร้านเยอะมากๆ แต่ในร้านกลับมีโต๊ะว่างเยอะมากๆ ประมาณ 40-50% ของร้าน
2. เหมือนพนักงานไม่พอ คนเรียกคิว เรียกคิวเสร็จ ต้องไปเปิดโต๊ะ พนักงานคิดเงินต้องไปเสิร์ฟ ดู งงๆ ทั้งหมด
3. โต๊ะบางโต๊ะ คือลูกค้าทานเสร็จแล้ว แต่ไม่มีใครเก็บโต๊ะ ถามพนักงาน พนักงานแจ้งว่า จะรีบเคลียร์โต๊ะให้ เพื่อเรียกคิวเพิ่ม แต่สุดท้ายก็ไม่เคลียร์ ไม่เรียกคิวเพิ่ม
3. สุดท้ายตัดสินใจรอ (ซึ่งคิดผิดมาก) แล้วอาหารคือถือว่าเฉยๆ ยอมรับว่าบางเมนูอร่อยเลย แต่บางเมนูก็เหมือนทอดทิ้งไว้นานแล้ว เนื้อหมูก็เหนียว
4. แรกๆ ได้อาหารไวพอสมควร แต่หลังๆได้อาหารช้า มีการข้ามเมนู เสิร์ฟผิด ไม่ตรงตามที่สั่ง
5. มีเวลาสั่งอาหารก่อนหมดเวลาทาน 20 นาที ซึ่งสุดท้ายพอใกล้หมดเวลา ยังได้อาหารไม่ครบเลย

ไม่ค่อยเข้าใจกับอะไรหลายๆอย่าง ทางร้านควรมีการเตรียมตัวที่ดีกว่านี้ สำหรับช่วงวันหยุดนักขัต และมีการจัดโปรโมชั่น แต่กลับปล่อยให้โต๊ะว่างหลายโต๊ะ แล้วไม่รับคิวเพิ่ม ทำให้คนรอหน้าร้านเยอะมาก

บอกตรงๆ ว่าเราผิดหวังมากๆ กับร้านนี้ คงเป็นครั้งสุดท้ายที่จะทานละค่ะ การจัดการแย่มากๆ ไม่สมกับราคาเลย ให้หนึ่งดาวยังรู้สึกว่ามากไปด้วยซ้ำกับประสบการณ์ที่ได้รับ
ใครจะทานช่วงวันหยุดแบบนี้ แนะนำจองล่วงหน้าเท่านั้นค่ะ"
Ci9DQUlRQUNvZENodHljRjlvT214MlZFVTBjVk5hU1VaaFptbFJTRVptZDB0U1gyYxAB,Our Memories,5,"อาหารหลากหลาย ไทย-จีน-ญี่ปุ่น-ตะวันตก-อินเดีย อาหารมาไม่ช้าไม่เร็ว ทยอยมาเรื่อยๆ
แต่ทานอย่างละนิดหน่อย เฉพาะเมนูที่อยากทานก็อิ่มแล้วค่ะ แอร์ห้างหนาวมากค่ะ"
Ci9DQUlRQUNvZENodHljRjlvT2xaV2VrMUlaamMxVkdKNmVFcEtUR2d4ZEhNeWNGRRAB,K. Vijit.,5,ตอนไปทานยังไม่เที่ยง เลยไม่มีคิว ร้านโล่งๆนั่งสบาย พนง.บริการดี สั่งอาหารจากแท็บเล็ต ส่วนน้ำเดินไปที่บาร์มีให้เลือกหลายเมนู ภาพรวมอาหารอร่อย หลากหลาย คุณภาพดี อาจมีช้าไปบ้างแต่พนง.มาถามและติดตามให้
