review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT25GMFNEbEdjMXBRU0VaSlNUVnViVk5pYmpBM2MxRRAB,HAOLIN LI,4,"Craving hot pot like crazy, but my wife’s favorite spot was closed, so we ended up at this one (we’ve been here before).

The place was easy to find—within walking distance, close to the Ratchayothin shopping area.

The atmosphere and service were decent. You pick your broth right at the entrance (gotta go for mala!) Business seemed okay—Thai people really seem to love this revolving hot pot style.

Dipping sauces are self-serve, and drinks/food are grab-and-go. The flavor was alright, but the broth wasn’t as rich and spicy as we’d hoped. Still, it did the job to satisfy the craving."
Ci9DQUlRQUNvZENodHljRjlvT2s1VmFsRnRkMncxZG5JME5qa3hWazFhZEVsYVUyYxAB,Yuei 25,4,"ไปช่วงกลางวันคนไม่เยอะ ทางร้านรับโอนกับเงินสด อาหารค่อนข้างอร่อยหลายอย่างมีให้เลือกเยอะ ราคาคิดเป็นไม้กับเป็นถาด

ใครเอารถไปจอดเมเจอร์  (4ชม.20บาท) แล้วเดินไปไม่ไกล"
ChZDSUhNMG9nS0VJQ0FnSUQ3Mm9hZlFnEAE,No One No One,4,"ร้านหม่าล่าสายพาน ที่รสชาติใช้ได้ร้านนึง มีเมนูให้เลือกเยอะ สด ใหม่ ถาดที่เป็นเนื้อสัตว์ปิดด้วยฟิล์มมิดชิดดี เนื้อสด

น้ำซุปหม่าล่ามีให้เลือกแบบเผ็ดน้อย กับ เผ็ดชา

ซุปเห็ดหอม อันนี้ชอบ

ลูกชิ้นกุ้ง อันนี้อร่อย"
Ci9DQUlRQUNvZENodHljRjlvT210MFV6RkpObE5pYmxGa2RsRnlYMGM1YjI4d2JWRRAB,Roberto Marqués Ríos,1,"I almost never leave bad reviews, but this restaurant truly deserves it. This is the worst meal I have had in a long time. I ordered it online through the Grab app.

I am a big fan of soups, hot pot and such. This is the absolute worst one that I ever had the chance to try.

I ordered the Mala Set A. As soon as the ""food"" was brought, I knew that something was off. The smell was strange and off putting, and when I tried the food, the taste was even worse. It felt like eating something expired, something that has gone bad. I don't know what the issue actually was, but I can't consider that this was food, to the point that I couldn't even finish a few bites, it made me gag. The texture of the meat was also weird, it felt like biting a jelly cube.

I had to throw away the order and had diarrhea for 2 days.
Never in my life ordering here again."
ChZDSUhNMG9nS0VJQ0FnSUR2NnVXV0VREAE,許峰鳴,5,"The place was amazing! As a Taiwanese, the soup made me feel right at home; it smelled wonderful and was packed with spicy flavor. The meat was good, and the chicken was incredibly tender and juicy. You can customize the dipping sauce to your preference, but I highly recommend sticking with the default option. I was there with my girlfriend, and we both thoroughly enjoyed the food. The prices were very reasonable, which surprised me since I usually prefer trying local Thai cuisine. However, this experience really won me over."
ChdDSUhNMG9nS0VJQ0FnSUN2c2ZfTTBnRRAB,Teay Kz,3,"ร้านหม่าล่าสายพาน
- คิดราคาตามสีของถาด/ไม้เสียบ
- มีราคาตั้งแต่ไม้ละ 5 บาท - ไม้/ถาดละ 50 บาท
- น้ำซุปใหเลือก 6 แบบ ช่วงที่ไปให้เลือกน้ำซุปได้ 2 อย่างในราคา 59 บาท
- มีน้ำจิ้มที่ร้านปรุงเอาไว้ให้ และมีบาร์น้ำจิ้มให้ลูกค้าได้เลือกปรุงเอง
- คุณภาพของวัตถุดิบอยู่ระดับกลาง ๆ
- มีน้ำดื่มกระป๋อง / ขวด วางเอาไว้ด้านหน้า สามารถหยิบตามที่ต้องการได้เลย
- มีโต๊ะแบบนั่งคนเดียวหม้อส่วนตัว และสายพานวิ่งข้างหน้าเท่านั้น ไม่มีโต๊ะสำหรับนั่งด้วยกัน
- ร้านอยู่ตรงสี่แยกรัชโยธินพอดิบพอดี หากมาแท็กซี่อาจต้องให้จอดเลยร้านไปหน่อยถึงจะลงได้
- ร้านไม่มีที่จอดรถ หากเอารถมาต้องไปจอดที่เมเจอร์รัชโยธินแล้วเดินทา

ค่าใช้จ่าย : กินมื้อเย็นแบบกินอย่างอื่นมาแล้วแต่อยากกินหม่าล่าอีก ~280 บาท

สรุป : ร้านหม่าล่าสายพานคุณภาพกลาง ๆ หากต้องการกินแก้อาการอยากหม่าล่าก็พอได้อยู่"
ChZDSUhNMG9nS0VJQ0FnSURaeF9EUlFREAE,Pype Chengdu,5,ปกติชอบกินหม่าล่ามากกก ที่นี่เป็นอีกที่ที่ไม่เคยมากินเพราะเห็นสาขาเยอะแล้วคิดว่า น่าจะไม่ค่อยโอเคร พอได้ลองแล้ว ดีกว่าที่คิด เผ็ดชามาก ของก็เยอะ ถ้ารักษามาตรฐานนี้ได้ คงเป็นลูกค้าอีกนาน
ChZDSUhNMG9nS0VJQ0FnSURwbGFha2RREAE,Ruxo Zheng,4,หม่าล่าแบบเผ็ดปากชา ก็ไม่ได้ชาอะไรมาก ความเผ็ดยังสู้ร้านตรงเมเจอร์ยังไม่ได้ แต่ วัตถุดิบมีให้เลือกหลากหลายกว่ามาก และน้ำจิ้มก็ค่อนข้างหลากหลาย ข้อเสียคือไม่มีที่จอดและที่นั่งติดกันไปหน่อย
ChdDSUhNMG9nS0VJQ0FnSUQ1NlluVmdnRRAB,Supawut Saengrassamee,5,"ปกติคนจะมาทานหม่าล่า
นี่เลยมาลองทานซุปกระดูกหมู

อร่อยดีครับ กินเท่าไหร่ หยิบเท่านั้น
ราคาเสียบไม้ และเครื่องดื่ม เทียบกับร้านรูปแบบเดียวกันนี้ ที่นี่ถือว่าราคาถูกกว่านิดหน่อยครับ"
ChZDSUhNMG9nS0VJQ0FnSURKeXVUY2JREAE,Asin P,5,"ร้านบรรยากาศดี แอร์เย็นไม่อึดอัด ไลน์อาหารหลากหลายดี กุ้งแกะก็ตัวใหญ่ คุณภาพวัตถุดิบดูสดโอเค กิน 2 คนราคานี้ก็พอไหว
ข้อเสียน่าจะเรื่องที่นั่งน้อย รอคิวนานหน่อย"
