review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2tSWWRuSnNkMUJ3YjB0WFVqRXRSMEU0VERaSFMxRRAB,OfficialG Tui,5,"Where do I start? Waited for 40 min for a table. Once sat down, the service was fast and reliable. Choose 2 base when you order the super premium package. Meat and seafood platters were well presented. Then, you grab your favorite vegetables, sauces, juice and other meats. You get your individual pot and you cook everything in there. Great place and finished off with mini melts for deserts."
Ci9DQUlRQUNvZENodHljRjlvT2pKcmJqWmZZV2RLWlZSZlJUSmpWVTF1YVRGUVUwRRAB,ornok 22,5,มาทานมื้อเที่ยง set กลางวัน มีให้เลือกหลากหลาย ราคาไม่แพง อิ่มกำลังดี มีผลไม้แตงโม ปิดท้ายด้วย พนักงานแนะนำดี ไว้ต้องมากินอีกแน่นอนค่ะ
Ci9DQUlRQUNvZENodHljRjlvT2kxT1dFMTRUbnBXWVVWbVpHNW5OazB5VUVGWFIwRRAB,Poramaporn L.,5,"เป็นหนึ่งในร้านชาบูที่ชอบมาก อาหารมีให้เลือกหลากหลาย น้ำซุปก็มีหลายแบบให้เลือก

มีส่วนเคาน์เตอร์ที่ให้เดินไปตักเองได้  น้ำจิ้มมีมากกว่าสามชนิดขึ้นไป

เนื้อวากิวของที่นี่ถือว่าอร่อยและคุณภาพเลย  อาหารทะเลก็ค่อนข้างสด ถ้าทาน premium set ขึ้นไป คุณภาพเนื้อก็ยิ่งดี แถมยังสามารถเลือกแบบปิ้งย่างเพิ่มเตาได้ด้วย"
Ci9DQUlRQUNvZENodHljRjlvT2xaR2JWZFpZMk5LTW1kc2MxZFdhVmwyTFVoSllWRRAB,แวะเติมของกับน้องนุ่น,5,ไม่ค่อยสบายเลยจะหากินอะไรร้อนๆ ว่าจะไปฮาจิบัง แต่ถึง you & i ก่อนเพราะมี a la carte สรุปอร่อยโซจึ้งง พนักงานพี่ผญบริการดีมากเริ่ดเลยแหละ ขอชื่นชม ไปวันพุธ เวลา ประมาณ 5 โมง
Ci9DQUlRQUNvZENodHljRjlvT21OUmVtWmZXR2QyTVZCa2Fra3hNRFIwZWkxcFprRRAB,Kantavee Wiengsima,5,อร่อยดี มีคุณภาพ บริการเร็ว เนื้อมีให้เลือกหลากหลาย ของกินบางส่วนตักได้ที่บาร์ กินยาวๆเพลินๆ แถมมีโปรโมชั่นด้วย
Ci9DQUlRQUNvZENodHljRjlvT21rd1NtSnVZVkJNUTIxVVRGOW5WMUYxWWpCTk5FRRAB,Bea Liu,4,"The 299++ menu is available exclusively from 11:00 AM to 4:00 PM. Enjoy all-you-can-eat options with fresh, a wide variety of dishes."
Ci9DQUlRQUNvZENodHljRjlvT20xUFNFUnlaM2hpYlhGYVprbGhNME4yUzJ4bFUwRRAB,Supakorn Kerapimol,5,น้ำซุปอร่อยมาก ของสดมากๆ พนักงานบริการดีเยี่ยมครับ
Ci9DQUlRQUNvZENodHljRjlvT2pBeFJGY3hYMTgzUmtoQlJsZDRhVkoxWVZkVFJIYxAB,Nopparat Wiwatpanyaporn,5,เพิ่งรู้ว่า YOU&I มีแบบอลาคลาส สั่งเป็นเซ็ต เหมาะสำหรับคนอยากกิน แต่คิดว่ากินไม่คุ้ม คือมันดีมาก มาครั้งแรก รู้สึกอยากมาลองอีก ราคาเริ่มต้น 179 บาทเอง ถูกมาก อาหารหลัก 1 จาน น้ำ 1 แก้ว เสริฟพร้อมผลไม้ 1 จาน
Ci9DQUlRQUNvZENodHljRjlvT21wSWIxY3RSa3RUVWxabVpHOHhZbDloZW5Gd1kyYxAB,Meihua,4,น้ำซุป น้ำจิ้มชาบู น้ำจิ้มใต้หวันอร่อย ของได้เร็ว พนักงานเด็กฝึกงานบริการดี
Ci9DQUlRQUNvZENodHljRjlvT2tzeVJVZ3dURGhHVDBVeFpVOHpiMk50VUd0MVZXYxAB,Nanthatchaphon Thatthiang,5,อร่อยมากๆค่ะ มีให้เลือกกินแบบ A la carte ด้วยค่ะ สำหรับกินคนเดียว มา 2 คน มีหม้อแยกกัน เลือกกินไม่เหมือนกันได้ 💕
