review_id,author,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2t4bk5sRllaMkl0YmtOV1FUWm1kVGhsY2tWVkxWRRAB,Mimi Wuthiputhanan,5,ซูรุสาขาแรก อร่อยเหมือนเดิม ทานมาตั้งแต่ร้านเปิด  เมนูที่ชอบ คือ แซลม่อนซาซิมิ และอุด้งกุ้งเทมปุระ  ที่ร้านใช้กุ้งลายเสือตัวใหญ่ ทอดกรอบนอกนุ่มใน อร่อยมาก
Ci9DQUlRQUNvZENodHljRjlvT2xVd05teHNVV3gzVVhsRFExaG9UMjFPZGpWb1FsRRAB,Earthy Life,5,"เส้นอุด้งให้รสชาติมหัศจรรย์มาก อุดุ้งนุ่มขั้นเทพ ส่วนเส้นเล็กก็เริศรสมาก ปลาดิบสดใหม่ ข้าวปั้นกำลังดี จานใหญ่มากด้วย
แล้วเมนูอุด้งอร่อยจนลืมถ่ายรูปไว้ 555+
คออาหารญี่ปุ่นห้ามพลาดเลยนะคะ"
Ci9DQUlRQUNvZENodHljRjlvT201dlJXZFJiMmRYTFVGbFpuVnJXV3RpV0ZWWmJIYxAB,Err OR,3,"ร้านอาหารหน้า รพ.
อย่างแรกเลยนะครับ เซ็งที่เข้าใช้บริการพร้อมลูกค้าคนจีน คุยเสียงดัง เดินถือเมนูไปมาคุยกับเชฟหน้าเคาเตอร์เสียงดัง เสียบรรยากาศเงียบๆหมด

อาหารค่อนข้างจะเค็มนำครับ พอกินหลายๆชิ้นอย่างพวกโรล คำท้ายๆมันแบบเค็มอะ

กุ้งเทมปุระ แป้งค่อนข้างแข็งและเหนียว ทรงแป้งมาเป็นแพเลย"
Ci9DQUlRQUNvZENodHljRjlvT205d1VWRktaVTFNUWpSalFqUk1lVlJmVlVsRU1WRRAB,P Rawlins,4,"Food was good and fresh with nice clean restaurant. Staff was lovely and helpful. The price was reasonable. A little bit that I gave only 4stars was the waiting for food for so long  even when the shop was quiet, only 2-3 tables in there."
Ci9DQUlRQUNvZENodHljRjlvT2s1eFozaGpOQzFyV0doR2VHeFBjWEpwWkVKRE4xRRAB,นางพัชรินทร์ พิชิตปรีชา,5,หมดทุกจาน เป็นหนึ่งร้านโปรดของครอบครัวที่ต้องหาเวลากลับมาทาน เมื่อยุกันครบ  ไม่เคยผิดหวังซักครั้ง เพิ่มรูปภาพแล้ว
Ci9DQUlRQUNvZENodHljRjlvT2tSMFNUUnpRbUkxUVdGbWNGSnBhVVJVY1VvNFQxRRAB,Monica Yvonet,5,อาหารอร่อยมาก ราคาไม่แรงเกิน วัตถุดิบคุณภาพทุกอย่าง 10/10
Ci9DQUlRQUNvZENodHljRjlvT21GeVNYSldSMk00YzJOUVpVTm9aVkJwZUdaMVoxRRAB,ศศิมา สวนแก้ว,5,อาหารสด อร่อย พนักงานบริหารดี มาทานบ่อยมาก ไอติมอร่อยสุดๆ
ChZDSUhNMG9nS0VJQ0FnTUNnNHVtWVVnEAE,Pimkamon Kiatpanon,1,"อาหารอร่อย เนื้อปลาสด
มา 7 คน สั่งอาหาร 5-6พัน มีออร์เดิฟเป็นถั่วแระ จานเล้กๆ 2 จาน เด็กๆชอบกิน ขอพนักงานเพิ่มบอกว่า จำกัดโต๊ะละ 1  ถ้าจะสั่งต้องเสียเงินเพิ่ม เสียความรู้สึกมาก

โต๊ะอื่นมา2 คนก็ได้ออร์เดิฟ 1 จานแล้ว นี่มาตั้ง 7 คน ขอเพิ่มไม่ให้"
ChdDSUhNMG9nS0VJQ0FnSUNmb283RHVnRRAB,Paul Prakongsunt,5,"One of the best Japanese restaurants in the area. The ingredients are fresh. Unagi don is delicious. Edamame is fun to chew. In addition, the service is incredible. Staffs and the head chef are very nice and friendly. The price is on medium to high side but it’s all worth it. Highly recommended 👍"
Ci9DQUlRQUNvZENodHljRjlvT2pGYWFUZFBWWFl0Vm5ocVgxSkJiSEpKYURneFptYxAB,Naphaphach Kanchanawong,5,แค่เริ่ม5นาทีแรก soupอร่อยมาก refill ได้อีก
Ci9DQUlRQUNvZENodHljRjlvT2pOelRDMWlkbXRPUjJkWmEydG9OM0ExTVVoSlFVRRAB,kotcharat theppunkulngam,5,ข้าวแซลมอนกับฮามาจิสดมาก เนื้อเด้งอร่อย รสชาติดี
ChdDSUhNMG9nS0VJQ0FnSUNpOU5ueDFnRRAB,Fankuroll,5,เป็นร้านประจำส่วนตัว ถ้าอยากทานอาหารญี่ปุ่นคุณภาพกับรสชาติดีๆก็มักจะมาทานที่นี่ แม้ราคาจะสูงในระดับหนึ่ง แต่คุณภาพอาหารกับรสชาติและราคามันสมเหตุสมผลอยู่ ข้าวหน้าปลาไหลกลิ่นหอมร่อยมาก แต่อาจจะหวานหน่อยสำหรับคนไม่ชอบหวาน ส่วนปลาดิบถือว่าสดและคุณภาพปลาคือทานแล้วรู้สึกว่าเนื้อปลามีคุณภาพกว่าร้านทั่วไป อาหารจำพวกปรุงที่นี่รสมือทำออกมาดี ส่วนวัตถุดิบโดยรวมมีความสดดี และมีคุณภาพ ถ้าอยากลองอาหารญี่ปุ่นอร่อยๆก็แนะนำร้านนี้ ราคาอาจจะสูงหน่อย แต่เทียบกับร้านที่เรทราคาเดียวกัน ถือว่าคุณภาพกับรสชาติร้านนี้จะดีกว่า เวลาพาครอบครัวมากินทุกคนก็บอกว่าอร่อย แต่ราคาสูงไปนิด จัดว่าเหมาะกับครอบครัวหรือมากันกลุ่มเล็กๆหามุมนั่งสงบๆคุยกันได้ดี
Ci9DQUlRQUNvZENodHljRjlvT25oQmNTMUlSVmhwVnpOV01sUnZjRmxrZVVremJXYxAB,waraluck amornpong,5,ร้านประจำเวลามาพาพบแพทย์ อร่อยเหมือนเดิม😋
Ci9DQUlRQUNvZENodHljRjlvT25sSVJGYzBXRXc0TXpKUlpVVmxlbWQ0VWtWT1YyYxAB,NOTEMAEMOD,5,"พนักงานบริการดี
มีซุปกับถั่วแระ มาเสิร์ฟ ระหว่างรออาหารที่สั่ง
อาหารสด"
ChdDSUhNMG9nS0VJQ0FnSURwdGZtbzZBRRAB,zxtremedemon,5,"Food: 56.5/60
The food is very good, especially because I like Japanese food. The salmon and sushi is very high quality. It is all very good.

Service: 16/20
The service is ok and the staff are nice, but they forgot 3 orders. 3!!! They claimed that something is wrong with the machine, which may or may not be true. Everything else is good.

Atmosphere: 19/20
The place is Ok decorated and is clean, so the atmosphere is considered Good.

Total: 91.5/100, it would have been 95 if there were no service problems but very good"
Ci9DQUlRQUNvZENodHljRjlvT2xwdFNUQTNlRnAzY0dkYWJtbEtWbVIwWWxkQ1RXYxAB,Pimchaya Atipongnitit,5,อร่อยสด บริการดีมีคุณภาพ
ChZDSUhNMG9nS0VJQ0FnSUM5dEppTlpnEAE,Suppasa Aimsaard,5,ร้านอยู่ในเวิ้งของโรงพยาบาลศิครินทร์ มีที่จอดรถร่วมกับโรงพยาบาลเลย จอด outdoor เดินใกล้ๆ ถือเป็นร้านอาหารญี่ปุ่นคุณภาพสูงร้านนึงในละแวกศรีลาซาลเลย ร้านไม่ได้ใหญ่มาก ตอนไปถึงเย็นๆวันเสาร์เกือบเต็มเหมือนกัน สลัดอโวคาโดให้อโวคาโดฉ่ำ ไม่ได้มาแบบเศษ วัตถุดิบอาหารคุณภาพดี ที่สั่งไปยังไม่เจอของไม่สด หรือ เหม็น ราคาค่อนไปทางสูง แต่ก็ถือว่าสมกับคุณภาพ
Ci9DQUlRQUNvZENodHljRjlvT2sxWlRIaHBjVkZUWDFsRGJEUjZTRTVtTnpreVRIYxAB,Revoltz Moku,4,อยู่ข้างๆ โรงพยาบาล เดินมาได้เลย อาหารอร่อย ราคาคุ้มกับปริมาณ คุณภาพ
ChZDSUhNMG9nS0VJQ0FnSUQza0lERUdnEAE,Akapatr Chiraarreebutr,4,"ร้านอาหารญี่ปุ่นที่คุณภาพดีแห่งหนึ่งย่านบางนา คุณภาพอาหารดี สด สะอาด อร่อยถูกปาก พนักงานบริการดี บรรยากาศการตกแต่งร้านดี ติดตรงที่อาหารเสิร์ฟช้าไปหน่อย ราคาแอบแรงแต่คุ้มกับคุณภาพ สามารถจอดรถได้ที่โรงพยาบาล

ราคา : 3/5
คุณภาพ : 5/5
ความอร่อย : 5/5
ความสะอาด : 5/5
ความเร็ว :3/5
บริการ : 4/5
สถานที่ : 4/5
ความคุ้มค่า : 3/5"
ChdDSUhNMG9nS0VJQ0FnSUMxMW9ieXp3RRAB,Bim Bim S.,4,ปลาสด อุด้งอร่อย ไอติมนมก็อร่อย บรรยากาศดี สบายๆ แต่ข้าวผัดเนื้อไม่ค่อยโอเค โดยรวมแล้วคุ้มค่า
ChdDSUhNMG9nS0VJQ0FnSURZN2FhVndnRRAB,Jira Tong,5,"ร้านอาหารญี่ปุ่นที่พึ่งพิงแห่งย่านบางนา รสชาตอาหารใช้ได้ คุณภาพอาหารดี พนักงานบริการดี ราคาเหมาะสม สมกับที่ได้รับรางวัลการันตี

บรรยากาศภายในร้านตกแต่งสไตล์ญี่ปุ่น มี Appitizer เป็นถั่วแระญี่ปุ่น กับน้ำซุปมิโซะ (รีฟิล)

ปลาของที่นี่ค่อนข้างสด เมนูเส้นก็ค่อนข้างดี Texture จะไม่เหมือนร้านทั่วๆ ไป จะหนึบๆ เด้งๆ เล็กน้อย ถ้าสั่งเมนูเส้นต้องรอนานนิดนึง

สามารถจอดรถได้ตรงที่จอดรถ รพ. ศิครินทร์

* มี VAT 7% Service Charge 3%"
